genres,ratings
Action,7.1195744680851325
Adventure,7.122492877492884
Cars,7.325151515151516
Comedy,7.072338935574246
Dementia,6.263877551020409
Demons,6.964545454545454
Drama,7.266691394658754
Ecchi,6.752597864768682
Fantasy,7.051039531478791
Game,7.008046874999998
Harem,6.993811074918565
Hentai,6.430247349823321
Historical,7.250542005420052
Horror,6.699563492063492
Josei,7.533191489361702
Kids,6.981102362204726
Magic,7.024656084656078
Martial-Arts,7.057936507936504
Mecha,6.976214057507992
Military,7.251726190476189
Music,6.917785016286644
Mystery,7.415770171149143
Parody,6.985084033613447
Police,7.2947770700636925
Psychological,7.293989361702128
Romance,7.146800966962129
Samurai,7.287070707070709
School,7.142927328556813
Sci-Fi,7.005617110799429
Seinen,7.21339667458432
Shoujo,7.148352941176474
Shoujo-Ai,6.978148148148146
Shounen,7.309482625482628
Shounen-Ai,7.0074137931034475
Slice-of-Life,7.21744939271255
Space,7.1709523809523805
Sports,7.291914191419137
Super-Power,7.185685131195333
Supernatural,7.196997607655486
Thriller,7.525696202531646
Vampire,7.066000000000001
Yaoi,6.433684210526315
Yuri,6.217878787878786
