anime_name,rating
Saiyuuki Reload,7.54
Dirty Pair: Bouryaku no 005-bin,6.96
Chain Chronicle: Haecceitas no Hikari Part 1,6.67
Last Exile: Ginyoku no Fam Recaps,6.56
Gin&#039;iro no Olynsis: Tokito,6.42
Cowboy Bebop: Yose Atsume Blues,7.53
Magic Knight Rayearth,7.53
Shin Chou Kyou Ryo: Condor Hero,7.53
Panzer Dragoon,3.47
Yu☆Gi☆Oh!: The Dark Side of Dimensions,7.53
Black Cat,7.52
Kamikaze Kaitou Jeanne,7.52
Tales of Phantasia The Animation,6.96
Nanatsu no Taizai: Seisen no Shirushi,7.52
Persona 4 the Animation: The Factor of Hope,7.52
Generation of Chaos,3.98
Mitsubachi Maya no Bouken,6.43
Pokemon XY,7.52
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,7.52
Mach GoGoGo (1997),6.43
Scrapped Princess,7.52
Slayers Evolution-R,7.52
Detective Conan OVA 11: A Secret Order from London,7.51
The Hakkenden,6.77
Little Nemo,7.51
Moonlight Mile 2nd Season: Touch Down,7.51
Oban Star-Racers,7.51
Konchuu Monogatari Minashigo Hutch,6.43
Shin Chou Kyou Ryo: Condor Hero II,7.51
Innocent Venus,6.95
Yama no Susume Second Season,7.51
Cinderella Monogatari,7.5
Fullmetal Alchemist: The Sacred Star of Milos,7.5
Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,4.88
Gatchaman Crowds: Embrace,7.5
Lupin III: Part III,7.5
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,6.95
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.29
Divergence Eve 2: Misaki Chronicles,6.43
Naruto: The Cross Roads,6.95
One Piece: Adventure of Nebulandia,7.5
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,7.5
Tide-Line Blue,6.77
Arcade Gamer Fubuki Extra,4.96
Uchuu Show e Youkoso,7.5
Re:Petit kara Hajimeru Isekai Seikatsu,6.95
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,7.5
Doraemon,7.49
Feng Yun Jue,6.56
Seiken no Blacksmith,6.95
One Piece: Mamore! Saigo no Dai Butai,7.49
PuriGorota: Uchuu no Yuujou Daibouken,5.07
Tibet Inu Monogatari,7.49
Triage X,6.44
Yokoyama Mitsuteru Sangokushi,7.49
One Piece,8.58
Genma Taisen,5.1
Pokemon: Pika Pika Hoshizora Camp,6.71
Akazukin Chacha,7.48
Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,7.48
Chou Henshin Cosprayers,5.11
009 Re:Cyborg,6.76
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,7.48
Chou Henshin Cosprayers Specials,5.13
Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,6.95
Lupin III: Kutabare! Nostradamus,7.48
Prince of Tennis: A Day on Survival Mountain,7.48
Amada Anime Series: Super Mario Brothers,5.15
Silent Mobius 2,6.44
Shin Getter Robo,7.48
Yuugen Kaisha,6.57
Argento Soma,6.94
