anime_name,rating
Initial D Fourth Stage,8.24
Initial D Battle Stage,7.63
Bakusou Kyoudai Let&#039;s &amp; Go,6.86
Wangan Midnight,7.54
eX-Driver: Nina &amp; Rei Danger Zone,6.64
Redline,8.33
Zeonic Toyota Special Movie,6.19
Bakuon!! OVA,6.46
Redline Pilot,6.8
Next A-Class,6.53
New Initial D Movie: Legend 3 - Mugen,7.79
New Initial D Movie: Legend 1 - Kakusei,7.92
eX-Driver the Movie,6.85
Bakusou Kyoudai Let&#039;s &amp; Go MAX,6.74
eX-Driver,6.88
Initial D Fifth Stage,8.14
Initial D Third Stage,7.98
Tailenders,6.86
Riding Bean,7.16
Initial D Extra Stage 2,7.54
Bakusou Kyoudai Let&#039;s &amp; Go WGP,7.07
Chousoku Henkei Gyrozetter,6.58
New Initial D Movie: Legend 2 - Tousou,7.9
Initial D Extra Stage,7.48
Mach GoGoGo (1997),6.43
Initial D Second Stage,8.12
Capeta,7.91
Mach GoGoGo,6.75
F-Zero: Falcon Densetsu,6.46
Initial D First Stage,8.23
Initial D: Project D to the Next Stage - Project D e Mukete,7.69
Initial D Final Stage,8.29
Initial D Battle Stage 2,7.74
