anime_name,rating
Garo: Honoo no Kokuin - Home,6.88
Kuroshitsuji: Book of Circus,8.37
Garo Movie: Divine Flame,7.18
High School DxD OVA,7.47
Yuu☆Yuu☆Hakusho,8.47
Kuroshitsuji II,7.55
Garo: Guren no Tsuki,5.96
Berserk: Ougon Jidai-hen III - Kourin,8.33
Kuroshitsuji,8.06
Ao no Exorcist: Kuro no Iede,7.43
Yarima Queen,6.26
Ushio to Tora (TV),7.71
1001 Nights,6.41
Youjuu Toshi,6.52
Beelzebub: Hirotta Akachan wa Daimaou!?,7.34
Omamori Himari,7.19
Ankoku Shinwa,4.31
Cardfight!! Vanguard: Legion Mate-hen,7.08
Devil May Cry,7.15
Ys,6.63
Taimanin Yukikaze,6.47
Claymore,7.92
Spectral Force,4.36
High School DxD BorN: Yomigaeranai Fushichou,7.66
3x3 Eyes,6.97
Amon: Devilman Mokushiroku,6.68
Cardfight!! Vanguard: Link Joker-hen,7.4
Chrno Crusade,7.8
Kuroshitsuji: Book of Murder,8.41
Majin Tantei Nougami Neuro,7.76
07-Ghost,7.41
High School DxD Specials,7.37
Kuroshitsuji Recap,7.32
Choujin Densetsu Urotsukidouji,6.34
Harukanaru Toki no Naka de: Hachiyou Shou OVA,6.72
Kakugo no Susume,4.49
Mazinger Z tai Devilman,6.31
Shounen Sunday CM Gekijou: InuYasha-hen,6.23
High School DxD,7.7
Yondemasu yo, Azazel-san. (TV),7.64
Garo: Honoo no Kokuin,7.51
Harukanaru Toki no Naka de: Hachiyou Shou,7.18
Maou Dante,6.31
InuYasha,7.89
Nurarihyon no Mago Recaps,6.38
Mahou Shoujo Ai San: The Anime,6.43
Persona 2: Another Self,6.23
Beelzebub,8.04
Choujin Densetsu Urotsukidouji Movie,6.37
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,7.11
Tenpou Ibun: Ayakashi Ayashi,7.02
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.91
Nurarihyon no Mago: Sennen Makyou,8.15
