anime_name,rating
Freezing Vibration Specials,6.64
Ichigo 100% OVA,7.03
Joshikousei: Girl&#039;s High,6.69
Dororon Enma-kun Meeramera,6.65
Ikkitousen,6.62
30-sai no Hoken Taiiku Specials,6.31
AIKa,6.04
Dash! Kappei,7.3
Tenshi no Drop,3.96
I&#039;&#039;s Pure Bonus,6.62
High School DxD BorN: Yomigaeranai Fushichou,7.66
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,5.53
Zero no Tsukaima: Princesses no Rondo Picture Drama,7.04
HenSemi,6.65
Panty &amp; Stocking in Sanitarybox,6.56
Moetan Specials,6.65
Kämpfer,6.73
Okusama ga Seitokaichou!+!,7.17
Video Girl Ai,7.31
Highschool of the Dead: Drifters of the Dead,6.77
Kodomo no Jikan Recap,7.09
Manyuu Hikenchou Picture Drama,5.85
Fairy Tail OVA (2016),7.55
High School DxD OVA,7.47
Nourin,6.98
Kämpfer für die Liebe,6.69
Kore ga Watashi no Goshujinsama,6.69
Asa made Jugyou Chu!,6.37
Kiss x Sis (TV),7.09
Nanatsu no Taizai: Seisen no Shirushi,7.52
Madan no Ou to Vanadis,7.28
Maken-Ki!,6.69
Kishin Douji Zenki,7.09
Prism Magical: Prism Generations!,5.27
Love Hina,7.28
Zero no Tsukaima: Futatsuki no Kishi,7.73
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,6.34
Tokyo Daigaku Monogatari,5.29
Valkyrie Drive: Mermaid Specials,6.24
Needless,7.44
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7.53
Kenkou Zenrakei Suieibu Umishou,7.26
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,7.05
Prison School OVA,7.73
Ro-Kyu-Bu! SS Recap,6.6
DearS: Kin no Tama desu no?,6.97
Crayon Shin-chan,7.73
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,7.08
Bannou Bunka Neko-Musume DASH!,6.54
Mahoromatic Summer Special,7.26
Shinmai Maou no Testament,7.11
Masou Gakuen HxH,6.42
Strike the Blood,7.44
Shuffle!,7.31
Chou Henshin Cosprayers,5.11
Shin Koihime†Musou,6.97
Itsuka Tenma no Kuro Usagi OVA,7.09
D.C.II: Da Capo II,7.05
Green Green OVA,6.12
AIKa Zero,6.08
Renkin San-kyuu Magical? Pokaan,7.11
Maken-Ki! OVA,6.8
Body Jack: Tanoshii Yutai Ridatsu,5.51
Seikoku no Dragonar,6.75
Seikon no Qwaser II,6.69
Happy World!,6.11
Strike the Blood: Valkyria no Oukoku-hen,7.44
Shokugeki no Souma OVA,7.62
Love♥Love? Specials,6.2
Kirameki☆Project,6.42
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,6.96
Dakara Boku wa, H ga Dekinai.,6.96
Mahou Sensei Negima!,7.11
Kakugo no Susume,4.49
Ikkitousen: Xtreme Xecutor Specials,6.75
Hand Maid Mai,6.21
Ikkitousen: Dragon Destiny Specials,6.8
Ikkitousen: Dragon Destiny,6.96
Hyakka Ryouran: Samurai After,6.8
Ikkitousen: Great Guardians,6.96
Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,7.02
Abunai Sisters: Koko &amp; Mika,2.95
Kiddy Grade,7.31
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.26
Itsudatte My Santa!,6.2
Kamen no Maid Guy OVA,6.96
Nagasarete Airantou,7.43
I&#039;&#039;s Pure,7.05
Haiyore! Nyaruko-san W OVA,7.19
Grisaia no Rakuen Specials,7.09
Masou Gakuen HxH Specials,6.96
Negima!? Natsu Special!?,7.25
Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,7.02
Seikon no Qwaser: Jotei no Shouzou,6.56
Sankarea,7.53
Hantsu x Trash,5.29
Najica Dengeki Sakusen,6.08
Hit wo Nerae! Specials,5.63
Bikini Warriors Special,5.5
Maken-Ki! Two Specials,6.32
Hit wo Nerae!,5.64
Nanatsu no Taizai,8.42
Lime-iro Senkitan: Nankoku Yume Roman,6.43
Zero no Tsukaima F,7.77
Kore wa Zombie Desu ka? of the Dead OVA,7.64
Cream Lemon: Lemon Angel,6.07
Lime-iro Senkitan,6.14
Ladies versus Butlers! Specials,6.43
Grisaia no Kajitsu Specials,6.95
Ore ga Ojousama Gakkou ni &quot;Shomin Sample&quot; Toshite Gets♥Sareta Ken,7.06
Ikkitousen: Xtreme Xecutor,6.95
Strike Witches 2,7.43
Vanquished Queens Specials,5.67
Kotetsu no Daibouken,6.03
Kemeko Deluxe!,6.75
DearS,6.8
Softenni,6.6
Trinity Seven,7.43
Yaoguai Mingdan,6.72
Queen&#039;s Blade: Gyokuza wo Tsugu Mono Specials,6.31
Hyakka Ryouran: Samurai Girls,7.01
Dirty Pair Flash 3,6.72
Eiken: Eikenbu yori Ai wo Komete,4.65
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.77
Ichigo 100% Special 2,7.01
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,7.25
Triage X: Recollection XOXO,6.63
Fushigi no Kuni no Miyuki-chan,6.0
Rakudai Kishi no Cavalry,7.78
Maji de Watashi ni Koi Shinasai!,7.02
Triage X,6.44
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,7.12
Jungle de Ikou!,5.68
Kanamemo,7.01
Brave Witches,6.68
Kore wa Zombie Desu ka? of the Dead,7.78
Yakusai Kochou,5.69
Photokano,6.33
G-Taste (2010),5.49
Bikini Warriors,5.34
Momo Kyun Sword,5.69
Kyou no 5 no 2 Kagai Jugyou: Mizukake,7.07
Arcade Gamer Fubuki Extra,4.96
Sumomomo Momomo: Chijou Saikyou no Yome Specials,7.08
Fate/kaleid liner Prisma☆Illya 2wei! Specials,6.95
Let&#039;s Nupu Nupu,6.44
Shokugeki no Souma,8.61
Sunabouzu,7.55
Crayon Shin-chan Movie 03: Unkokusai no Yabou,7.17
Onegai☆Teacher: Himitsu na Futari,7.42
Kishin Houkou Demonbane (TV),6.71
Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA,6.54
Seirei Tsukai no Blade Dance Specials,6.78
Panty &amp; Stocking with Garterbelt,7.79
Maburaho,7.01
Kore wa Zombie Desu ka?,7.67
Ippatsu Kiki Musume,6.44
Majimoji Rurumo,6.94
Kenzen Robo Daimidaler,6.3
Queen&#039;s Blade: Rurou no Senshi Specials,6.11
Nazo no Kanojo X: Nazo no Natsu Matsuri,7.32
Green Green,6.44
Shuffle! Memories,6.63
Sono Kinisasete yo: My My Mai,6.07
Lingerie Senshi Papillon Rose,4.97
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.79
Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,7.17
Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,7.42
Vividred Operation,6.56
Senran Kagura Specials,6.54
To LOVE-Ru Darkness 2nd,7.8
Asobi ni Iku yo!: Asobi ni Oide,6.93
UG☆Ultimate Girls,5.73
Buttobi!! CPU,6.44
Kanokon Specials,6.58
Tenamonya Voyagers,6.3
Love Hina Final Selection,7.32
Lupin the Third: Mine Fujiko to Iu Onna,7.81
Cyclops Shoujo Saipuu,6.02
Issho ni Training Ofuro: Bathtime with Hinako &amp; Hiyoko,4.98
Shinmai Maou no Testament Burst,7.13
Weiß Survive R,6.3
To Heart 2 AD,7.04
Walkure Romanze,6.56
Kodomo no Jikan: Ni Gakki,7.32
Valkyrie Drive: Mermaid,6.38
Boku no Marie,6.44
Ichiban Ushiro no Daimaou,7.21
To LOVE-Ru Darkness OVA,7.82
To LOVE-Ru Darkness,7.82
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,6.93
To Heart 2: Dungeon Travelers,6.45
Papillon Rose,5.0
Soul Eater NOT!,6.33
De:vadasy,5.01
Bastard!!: Ankoku no Hakaishin,6.92
D.C.III: Da Capo III,6.76
Kurogane no Linebarrels Specials,6.71
Mayo Chiki!,7.53
Hanappe Bazooka,5.77
Gantz:O,7.34
Bokusatsu Tenshi Dokuro-chan 2,6.92
Motto To LOVE-Ru,7.61
Usagi-chan de Cue!!,5.79
