anime_name,rating
Brave Witches,6.68
Log Horizon,8.14
Sweet Valerian,5.91
Bishoujo Senshi Sailor Moon: Sailor Stars,7.99
Slayers Next,8.14
Little Witch Academia,8.0
Inyouchuu Etsu,6.35
Bokusatsu Tenshi Dokuro-chan,6.85
Suite Precure♪,7.36
Witch Hunter Robin,7.36
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,7.33
D.N.Angel,7.35
Rance: Sabaku no Guardian,6.34
T.P. Sakura: Time Paladin Sakura,6.0
6♥Princess,5.99
Futari wa Precure: Splash☆Star,7.25
Anyamal Tantei Kiruminzoo,7.16
Dragon Pink,6.32
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.51
Fire Emblem,5.93
Yozakura Quartet: Tsuki ni Naku,7.62
Demashita! Powerpuff Girls Z,6.52
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.31
Houkago no Pleiades,6.2
Rekka no Honoo: Final Burning,7.22
Overlord,8.04
Mahou Shoujo Lyrical Nanoha: The Movie 1st,8.04
Seirei Tsukai,5.94
Witch Craft Works Specials,6.83
Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box,5.94
Quiz Magic Academy: The Original Animation,6.25
Mahou Shoujo Pretty Sammy,6.51
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka!,6.38
Onegai My Melody,7.16
Kounai Shasei,6.27
Magi: Sinbad no Bouken,8.06
Fastening Days,6.52
Nanatsu-iro★Drops,7.16
Fullmetal Alchemist: Brotherhood Specials,8.11
Yarima Queen,6.26
Garo: Guren no Tsuki,5.96
Dog Days&#039;&#039;,7.16
Harukanaru Toki no Naka de: Hachiyou Shou Specials,6.52
Elf wo Karu Mono-tachi,7.16
Mahou Shoujo Lyrical Nanoha A&#039;s,8.1
D.C. I&amp;II P.S.P. Re-Animated,6.83
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,6.83
Chain Chronicle: Short Animation,6.17
Majokko Tsukune-chan,6.83
Moldiver,6.25
Nurse Angel Ririka SOS,6.83
Fushigi na Somera-chan,5.97
Septem Charm Magical Kanan,6.21
Ani*Kuri15,7.02
Lingerie Senshi Papillon Rose,4.97
Tokyo Mew Mew,7.04
Kyoushirou to Towa no Sora Specials,6.76
Zero no Tsukaima: Princesses no Rondo,7.6
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.07
Baka to Test to Shoukanjuu Specials,7.49
Papillon Rose,5.0
.hack//Intermezzo,6.71
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,7.49
Grimm Masterpiece Theater,7.62
Trinity Seven OVA,7.53
Tenshi na Konamaiki,7.6
Fate/kaleid liner Prisma☆Illya 3rei!!,7.62
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.5
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,7.62
Mahou no Star Magical Emi,6.76
Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari,7.63
Nurse Witch Komugi-chan Magikarte Special,6.59
Kore wa Zombie Desu ka? OVA,7.57
Rokka no Yuusha,7.63
Strike Witches: Operation Victory Arrow,7.49
Akazukin Chacha OVA,7.2
Rozen Maiden,7.57
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.49
Akazukin Chacha,7.48
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,7.08
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,7.04
Chou Henshin Cosprayers,5.11
Fate/stay night TV Reproduction,7.02
Hana no Ko Lunlun,7.02
Kore wa Zombie Desu ka? of the Dead OVA,7.64
Chou Henshin Cosprayers Specials,5.13
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,7.05
Uta Kata Special,7.09
Magic Knight Rayearth,7.53
Kaitou Saint Tail,7.64
Simoun,7.56
Yuuki Yuuna wa Yuusha de Aru,7.52
Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪,7.09
Sugar Sugar Rune,7.56
Kagihime Monogatari Eikyuu Alice Rinbukyoku,6.35
CLAMP in Wonderland 2,7.64
Black Clover,8.6
Renkin San-kyuu Magical? Pokaan Specials,7.05
Chain Chronicle: Haecceitas no Hikari Part 1,6.67
X,7.56
Bishoujo Senshi Sailor Moon SuperS,7.64
Aa! Megami-sama!: Sorezore no Tsubasa Specials,7.64
Houkago no Pleiades: Manner Movie,5.25
Mahou Shoujo Madoka★Magica,8.51
Majokko Shimai no Yoyo to Nene,7.65
Fate/kaleid liner Prisma☆Illya 2wei!,7.47
Jewelpet,6.76
Hakushaku to Yousei,7.47
Rilu Rilu Fairilu: Yousei no Door,6.36
Tenbatsu Angel Rabbie☆,5.27
Flying Witch,7.65
Puchi Puri Yuushi,7.54
Kishin Douji Zenki,7.09
Aa! Megami-sama! Movie,7.65
Kagerou Daze: In a Day&#039;s,7.29
Prism Magical: Prism Generations!,5.27
Hime-chan no Ribbon,7.54
Shugo Chara!! Doki,7.59
Tales of Symphonia The Animation: Sekai Tougou-hen,7.66
Fairy Tail x Rave,7.54
Fate/Prototype,7.01
Fairy Tail OVA (2016),7.55
Ragnarök the Animation,6.57
Precure All Stars Movie New Stage 3: Eien no Tomodachi,7.47
Magical Suite Prism Nana,7.93
Log Horizon 2nd Season,7.66
Konjiki no Gash Bell!!,7.66
Slayers Special,7.47
Kannazuki no Miko,7.05
Lodoss-tou Senki,7.55
Prism Ark,6.6
Wagamama☆Fairy Mirumo de Pon!,7.47
Yozakura Quartet: Hoshi no Umi,7.47
Legend of Crystania OVA,6.11
Tsubasa Chronicle,7.67
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.27
D4 Princess,6.2
Overlord: Ple Ple Pleiades,7.07
Maburaho,7.01
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,5.36
Mahoutsukai Nara Miso wo Kue!,5.36
Tales of Symphonia The Animation: Tethe&#039;alla-hen,7.67
Dai Mahou Touge,7.09
Kore wa Zombie Desu ka?,7.67
Kishin Houkou Demonbane (TV),6.71
Yume Tsukai,6.57
Ichiban Ushiro no Daimaou,7.21
Jewelpet Twinkle☆,7.67
Yuugen Kaisha,6.57
Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue,7.46
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,8.34
Chicchana Yukitsukai Sugar Specials,7.09
Angelique: Shiroi Tsubasa no Memoire,6.14
Rikujou Bouei-tai Mao-chan,6.4
Arete Hime,7.09
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,7.68
Rance 01: Hikari wo Motomete The Animation,7.61
Zero no Tsukaima: Princesses no Rondo Picture Drama,7.04
Amagi Brilliant Park,7.68
Cossette no Shouzou,7.0
Toaru Majutsu no Index,7.69
Chocolat no Mahou,6.37
Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,7.46
Dog Days,7.21
Fullmetal Alchemist: The Sacred Star of Milos Specials,7.27
Cutey Honey Flash: The Movie,6.32
Aa! Megami-sama! (2011),7.45
Aa! Megami-sama! (TV),7.45
Qualidea Code,6.71
Shugo Chara! Party!,6.71
Bishoujo Senshi Sailor Moon SuperS Special,7.45
Kiniro no Corda: Primo Passo,7.69
Genmu Senki Leda,6.32
Happiness!,6.56
Reikenzan: Hoshikuzu-tachi no Utage,7.2
Shamanic Princess,6.77
Yokuwakaru Gendaimahou 00,6.71
Cosmic Baton Girl Comet-san,7.27
Kigurumikku V3,5.44
Kuusen Madoushi Kouhosei no Kyoukan,6.57
Fresh Precure!,7.45
Aa! Megami-sama!: Sorezore no Tsubasa,7.69
Nurse Witch Komugi-chan Magikarte,6.77
Strike Witches Movie,7.7
Fushigiboshi no☆Futagohime,7.45
Hana no Mahoutsukai Mary Bell,6.7
Otogi Juushi Akazukin OVA,6.7
Ginga Ojousama Densetsu Yuna: Shin&#039;en no Fairy,6.4
Mai no Mahou to Katei no Hi,6.09
Futari wa Precure,6.99
Zettai Junpaku♡Mahou Shoujo,5.46
Ling Qi,7.69
Shukufuku no Campanella,6.41
Generation of Chaos,3.98
Shingeki no Bahamut: Genesis Recap,6.21
Mamono Hunter Youko,6.41
Mahou Shoujo Nante Mou Ii Desukara. 2nd Season,6.32
Arion,6.37
Garo: Honoo no Kokuin,7.51
Mahou Shoujo Madoka★Magica: Concept Movie,6.99
Fairy Tail Movie 1: Houou no Miko,7.7
Moetan,6.56
Mamotte! Lollipop,6.99
Dragon Ball GT,6.72
Tentacle and Witches,7.24
Toaru Majutsu no Index: Endymion no Kiseki,7.71
Shounen Onmyouji,7.71
Kimi ni Maji Kyun!,6.42
Mahoutsukai Tai! OVA,7.26
Senkaiden Houshin Engi,7.28
Mahou Sensou,6.18
Toaru Majutsu no Index: Endymion no Kiseki Special,7.2
Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,7.45
Anemone,6.69
Bishoujo Senshi Sailor Moon Memorial,7.44
Jewelpet Magical Change,6.62
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.28
Bishoujo Senshi Sailor Moon,7.71
Umi Monogatari: Anata ga Ite Kureta Koto,6.76
Chikyuu Shoujo Arjuna,6.98
Aa! Megami-sama!: Tatakau Tsubasa,7.71
Erementar Gerad,7.44
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,7.11
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,7.28
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.44
Futari wa Precure: Max Heart Movie 1,6.98
Nurse Witch Komugi-chan R,6.09
Kara no Kyoukai 6: Boukyaku Rokuon,7.72
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,5.51
Tongari Boushi no Memole,7.11
Zettai Bouei Leviathan,6.42
Miracle☆Girls,7.28
Toaru Majutsu no Index 10th Anniversary PV,7.11
Doku Tenshi no Shippo,6.62
Zero no Tsukaima: Futatsuki no Kishi,7.73
