anime_name,rating
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,8.0
Comet Lucifer,6.0
Kaiketsu Jouki Tanteidan,6.82
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,7.49
Choujuushin Gravion,6.5
Mobile Suit Gundam Thunderbolt,8.0
Gasaraki,6.74
Mobile Suit Gundam Seed Destiny,7.36
Rhea Gall Force,6.53
Break Blade 4: Sanka no Chi,7.99
Sousei no Aquarion OVA,7.16
Gundam Build Fighters,7.98
Mobile Police Patlabor Reboot,6.82
Kikou Senki Dragonar,6.86
Mobile Suit SD Gundam Mk II,6.5
Danball Senki Wars,7.36
iDOLM@STER Xenoglossia Specials,6.26
Cyborg 009: The Cyborg Soldier,7.36
Soukou no Strain,7.17
All That Gundam,5.89
Uchuu no Kishi Tekkaman Blade OVA: Twin Blood,7.16
Bubblegum Crisis,7.36
Top wo Nerae! Gunbuster,7.97
Soukou Kihei Votoms: Kakuyaku taru Itan,7.17
Sousei no Aquarion Evol,6.87
Kikou Ryohei Mellowlink,7.25
Aldnoah.Zero 2nd Season,7.15
Break Blade 5: Shisen no Hate,7.96
Tenkai Knights,6.82
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,7.96
Saijaku Muhai no Bahamut,6.87
Aquarion Logos,5.89
Gundam: Mission to the Rise,5.89
Star Driver: Kagayaki no Takuto,7.37
Vandread,7.33
Hundred,6.53
Mobile Suit Gundam: Iron-Blooded Orphans,7.96
Shin Mazinger Shougeki! Z-hen,7.96
Yuusha-Ou GaoGaiGar,7.96
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,6.87
Lime-iro Ryuukitan X,5.89
Rean no Tsubasa,5.89
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.37
Juusenki L-Gaim,6.87
Mazinkaiser: Shitou! Ankoku Dai Shogun,7.37
Geneshaft,6.49
Sidonia no Kishi: Daikyuu Wakusei Seneki,7.95
Getter Robo G,6.87
Break Blade 3: Kyoujin no Ato,7.94
Gall Force: Chikyuu Shou,6.53
Bokurano Recap,6.26
Chokkyuu Hyoudai Robot Anime: Straight Title,6.01
Mobile Suit Gundam Wing: Endless Waltz Movie,7.94
Dragonaut: The Resonance,6.81
Aquarion Evol,7.32
Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,7.37
Casshern: Robot Hunter,6.53
Eureka Seven: Pocket ga Niji de Ippai,7.25
Neon Genesis Evangelion,8.32
Macross 25th Anniversary: All That VF Macross Zero Version,6.59
Top wo Nerae! Gunbuster Specials,5.88
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.19
Choujuushin Gravion Zwei,6.75
Eureka Seven,8.19
Ghost in the Shell 2: Innocence,7.93
Macross F Movie 1: Itsuwari no Utahime,7.93
Aoi Umi no Tristia,5.87
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.2
Mobile Suit Gundam Seed,7.93
Mobile Suit Gundam 0083: The Fading Light of Zeon,6.88
Chu Feng: B.E.E,6.17
Mobile Suit Gundam ZZ,6.81
Zoids Genesis,7.38
Sonic X,6.54
Mobile Suit Gundam: The Origin,8.42
Gundam: G no Reconguista,5.86
Soukyuu no Fafner: Dead Aggressor,7.38
Neon Genesis Evangelion: The End of Evangelion,8.45
Mokei Senshi Gunpla Builders Beginning G,6.81
Roujin Z,7.15
Code Geass: Hangyaku no Lelouch R2,8.98
Otaku no Video,7.22
RideBack,7.38
