anime_name,rating
Stratos 4,6.75
Girls und Panzer Heartful Tank Disc: Fushou - Akiyama Yukari no Sensha Kouza,6.75
E&#039;s Otherwise,6.75
Upotte!! OVA,6.58
Mobile Suit Gundam AGE: Memory of Eden,6.76
Tide-Line Blue,6.77
Megami Kouhosei,6.55
Tactical Roar,6.55
Kiss Dum: Engage Planet,6.79
Cosmo Warrior Zero Gaiden,6.54
God Eater Prologue,6.8
Spriggan,6.81
Mobile Suit Gundam ZZ,6.81
Gall Force: Chikyuu Shou,6.53
Berserk (2016),6.81
Yamato yo Towa ni,6.82
Rhea Gall Force,6.53
Appleseed XIII,6.52
Black Magic M-66,6.52
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu! - Fushou - Akiyama Yukari no Sensha Kouza,6.82
Turn A Gundam II Movie: Moonlight Butterfly,6.85
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.51
Stratos 4 OVA,6.86
Viper&#039;s Creed,6.87
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,6.87
Harukanaru Toki no Naka de 3: Owarinaki Unmei,6.88
Cluster Edge,6.48
Starship Troopers: Invasion,6.89
Uchuu no Kishi Tekkaman Blade II,6.48
Gundam Evolve,6.89
Soukou Kihei Votoms: Big Battle,6.9
Macross II: Lovers Again,6.47
Memory (ONA),6.47
Mobile Suit Gundam F91,6.9
GR: Giant Robo,6.9
Akai Koudan Zillion,6.9
Megami Kouhosei Special Curriculum,6.46
Mobile Suit Gundam Seed MSV Astray,6.46
Biohazard 4: Incubate,6.45
Koutetsu Tenshi Kurumi,6.92
Tytania,6.93
Golgo 13,6.93
Argento Soma,6.94
Stratos 4 Advance,6.95
Divergence Eve 2: Misaki Chronicles,6.43
Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,6.95
Innocent Venus,6.95
Girls und Panzer der Film: Fushou - Akiyama Yukari no Sensha Kouza,6.94
Fullmetal Alchemist,8.33
Gunparade March: Arata Naru Kougunka,6.96
Uchuu Senkan Yamato: Aratanaru Tabidachi,6.97
Soukou Kihei Votoms: Gen-ei Hen,6.97
Mobile Suit Victory Gundam,6.98
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,6.41
Berserk: Ougon Jidai-hen III - Kourin,8.33
Senkou no Night Raid Specials,6.99
Senkou no Night Raid,6.99
Schwarzesmarken,7.0
Mobile Suit Gundam MS IGLOO: The Hidden One Year War,7.0
Rikujou Bouei-tai Mao-chan,6.4
Harukanaru Toki no Naka de 3: Kurenai no Tsuki,7.01
Zone of the Enders: Idolo,7.02
Senkou no Night Raid: Yogen,6.39
Votoms Finder,6.39
Zone of the Enders: Dolores, I,7.04
Vexille: 2077 Nihon Sakoku,7.04
Uchuu Senkan Yamato (Movie),7.04
Blue Gender: The Warrior,6.36
Macross Flash Back 2012,7.04
Kantai Collection: KanColle,7.04
Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza,7.04
Taimadou Gakuen 35 Shiken Shoutai,7.05
Mahoromatic End Year Special,7.07
Yomigaeru Sora: Rescue Wings Special,7.08
Megami Kyouju,5.85
Submarine 707R,6.34
Stratos 4 Advance Kanketsu-hen,7.08
Uchuu no Senshi,6.34
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,7.08
Starship Operators,7.1
Freezing Vibration,7.1
Uchuu Senkan Yamato: Kanketsu-hen,7.11
Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,7.11
Mobile Suit Gundam MS IGLOO: Apocalypse 0079,7.12
Code Geass: Hangyaku no Lelouch Recaps,7.12
Sky Girls,7.13
Shuumatsu no Izetta,7.12
Gunslinger Girl: Il Teatrino OVA,7.13
Strike Witches OVA,6.29
Blue Gender,7.13
Mobile Suit Gundam: More Information on the Universal Century,6.28
Muv-Luv Alternative: Total Eclipse Recap - Climax Chokuzen Special,6.28
Plastic Little,6.27
Strike Witches,7.15
Soukou Kihei Votoms: Koei Futatabi,7.15
Code Geass: Hangyaku no Lelouch R2,8.98
Soul Link,6.26
Ao no 6-gou,7.16
Soukou no Strain,7.17
Soukou Kihei Votoms: Kakuyaku taru Itan,7.17
Mahoromatic 2 End Year Special,7.17
Madlax,7.17
Area 88 (TV),7.17
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,6.24
Halo Legends,7.18
Armitage III: Poly-Matrix,7.18
Uchuu Senkan Yamato: Fukkatsu-hen,7.19
Birthday Boy,6.21
Girls und Panzer Specials,7.2
Muv-Luv Alternative: Total Eclipse,7.21
Joker Game,7.21
Chikyuu Bouei Kigyou Dai-Guard,7.21
Appleseed (Movie),7.21
Cat Shit One,7.22
Appleseed Alpha,7.22
