anime_name,rating
Blue Seed,7.13
RahXephon,7.55
Higashi no Eden,8.03
Nazo no Kanojo X: Nazo no Natsu Matsuri,7.32
Tiger &amp; Bunny: Too Many Cooks Spoil the Broth,6.06
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,6.62
CLAMP Gakuen Tanteidan,7.05
City Hunter: Ryou no Propose,6.8
Zettai Shounen,7.06
Tiger &amp; Bunny Movie 1: The Beginning,7.54
Dantalian no Shoka: Ibarahime,7.24
Kamisama no Inai Nichiyoubi,7.53
Saint Luminous Jogakuin,6.17
Towa no Quon 2: Konton no Ranbu,7.53
Detective Conan Movie 08: Time Travel of the Silver Sky,7.95
Mezzo DSA,6.78
UN-GO,7.53
Tasogare Otome x Amnesia,7.95
Vampire Knight Guilty,7.53
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7.32
Occultic;Nine,6.78
Vampire Holmes,3.63
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.49
Madlax,7.17
Kamikaze Kaitou Jeanne,7.52
Detective Conan OVA 10: Kid in Trap Island,7.95
Wolf&#039;s Rain,7.93
xxxHOLiC,8.11
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,6.68
Mayoiga,5.8
El Cazador de la Bruja,7.32
Persona 4 the Animation: The Factor of Hope,7.52
Midnight Eye: Gokuu,6.58
Fake,6.68
Cat&#039;s Eye,7.21
Ankoku Shinwa,4.31
Tokyo Ghoul √A,7.52
Ajin Part 2: Shoutotsu,7.51
City Hunter: Bay City Wars,7.51
Detective Conan Bonus File: Fantasista Flower,7.51
Detective Conan OVA 11: A Secret Order from London,7.51
.hack//The Movie: Sekai no Mukou ni,7.32
Vampire Knight,7.4
Attraction,6.24
Detective Conan: Episode One - Chiisaku Natta Meitantei,8.1
Hikari to Mizu no Daphne,6.87
C: The Money of Soul and Possibility Control,7.44
Another: The Other - Inga,7.5
Black Bullet,7.44
Kindaichi Shounen no Jikenbo Returns 2nd Season,7.5
Karakuri Zoushi Ayatsuri Sakon,7.5
Tokkou,6.71
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.91
Kaidan Restaurant,7.39
Blue Seed 2,6.6
.hack//Intermezzo,6.71
Souryuuden,6.76
Detective Conan Movie 14: The Lost Ship in the Sky,8.29
Detective Conan OVA 12: The Miracle of Excalibur,7.14
Kindaichi Shounen no Jikenbo Specials,7.35
Angel Heart,7.38
Tantei Team KZ Jiken Note,6.26
.hack//Sign,7.14
Owarimonogatari,8.43
Bakemonogatari Recap,7.38
Kizumonogatari I: Tekketsu-hen,8.45
Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,7.38
Futari wa Milky Holmes,5.85
Spiral: Suiri no Kizuna,7.38
Mouryou no Hako Special,6.76
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,7.37
Seikimatsu Occult Gakuin,7.16
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation,7.37
Kono Naka ni Hitori, Imouto ga Iru!,6.85
Ajin Part 3: Shougeki,7.36
Detective Conan: Happy New Year Special,7.15
Witch Hunter Robin,7.36
Higurashi no Naku Koro ni Kaku: Outbreak,7.36
Shuangsheng Lingtan,7.45
Babel Nisei (2001),5.91
Karneval (TV),7.36
Street Fighter II V,7.16
M3: Sono Kuroki Hagane,6.72
Le Chevalier D&#039;Eon,7.36
X Densha de Ikou,5.91
Pandora Hearts,7.92
Durarara!!x2 Shou,8.15
Gosick Recap,7.11
City Hunter &#039;91,7.91
Master Keaton OVA,7.91
Yamada-kun to 7-nin no Majo (TV),7.91
AD Police,6.47
Lupin III: Honoo no Kioku - Tokyo Crisis,7.34
Shin Taketori Monogatari: 1000-nen Joou,7.45
Mushishi Zoku Shou,8.8
Tokyo Babylon,6.82
Mushishi Special: Hihamukage,8.66
Lupin III vs. Detective Conan,7.89
Cuticle Tantei Inaba,7.45
Ookamikakushi,6.47
City Hunter 2,8.12
Boku dake ga Inai Machi,8.65
Another,7.88
Mermaid Forest,7.16
Lupin III: Green vs. Red,6.77
Detective Conan OVA 09: The Stranger in 10 Years...,8.06
Fw:Hamatora,7.2
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,7.88
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.02
Detective Conan OVA 02: 16 Suspects,7.43
Gregory Horror Show,6.9
Tantei Kageki Milky Holmes TD,6.47
Detective Conan Movie 04: Captured in Her Eyes,8.16
Yojouhan Shinwa Taikei,8.65
Kizumonogatari II: Nekketsu-hen,8.73
Robotics;Notes,7.43
Tactics,7.34
Hello Harinezumi: Satsui no Ryoubun,6.52
Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru Soushuuhen Special,6.85
Detective Conan Movie 03: The Last Wizard of the Century,8.16
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.87
Digital Devil Story: Megami Tensei,5.42
Zetsuen no Tempest,8.17
Speed Grapher,7.46
xxxHOLiC Shunmuki,8.17
Shingetsutan Tsukihime,7.1
Tantei Gakuen Q,7.87
Ajin 2nd Season,8.12
Fushigi no Umi no Nadia: Original Movie,5.58
Detective Conan Movie 16: The Eleventh Striker,7.86
Nishi no Yoki Majo: Astraea Testament,6.91
Switch,7.12
Makai Ouji: Devils and Realist,7.2
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.27
Monogatari Series: Second Season,8.8
Hyouka,8.17
Detective Conan Movie 10: Promo Special,7.85
Night Head Genesis,6.88
Detective Conan Movie 13: The Raven Chaser,8.38
Umineko no Naku Koro ni,7.34
Taboo Tattoo,6.11
Higurashi no Naku Koro ni,8.17
Detective Conan Movie 18: The Sniper from Another Dimension,8.17
Tantei Opera Milky Holmes: Alternative,6.59
Monster,8.72
Biohazard 4: Incubate,6.45
Persona 4 the Golden Animation: Thank you Mr. Accomplice,6.61
Kaze no Youjinbou,7.27
Ajin Part 1: Shoudou,7.84
Tiger &amp; Bunny Movie 2: The Rising,8.01
Death Note Rewrite,7.84
Darker than Black: Kuro no Keiyakusha Gaiden,8.09
Detective Conan Movie 06: The Phantom of Baker Street,8.42
Detective Conan Movie 17: Private Eye in the Distant Sea,7.84
11-nin Iru!,7.33
Tokyo Ghoul,8.07
Dennou Coil Recaps,6.45
Mushishi,8.78
Duan Nao,6.42
ef: A Tale of Melodies.,8.18
Suzumiya Haruhi no Yuuutsu,8.06
Suzumiya Haruhi no Shoushitsu,8.81
Cowboy Bebop: Tengoku no Tobira,8.4
Mobile Police Patlabor 2: The Movie,7.83
City Hunter,8.0
Kaitou Joker,6.92
Detective Conan Movie 02: The Fourteenth Target,8.0
Meitantei Holmes,7.46
Himitsu: The Revelation,7.42
Detective Conan: Conan vs. Kid - Shark &amp; Jewel,7.82
Concrete Revolutio: Choujin Gensou,6.87
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,8.1
Detective Conan Movie 20: The Darkest Nightmare,8.32
Arve Rezzle: Kikaijikake no Yousei-tachi,6.44
Boogiepop wa Warawanai: Boogiepop Phantom,7.27
Ginga Tetsudou no Yoru,7.43
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.19
Jigoku Shoujo Mitsuganae,7.81
Kara no Kyoukai 1: Fukan Fuukei,7.81
Detective Conan vs. Wooo,6.15
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,7.82
Death Billiards,8.04
Dennou Coil,8.19
Blood+,7.8
Kuroshitsuji: Book of Murder,8.41
The Disappearance of Conan Edogawa: The Worst Two Days in History,7.8
Suzumiya Haruhi no Yuuutsu (2009),7.28
Suteki Tantei Labyrinth,6.94
Denpa-teki na Kanojo,7.79
Mushishi Zoku Shou 2nd Season,8.88
Higashi no Eden Soushuuhen: Air Communication,7.79
Jigoku Shoujo,7.79
Yami to Boushi to Hon no Tabibito,6.73
Hanamonogatari,8.11
Monster Extra,6.81
Midnight Eye: Gokuu II,6.44
Ajin,7.78
Higashi no Eden Movie II: Paradise Lost,7.78
Lupin III: Episode 0 &quot;First Contact&quot;,7.78
Tsukimonogatari,8.21
Nisemonogatari,8.21
R.O.D OVA,7.78
Kara no Kyoukai 3: Tsuukaku Zanryuu,8.21
Warau Hyouteki,6.44
Gyakuten Saiban 6 Prologue,6.81
Detective Conan Movie 12: Full Score of Fear,7.94
Koyomimonogatari,7.77
Kindaichi Shounen no Jikenbo Returns,7.42
Detective Conan Movie 10: Requiem of the Detectives,8.21
Ribbon no Kishi,6.81
Mushishi Zoku Shou: Suzu no Shizuku,8.75
Alexander Senki Movie,6.12
Agatha Christie no Meitantei Poirot to Marple,6.95
Bungou Stray Dogs,7.76
Detective Conan Movie 19: The Hellfire Sunflowers,7.77
Matantei Loki Ragnarok,7.42
Loups=Garous,6.43
X OVA,6.96
Ghost in the Shell: Stand Alone Complex - Solid State Society,8.22
Mirai Nikki (TV),8.07
Higurashi no Naku Koro ni Kira,6.58
Majin Tantei Nougami Neuro,7.76
Master Keaton,7.76
Tsubasa: Shunraiki,8.23
Detective Conan Movie 09: Promo Special,7.75
xxxHOLiC Rou,8.32
Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.42
Kaitou Joker 2nd Season,7.25
Kara no Kyoukai Remix: Gate of Seventh Heaven,7.75
Gokukoku no Brynhildr,7.09
Shinrei Tantei Yakumo,7.47
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,7.42
Gosick,8.23
Detective Conan: Black History,7.74
Dantalian no Shoka,7.34
Higashi no Eden Movie I: The King of Eden,7.74
Death Parade,8.33
Durarara!!x2 Ketsu,8.23
Red Garden: Dead Girls,6.51
Kagewani: Shou,6.54
Durarara!!,8.38
Mousou Dairinin,7.74
Loups=Garous Picture Drama,5.55
Detective Conan Movie 08: Magician of the Silver Sky,8.23
Kagewani,6.54
UN-GO: Inga-ron,7.74
GetBackers,7.73
Loveless,7.19
Kaiba,8.29
Durarara!!x2 Ketsu: Dufufufu!!,7.72
Kara no Kyoukai 6: Boukyaku Rokuon,7.72
Hidan no Aria Special,6.98
Kaitou Joker 4th Season,7.12
Mokke,7.19
Takarajima,8.04
Yuugo: Koushounin,7.24
Gakkou no Kaidan,7.71
Gakkougurashi!,7.71
Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue,6.33
Serial Experiments Lain,7.99
Red Garden,7.22
Megazone 23,6.99
Concrete Revolutio: Choujin Gensou - The Last Song,7.23
Lupin III: Walther P-38,7.47
Bakemonogatari,8.39
Kaitou Joker 3rd Season,7.09
Kara no Kyoukai: Shuushou,7.29
Yakushiji Ryouko no Kaiki Jikenbo,7.19
Lupin III: Hemingway Paper no Nazo,7.11
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,7.42
Detective Conan Movie 05: Countdown to Heaven,8.25
Shiki,7.99
ef: A Tale of Memories.,8.12
Detective Conan,8.25
Hana to Alice: Satsujin Jiken,7.47
Kamisama no Memochou,7.7
Darker than Black: Kuro no Keiyakusha,8.25
xxxHOLiC Kei,8.34
Haibane Renmei,8.07
Tsubasa Chronicle 2nd Season,7.7
Saishuu Shiken Kujira,5.26
Layton Kyouju to Eien no Utahime,7.69
Death Note,8.71
Lupin III: Lupin vs. Fukusei-ningen,7.09
Ajin OVA,7.68
Gankutsuou,8.27
HaruChika: Haruta to Chika wa Seishun suru,6.5
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.57
Bomberman Jetters,7.16
Kara no Kyoukai: Mirai Fukuin,8.13
Detective Conan Movie 01: The Timed Skyscraper,7.98
Persona 4 the Animation,7.68
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,7.67
Fantastic Children,7.67
I: Wish You Were Here,6.22
Aoyama Goushou Tanpenshuu,7.41
Detective Conan Movie 09: Strategy Above the Depths,7.94
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,7.47
Mermaid Forest OVA,7.01
Lupin III: Touhou Kenbunroku - Another Page,7.01
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.98
Kamisama no Inai Nichiyoubi: Kioku,7.01
