anime_name,rating
Virus: Virus Buster Serge,5.59
Detective Conan OVA 02: 16 Suspects,7.43
Tokkou,6.71
Taiho Shichau zo in America,6.71
HeatGuy J,7.34
Assemble Insert,6.25
Switch,7.12
Dirty Pair Flash 3,6.72
Himitsu: The Revelation,7.42
Detective Conan Movie 14: The Lost Ship in the Sky,8.29
Koroshiya-san: The Hired Gun,5.69
Taiho Shichau zo The Movie,7.42
Aoyama Goushou Tanpenshuu,7.41
Ghost in the Shell: Arise - Another Mission,6.72
Owari no Seraph: Owaranai Seraph,7.35
Detective Conan: Episode One - Chiisaku Natta Meitantei,8.1
Burn Up Excess,6.71
Kamyla,5.83
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.91
Detective Conan OVA 12: The Miracle of Excalibur,7.14
Riding Bean,7.16
Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,7.38
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation,7.37
Detective Conan: Happy New Year Special,7.15
Witch Hunter Robin,7.36
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.58
Armitage III,7.2
AD Police,6.47
Rail Wars!,6.47
Dirty Pair Flash,6.82
Detective Conan OVA 09: The Stranger in 10 Years...,8.06
Detective Conan Movie 04: Captured in Her Eyes,8.16
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,7.27
Detective Conan Movie 03: The Last Wizard of the Century,8.16
Appleseed (Movie),7.21
Jin-Rou,7.87
Tantei Gakuen Q,7.87
Detective Conan Movie 16: The Eleventh Striker,7.86
Dirty Pair Flash 2,6.85
Detective Conan Movie 10: Promo Special,7.85
Detective Conan Movie 18: The Sniper from Another Dimension,8.17
Biohazard 4: Incubate,6.45
Death Note Rewrite,7.84
Detective Conan Movie 17: Private Eye in the Distant Sea,7.84
Gunsmith Cats,7.27
Detective Conan vs. Wooo,6.15
Mobile Police Patlabor: WXIII,6.92
Mobile Police Patlabor 2: The Movie,7.83
A Kite,6.72
Detective Conan Movie 20: The Darkest Nightmare,8.32
Cyber City Oedo 808,7.27
Detective Conan: Conan vs. Kid - Shark &amp; Jewel,7.82
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),7.82
Detective Conan Movie 02: The Fourteenth Target,8.0
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.19
The Disappearance of Conan Edogawa: The Worst Two Days in History,7.8
Monster,8.72
Detective Conan Movie 10: Requiem of the Detectives,8.21
Detective Conan Movie 19: The Hellfire Sunflowers,7.77
Dirty Pair: The Movie,7.19
Ghost in the Shell: Stand Alone Complex - Solid State Society,8.22
Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,6.96
Detective Conan Movie 09: Promo Special,7.75
Dirty Pair: Bouryaku no 005-bin,6.96
Detective Conan: Black History,7.74
Detective Conan Movie 08: Magician of the Silver Sky,8.23
Mousou Dairinin,7.74
Mobile Police Patlabor: On Television,7.72
Yakushiji Ryouko no Kaiki Jikenbo,7.19
Detective Conan Movie 05: Countdown to Heaven,8.25
Ghost in the Shell: Arise - Border:2 Ghost Whispers,7.7
Detective Conan,8.25
Detective Conan Movie 01: The Timed Skyscraper,7.98
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.57
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,7.67
Ghost in the Shell (2015),7.67
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.98
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,7.66
Detective Conan: Conan vs. Kid - Jet Black Sniper,7.66
Sukeban Deka,6.58
Death Note,8.71
Dirty Pair OVA,7.23
Luv Wave,6.19
Appleseed,6.79
Appleseed XIII Remix Movie 1: Yuigon,6.74
