anime_name,rating
Maria-sama ga Miteru Specials,7.55
Nekomonogatari: Kuro,8.06
Hayate no Gotoku! OVA,7.26
Macross F Movie 2: Sayonara no Tsubasa,8.06
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.12
Mizugumo Monmon,6.84
To Heart 2 Special,6.52
Slow Step,6.84
Azuki-chan,6.83
Brothers Conflict,6.58
Kakyuusei 2: Anthology,6.24
D.C. I&amp;II P.S.P. Re-Animated,6.83
Luv Wave,6.19
Pia Carrot e Youkoso!! 2 DX,6.52
Touch: Cross Road - Kaze no Yukue,7.21
Macross,8.07
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6.52
Kimi to Boku. 2,8.11
Ore Monogatari!!,8.11
Junjou Romantica,8.08
Itsuka Tenma no Kuro Usagi,6.83
Ushinawareta Mirai wo Motomete,6.83
Grisaia no Rakuen,8.08
Full Moon wo Sagashite,8.08
There She Is!!,8.11
Macross: Do You Remember Love?,8.09
Junjou Romantica OVA,8.09
Septem Charm Magical Kanan,6.21
Hybrid Child,8.09
Byousoku 5 Centimeter,8.1
Pucca,6.83
Harukanaru Toki no Naka de: Hachiyou Shou Specials,6.52
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.1
Shinkon Gattai Godannar!!,6.83
H2O: Footprints in the Sand,7.26
Gravitation,7.26
Fushigi Yuugi OVA,7.26
Itsudatte My Santa!,6.2
Armitage III,7.2
Arabian Nights: Sindbad no Bouken (TV),7.26
Freezing,7.2
Happy World!,6.11
Urusei Yatsura: The Shougaibutsu Suieitaikai,7.27
Kashou no Tsuki: Aki Kyougen,6.11
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,7.27
Hiatari Ryoukou!,7.2
Tenchi Muyou! in Love 2: Haruka Naru Omoi,7.27
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.27
Sakurasou no Pet na Kanojo,8.4
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,6.11
Mitsu x Mitsu Drops,6.15
Mobile Suit Zeta Gundam: A New Translation II - Lovers,7.27
Aishite Knight,6.75
Suki Desu Suzuki-kun!!,6.11
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,7.2
Kimi ni Todoke 2nd Season: Kataomoi,7.27
Kenran Butou Sai: The Mars Daybreak,7.27
Kanon,7.27
Kamisama Kazoku,7.27
Buddha Saitan,6.1
Yoake Mae yori Ruriiro na: Crescent Love,7.22
Kare Baka: Wagahai no Kare wa Baka de R,6.1
Sakura Trick,7.2
Piano,6.1
Mudai,7.24
Sousei no Aquarion,7.2
Tight-rope,7.28
Suzumiya Haruhi no Yuuutsu (2009),7.28
Shakugan no Shana SP: Koi to Onsen no Kougai Gakushuu!,7.28
Mujaki no Rakuen,6.09
Tokimeki Memorial: Only Love,7.2
Papa no Iukoto wo Kikinasai!: Pokkapoka,7.28
Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?,6.21
Nerawareta Gakuen,7.28
Rosario to Vampire Capu2,7.24
Madan no Ou to Vanadis,7.28
Kujibiki Unbalance,6.21
Koutetsu Tenshi Kurumi Zero,6.21
Love Hina,7.28
Lady Georgie,7.28
Inari, Konkon, Koi Iroha.,7.28
Escaflowne,7.19
Giniro no Kami no Agito,7.28
Hand Maid Mai,6.21
Boku wa Imouto ni Koi wo Suru,6.57
Toaru Hikuushi e no Koiuta,7.24
Koisuru Tenshi Angelique: Kagayaki no Ashita,7.19
Loveless,7.19
Magic-Kyun! Renaissance,7.19
Nogizaka Haruka no Himitsu: Purezza,7.29
Defend Love,6.06
Mahoromatic: Automatic Maiden,7.29
Omamori Himari,7.19
NHK ni Youkoso!,8.4
Bakemonogatari,8.39
Chu Feng: B.E.E,6.17
Gunparade Orchestra,6.06
Hatsukoi Monster,6.06
Eikoku Koi Monogatari Emma: Intermission,7.21
Marginal Prince: Gekkeiju no Ouji-tachi,6.06
Armitage III: Poly-Matrix,7.18
D.C.if: Da Capo if,7.29
B Gata H Kei,7.18
Ryuusei Sentai Musumet,6.06
Seihou Tenshi Angel Links,6.06
Aoi Hana,7.29
Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.,7.29
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,7.18
Urusei Yatsura Movie 1: Only You,7.3
Ultra Maniac,7.3
Guardian Hearts-Power UP!,6.05
Rec: Yurusarezarumono,7.3
Mashiro-iro Symphony: The Color of Lovers,7.3
Mahoromatic: I&#039;m Home!,7.18
Love♥Love?,6.05
Memories Off,6.05
Mahou no Stage Fancy Lala,7.18
Mahoromatic 2,7.3
Boys Be...,6.59
Mahou no Tenshi Creamy Mami,7.18
Koi to Senkyo to Chocolate,7.3
Mamahaha,5.74
Hatenkou Yuugi,7.3
Mermaid Melody Pichi Pichi Pitch Pure,7.18
Xiao Qian,6.76
Anime Sanjuushi,7.3
Andersen Douwa: Ningyohime,7.3
Video Girl Ai,7.31
Okusama ga Seitokaichou!+!,7.17
Macross 7,7.23
Otome wa Boku ni Koishiteru,7.18
Shuffle!,7.31
True Love Story,6.24
Maison Ikkoku: Ikkokujima Nanpa Shimatsuki,7.23
Sekai Meisaku Douwa: Hakuchou no Mizuumi,7.31
Bakuretsu Hunters OVA,6.72
Saishuu Heiki Kanojo,7.31
Oda Nobuna no Yabou Soushuuhen,7.23
Lesson XX,6.04
Tokimeki Memorial: Forever With You,6.24
Sora no Manimani,7.18
