anime_name,rating
Sekaiichi Hatsukoi OVA,8.18
Patalliro!,7.63
Honoo no Mirage,6.74
Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,6.62
Osakana wa Ami no Naka,5.12
Super Lovers,7.54
Loveless Specials,6.79
Monochrome Factor,7.13
Bronze: Kouji Nanjo Cathexis,6.5
Junjou Romantica Special,7.64
Kono Danshi, Sekika ni Nayandemasu.,7.24
Earthian,6.27
Honoo no Mirage: Minagiwa no Hangyakusha,7.15
Gakuen Handsome,6.11
Gakuen Heaven: Hamu Hamu Heaven,6.94
Sekaiichi Hatsukoi 2,8.31
Junjou Romantica OVA,8.09
Fake,6.68
DRAMAtical Murder OVA: Data_xx_Transitory,6.23
Love Stage!! OVA,7.74
Sekaiichi Hatsukoi,8.15
Junjou Romantica,8.08
Kono Danshi, Mahou ga Oshigoto Desu.,7.13
Kusatta Kyoushi no Houteishiki,6.26
Kono Danshi, Ningyo Hiroimashita.,7.75
Doukyuusei (Movie),8.53
Kono Danshi, Uchuujin to Tatakaemasu.,7.1
Gakuen Heaven,6.8
Yami no Matsuei,7.23
Angel&#039;s Feather,5.62
Loveless,7.19
Patalliro Saiyuuki!,6.88
Marginal Prince: Gekkeiju no Ouji-tachi,6.06
Suki na Mono wa Suki Dakara Shou ga Nai!!,6.95
Tight-rope,7.28
Seikimatsu★Darling,6.5
Natsu e no Tobira,6.51
Gakuen Handsome The Animation,6.63
Sekaiichi Hatsukoi: Valentine-hen,8.14
Ryokunohara Meikyuu,5.3
Gravitation,7.26
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8.2
Nakedyouth,6.17
Love Stage!!,7.69
Seiyou Kottou Yougashiten: Antique,7.16
Legend of Duo,5.13
Robotica*Robotics,7.12
Lesson XX,6.04
Vassalord.,7.11
Togainu no Chi,6.42
Be-Boy Kidnapp&#039;n Idol,5.67
Junjou Romantica 3,8.16
Uragiri wa Boku no Namae wo Shitteiru,7.43
Junjou Romantica 2,8.24
Boku wa Konomama Kaeranai,5.62
Hybrid Child,8.09
Kaze to Ki no Uta Sanctus: Sei Naru Kana,7.06
Gravitation: Lyrics of Love,7.12
