anime_name,rating
Genshiken OVA,7.74
Higashi no Eden Movie I: The King of Eden,7.74
Saki Zenkoku-hen,7.49
Hungry Heart: Wild Striker,7.74
K-On!!: Keikaku!,7.89
Free!: Eternal Summer Special,8.23
Scandal,5.56
Chibi Maruko-chan (1995),7.37
HaruChika: Haruta to Chika wa Seishun suru,6.5
Oshiete! Galko-chan,7.15
Ontama!,6.97
Touken Ranbu: Hanamaru,6.34
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.29
Kimi to Boku. 2,8.11
Noein: Mou Hitori no Kimi e,7.74
Yuyushiki,7.45
Meganebu!,6.42
Koko wa Green Wood,6.97
Non Non Biyori,8.05
Crayon Shin-chan,7.73
Happy☆Lesson: Advance,6.97
ReLIFE,8.24
Tokyo Marble Chocolate,7.38
Genshiken Nidaime Specials,6.86
Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode,7.49
Mitsudomoe,7.73
Pretty Rhythm: Dear My Future,6.98
Kuragehime,8.24
Wakakusa Monogatari: Nan to Jo-sensei,7.73
Nijiiro Hotaru: Eien no Natsuyasumi,7.12
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,5.62
White Album 2,7.98
Working&#039;!!,7.98
Macross 7 Plus,6.98
Ai no Wakakusa Monogatari,7.48
Uchuu Kyoudai,8.59
Busou Shinki,6.41
Mujin Wakusei Survive,7.72
Mokke,7.19
Air,7.48
GJ-bu,7.48
Tanaka-kun wa Itsumo Kedaruge Specials,7.72
Toradora! OVA,7.72
Getsuyoubi no Tawawa,6.56
Saki Achiga-hen: Episode of Side-A,7.38
Futari Ecchi (2014),6.41
Isshuukan Friends.: Tomodachi to no Omoide,6.89
Ai Shoujo Pollyanna Story,6.98
Wakakusa no Charlotte,6.99
Gakkougurashi!,7.71
Pupipo!,6.9
Non Non Biyori Repeat,8.26
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,7.38
Hanasaku Iroha,8.03
Jungle wa Itsumo Hare nochi Guu,7.97
Mainichi Kaasan,7.71
Sore ga Seiyuu!,7.15
Chi&#039;s Sweet Home: Atarashii Ouchi,7.9
Onsen Yousei Hakone-chan,5.92
Green Green Specials,6.41
Maison Ikkoku,8.25
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,7.71
Seitokai Yakuindomo* OVA,8.05
Seitokai Yakuindomo,7.71
NieA Under 7,6.99
Mikan Enikki,7.38
Ranma ½: Totteoki Talk Best of Memories,7.22
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1
Ano Natsu de Matteru,7.7
Hyakko,7.34
Boku wa Tomodachi ga Sukunai Next,7.7
Junkers Come Here,7.29
Gotou ni Naritai.,7.29
Ikoku Meiro no Croisée Special,7.42
Isshuukan Friends.,7.7
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.23
Kimagure Orange☆Road,7.7
Maria-sama ga Miteru 4th,7.97
Tom Sawyer no Bouken,7.15
Gokusen,7.48
Love Live! School Idol Project,7.7
Happy Birthday: Inochi Kagayaku Toki,7.48
Honobono Log,7.48
Yurumates 3D Plus,6.52
Gunparade Orchestra,6.06
Gakuen Utopia Manabi Straight!,7.38
Morita-san wa Mukuchi. 2,6.8
Cheburashka Arere?,6.57
Ikoku Meiro no Croisée The Animation,7.48
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,6.99
Tesagure! Bukatsumono Encore,7.0
Choboraunyopomi Gekijou Ai Mai Mii,5.83
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.38
High☆Speed!: Free! Starting Days,8.15
Eve no Jikan (Movie),8.26
Eve no Jikan,8.26
Yuru Yuri,7.7
Aikatsu!,7.69
Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,7.48
Mahou no Star Magical Emi,6.76
Figure 17: Tsubasa &amp; Hikaru,7.34
Super Seisyun Brothers,7.0
Recorder to Randoseru Mi☆,6.8
Zetsumetsu Kigu Shoujo: Amazing Twins,6.49
Recorder to Randoseru Re♪,7.0
Nodame Cantabile: Paris-hen,8.27
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,7.35
Saint☆Oniisan (Movie),7.97
Kirara,6.4
Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,7.0
