anime_name,rating
Tenchi Muyou! GXP,7.25
Iria: Zeiram The Animation,7.21
Melty Lancer,6.14
Bohemian Rhapsody,6.13
Mouretsu Pirates: Abyss of Hyperspace,7.26
Tenchi Muyou! Manatsu no Eve,7.21
Doraemon Movie 06: Nobita no Little Star Wars,7.2
Terra Formars: Bugs 2-hen,7.27
SF Saiyuuki Starzinger,7.27
Lily C.A.T.,6.11
Baoh Raihousha,6.2
Moonlight Mile 1st Season: Lift Off,7.27
Mobile Suit Zeta Gundam: A New Translation II - Lovers,7.27
Space Adventure Cobra,7.2
Sentou Yousei Yukikaze,7.28
Uchuu Densetsu Ulysses 31,7.2
Divergence Eve,6.08
Uchuu Senkan Yamato: Fukkatsu-hen,7.19
Ginga Tetsudou Monogatari,7.29
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,7.29
Cobra The Animation,7.18
Seihou Tenshi Angel Links,6.06
Shuten Douji,6.05
Ninja Senshi Tobikage,7.18
Kakumeiki Valvrave,7.31
Tenchi Muyou! Ryououki 2nd Season Picture Drama,7.18
Uchuu Kaizoku Captain Harlock: Arcadia-gou no Nazo,7.18
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,6.24
Mobile Suit Gundam: The Origin,8.42
Seikai no Danshou: Tanjou,7.32
Soul Link Special,6.02
Vandread,7.33
Uchuu Senkan Yamato III,7.33
Soukou no Strain,7.17
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,7.33
Musekinin Kanchou Tylor OVA,7.33
11-nin Iru!,7.33
Sidonia no Kishi Movie,7.34
Sei Juushi Bismarck,7.34
Macross Δ,7.34
Super Robot Taisen OG: The Inspector,7.35
Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,7.35
Gear Fighter Dendoh,7.35
Soul Link,6.26
Mobile Suit Gundam Seed Destiny,7.36
Aldnoah.Zero 2nd Season,7.15
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.37
Top wo Nerae! Gunbuster Specials,5.88
Planetes,8.38
Gundam: G no Reconguista,5.86
Cyborg 009: Chou Ginga Densetsu,6.59
