anime_name,rating
Diamond no Ace,8.25
Prince of Tennis: Another Story II - Ano Toki no Bokura,7.71
Ashita no Yukinojou,5.87
Hajime no Ippo,8.83
Zetsuai 1989,6.69
Nakedyouth,6.17
Touch 2: Sayonara no Okurimono,6.99
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,7.71
Major S1,8.42
Giant Killing,7.71
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15
Ao no Kanata no Four Rhythm,6.98
Initial D Fourth Stage,8.24
New Prince of Tennis OVA vs. Genius10,7.72
Inazuma Eleven,7.72
Future GPX Cyber Formula Sin,7.72
Pretty Rhythm: Dear My Future,6.98
Ashita no Joe (Movie),7.32
Eyeshield 21: Maboroshi no Golden Bowl,6.8
Bakusou Kyoudai Let&#039;s &amp; Go MAX,6.74
Metal Fighter Miku,6.2
Diamond no Ace OVA,7.72
Inazuma Eleven: Chou Jigen Dream Match,6.97
Kuroko no Basket NG-shuu,7.84
Initial D Battle Stage 2,7.74
Hungry Heart: Wild Striker,7.74
Zero Duel Masters,6.25
Princess Nine: Kisaragi Joshikou Yakyuubu,7.33
Aoki Densetsu Shoot! (Movie),6.96
Hajime no Ippo: Boxer no Kobushi,8.23
Initial D First Stage,8.23
Tsurikichi Sanpei,7.17
Sekai de Ichiban Tsuyoku Naritai!,6.0
Kuroko no Basket: Baka ja Katenai no yo!,7.75
Tsuritama,7.84
Yowamushi Pedal Movie,7.84
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival,6.96
All Out!!,7.16
Ashita no Joe,8.22
Teekyuu 3,6.96
Ace wo Nerae! (1979),6.95
Grappler Baki,6.95
Ookiku Furikabutte,8.11
Kinnikuman II Sei,6.95
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.77
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,7.78
Court no Naka no Tenshi-tachi,6.02
Inazuma Eleven Go vs. Danball Senki W Movie,7.34
Tiger Mask W,6.44
Over Drive,7.78
Yuri!!! on Ice,8.61
Baby Steps 2nd Season,8.2
Kaichuu!,5.98
Prince of Tennis: Another Story - Messages From Past and Future,7.82
Prince of Tennis: The National Tournament,8.09
Pretty Rhythm: Rainbow Live,7.79
Chihayafuru,8.32
Metal Fight Beyblade 4D,6.93
Stella Jogakuin Koutou-ka C³-bu,6.6
New Initial D Movie: Legend 3 - Mugen,7.79
Redline,8.33
Ookiku Furikabutte: Natsu no Taikai-hen,8.2
I&#039;ll/CKBC,6.52
Haikyuu!! Movie 2: Shousha to Haisha,7.81
Free!: FrFr - Short Movie,7.8
Kuroko no Basket 3rd Season,8.62
One Piece: Yume no Soccer Ou!,7.34
Softenni,6.6
Chousoku Spinner,6.85
Nasu: Andalusia no Natsu,7.16
Shin Captain Tsubasa,7.21
Suzuka,7.35
Teekyuu 8,6.76
Ro-Kyu-Bu! SS Recap,6.6
Kenkou Zenrakei Suieibu Umishou,7.26
Attack No.1,6.85
Prince of Tennis: Another Story II - Ano Toki no Bokura OVA Bonus,7.35
Ookiku Furikabutte Special,7.35
Kinnikuman,7.35
Battery,5.92
Captain Tsubasa,7.35
Kuroko no Basket Movie 3: Winter Cup Soushuuhen - Tobira no Mukou,7.38
Anitore! XX,5.89
Metal Fight Beyblade,6.72
Usakame,5.89
Touch: Cross Road - Kaze no Yukue,7.21
One Pound Gospel,6.72
Captain Tsubasa J,7.37
Initial D Third Stage,7.98
Kuroko no Basket 3rd Season NG-shuu,7.98
Gekitou! Crush Gear Turbo,6.86
Tiger Mask,7.38
Sekai de Ichiban Tsuyoku Naritai! Specials,5.86
Bakusou Kyoudai Let&#039;s &amp; Go,6.86
Basquash!,7.38
Maken-Ki! Specials,6.27
Area no Kishi,7.38
Detective Conan OVA 12: The Miracle of Excalibur,7.14
IGPX: Immortal Grand Prix (2005),7.24
