anime_name,rating
Elfen Lied,7.85
Umineko no Naku Koro ni,7.34
Gugure! Kokkuri-san,7.69
Tenshi Kinryouku,6.46
Ninja Mono,5.98
Inu x Boku SS,7.69
Itadaki! Seieki♥,7.4
Blood-C: The Last Dark,7.33
Himiko-den,6.4
Higurashi no Naku Koro ni,8.17
Carnival Phantasm,8.01
Moyashimon,7.69
Kirara,6.4
Tokyo Ghoul,8.07
Sora no Otoshimono: Forte,7.86
Kashou no Tsuki: Aki Kyougen,6.11
Cossette no Shouzou,7.0
Venus Versus Virus,6.55
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,7.69
Gankutsuou,8.27
Ajin OVA,7.68
One Punch Man Specials,7.86
Berserk (2016),6.81
Ryuugajou Nanana no Maizoukin,6.66
Saikin, Imouto no Yousu ga Chotto Okashiinda ga.,6.46
Basilisk: Kouga Ninpou Chou,7.68
Berserk,8.4
Asatte no Houkou.,7.16
Zetman,7.01
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,7.68
Persona 4 the Animation,7.68
Sora no Otoshimono,7.68
Mekakucity Actors,7.21
Tokyo Requiem,5.92
Aura: Maryuuin Kouga Saigo no Tatakai,7.67
Mahou Sensei Negima! Introduction Film,6.91
Teizokurei Daydream,6.4
Nurarihyon no Mago OVA,7.86
Kanon (2006),8.17
Juubee Ninpuuchou,7.67
Kore wa Zombie Desu ka?,7.67
Hellsing I: Digest for Freaks,7.86
Popotan,6.46
Tsubasa Chronicle,7.67
Ajin 2nd Season,8.12
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.66
Durarara!!x2 Ten: Onoroke Chakapoko,7.66
Konjiki no Gash Bell!!,7.66
Hakaba Kitarou,7.01
Noragami,8.17
Fate/Prototype,7.01
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8.57
Dororo to Hyakkimaru,7.25
Kamisama Hajimemashita: Kako-hen,8.64
Blood: The Last Vampire,7.01
Aa! Megami-sama! Movie,7.65
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.57
Flying Witch,7.65
The Epic Of ZektBach,6.0
Jigoku Sensei Nube,7.65
Dororon Enma-kun Meeramera,6.65
Isuca,6.17
Tansu Warashi.,6.91
Persona 3 the Movie 4: Winter of Rebirth,8.17
Tenpou Ibun: Ayakashi Ayashi,7.02
Mouryou no Hako,7.33
Owari no Seraph,7.65
Samurai Deeper Kyou,7.02
Yondemasu yo, Azazel-san. Z,7.65
Kara no Kyoukai 4: Garan no Dou,8.05
Monogatari Series: Second Season,8.8
Hakuouki OVA,7.64
Hellsing,7.64
Sora no Otoshimono: Tokeijikake no Angeloid,7.87
Ao no Exorcist: Ura Ex,7.26
Dance in the Vampire Bund,7.2
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.02
Kakurenbo,7.02
Kore wa Zombie Desu ka? of the Dead OVA,7.64
Little Busters!,7.64
xxxHOLiC Shunmuki,8.17
Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,6.91
Hakuouki Movie 2: Shikon Soukyuu,8.03
Yakumo Tatsu,6.25
Take Your Way,6.66
Towa no Quon 3: Mugen no Renza,7.64
Rokujouma no Shinryakusha!? (TV),7.33
Yondemasu yo, Azazel-san. (TV),7.64
Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,6.79
Angel Beats!: Another Epilogue,7.63
Fate/stay night TV Reproduction,7.02
Hakuouki Reimeiroku,7.63
Kuttsukiboshi,6.46
Lime-iro Senkitan,6.14
Mob Psycho 100,8.55
Ryuugajou Nanana no Maizoukin (TV),7.33
C³ Special,6.9
Megachu!,6.61
Fate/stay night: Unlimited Blade Works - Prologue,8.32
Loveless Specials,6.79
Sora no Otoshimono: Project Pink,7.63
The Law of Ueki,7.88
Boku dake ga Inai Machi,8.65
Shin Ringetsu,6.59
Yami Shibai 3rd Season,6.25
Dororon Enma-kun,6.38
Fate/Zero Remix,7.26
Blood-C,6.73
Fate/stay night: Unlimited Blade Works,8.42
Ani*Kuri15,7.02
InuYasha: Guren no Houraijima,7.62
Kyoukai no Kanata,7.88
Youma,6.25
Mirai Nikki (TV): Ura Mirai Nikki,6.79
Gregory Horror Show,6.9
Yami Shibai,7.21
Shigofumi,7.62
Izumo: Takeki Tsurugi no Senki,6.38
Kataku,6.38
Arslan Senki (TV): Dakkan no Yaiba,6.5
Yozakura Quartet: Tsuki ni Naku,7.62
Nurarihyon no Mago Recaps,6.38
Aa! Megami-sama! (TV) Specials,7.61
Musaigen no Phantom World,7.03
Onigamiden,6.64
Honto ni Atta! Reibai Sensei,6.66
Baccano!,8.54
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,7.88
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,7.17
Tokyo Ghoul: &quot;Pinto&quot;,7.61
Code:Breaker,7.03
Mahou Shoujo Ikusei Keikaku,7.17
Yozakura Quartet: Hana no Uta,7.61
Kizumonogatari II: Nekketsu-hen,8.73
Madlax,7.17
Gakusen Toshi Asterisk 2nd Season,7.32
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.6
Kanon Kazahana,6.9
Gantz:O,7.34
Mushishi Zoku Shou: Odoro no Michi,8.54
Kamichu! Specials,7.6
