anime_name,rating
Hyakujitsu no Bara,7.06
Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,5.53
Houkago no Shokuinshitsu,5.23
Haru wo Daite Ita,6.99
Pico x CoCo x Chico,5.16
Kachou no Koi,6.43
Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,7.14
Sensitive Pornograph,7.06
Seitokaichou ni Chuukoku,7.36
Enzai,5.55
Bronze: Zetsuai Since 1989,6.67
Kirepapa.,7.02
Okane ga Nai,6.58
Kizuna,6.46
Koisuru Boukun,7.59
Boku no Pico,5.13
Papa to Kiss in the Dark,6.47
Pico: My Little Summer Story,5.21
Fuyu no Semi,7.74
Fujimi 2-choume Koukyougakudan,5.72
Natsuyasumi.,6.02
Shounen Maid Kuuro-kun: Tenshi no Uta,5.79
Keiraku no Houteishiki Level-C,6.01
Pico to Chico,5.19
Ai no Kusabi (2012),6.97
Secret Journey,6.46
Kizuna: Koi no kara Sawagi,6.94
Okane ga Nai Specials,6.46
Zetsuai 1989,6.69
Fuyu no Semi: Tokubetsu Henshuuhan,7.44
Finder Series,6.7
Kimera,5.29
Ikoku Irokoi Romantan,7.25
Ai no Kusabi,7.37
Saigo no Door wo Shimero!,6.76
Yebisu Celebrities 1st,6.08
Sex Pistols,7.0
Boku no Sexual Harassment,5.96
