anime_name,rating
Futabu!,7.2
Seikon no Qwaser II Picture Drama,6.19
G-Taste (2010),5.49
Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,7.4
Honoo no Haramase Doukyuusei,6.83
Bakuhatsu Sunzen!! Tenshi no Countdown,5.72
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,6.23
Houkago Mania Club: Koi no Hoshii no,5.46
Futabu!!,7.28
Fushigi no Kuni no Miyuki-chan,6.0
Utsukushiki Sei no Dendoushi Reirei,5.78
Parade Parade,6.17
Otenki Oneesan,5.63
Manyuu Hikenchou Specials,6.23
Soushitsukyou,5.38
Body Jack: Tanoshii Yutai Ridatsu,5.51
Ogenki Clinic,6.1
Futabu! Mix: Futanari World,6.72
Nageki no Kenkou Yuuryouji,6.4
G-Taste,6.14
Shoujo Sect,6.89
Aki-Sora: Yume no Naka,6.41
Manyuu Hikenchou Picture Drama,5.85
Mitama: Nin,6.01
Ice,5.68
Honoo no Haramase Tenkousei,6.88
Star☆Jewel,6.75
Cream Lemon,6.54
Nikutai Ten&#039;i,6.47
Choukou Sennin Haruka,6.25
Inko,5.81
Bikini Warriors Special,5.5
Stainless Night,6.29
