genres,count
Action,1854
Adventure,1342
Cars,33
Comedy,2666
Dementia,33
Demons,189
Drama,1297
Ecchi,502
Fantasy,1284
Game,123
Harem,292
Hentai,681
Historical,350
Horror,202
Josei,44
Kids,245
Magic,531
Martial-Arts,177
Mecha,579
Military,321
Music,277
Mystery,395
Parody,209
Police,150
Psychological,168
Romance,1188
Samurai,97
School,933
Sci-Fi,1321
Seinen,400
Shoujo,402
Shoujo-Ai,52
Shounen,1266
Shounen-Ai,52
Slice-of-Life,703
Space,236
Sports,290
Super-Power,326
Supernatural,784
Thriller,73
Vampire,76
Yaoi,27
Yuri,22
