anime_name,rating
Code Geass: Soubou no Oz Picture Drama,6.61
Eat-Man,6.7
Gall Force 1: Eternal Story,6.7
Utawarerumono Recaps,6.62
Onkyo Seimeitai Noiseman,6.7
Ring ni Kakero 1,6.7
Lupin III: Pilot Film,6.62
Trava: Fist Planet,6.7
Bannou Bunka Neko-Musume (1998),6.69
Kaze no Na wa Amnesia,6.62
Beast Wars Neo,6.69
Karakuri no Kimi,6.69
Kämpfer für die Liebe,6.69
Maken-Ki!,6.69
Parasite Dolls,6.69
Rewrite,6.69
Seikon no Qwaser II,6.69
Soukou Kihei Votoms: Case; Irvine,6.69
Arc the Lad,6.62
Street Fighter Zero The Animation,6.69
Upotte!!,6.63
Appleseed XIII Remix Movie 2: Yogen,6.68
Triage X: Recollection XOXO,6.63
Brave Witches,6.68
Busou Shinki Moon Angel,6.68
Terra e...,6.63
Cosmo Warrior Zero,6.68
Sonic: Night of the WereHog,6.63
Cutey Honey,6.68
Detonator Orgun,6.68
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.68
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.27
Ghost in the Shell Arise Episode: [.jp],6.68
iDOLM@STER Xenoglossia,6.68
Shin Megami Tensei Devil Children,6.63
Nurarihyon no Mago: Sennen Makyou Recaps,6.68
Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi,6.68
Sengoku Musou SP: Sanada no Shou,6.68
X/1999,6.68
Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,6.63
Yuuwaku Countdown,5.95
Bubblegum Crash,6.67
Crying Freeman,6.67
Hitori no Shita: The Outcast,6.67
Gall Force 3: Stardust War,6.63
Nekojiru Gekijou Jirujiru Original,6.67
Nurarihyon no Mago: Jump Super Anime Tour Special,6.67
Pokemon XY&amp;Z: Subete no Nazo wo Tokiakase!,6.67
Beautiful World,6.62
RahXephon Specials,6.67
Rokka no Yuusha Picture Drama,6.68
Sengoku Musou,6.67
Soukyuu no Fafner: Arcadian Memory,6.67
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,6.66
Tokyo ESP,6.64
