anime_name,rating
Aoharu x Kikanjuu,7.29
Uchuu Kyoudai,8.59
Futari Ecchi,6.55
Tsuritama,7.84
Yowamushi Pedal Movie,7.84
Seihou Tenshi Angel Links,6.06
Yuru Yuri Nachuyachumi!+,7.84
Patalliro Saiyuuki!,6.88
Black Cat Special,7.29
Baka to Test to Shoukanjuu,7.83
Chi&#039;s Sweet Home,7.83
Ryuusei Sentai Musumet,6.06
Moyashimon CGI Anime,6.37
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.99
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.29
R-15 OVA,6.88
Rinne no Lagrange: Kamogawa Days,6.88
Maria†Holic: Run Run Riru Ran Ran Rara,6.06
Fairy Tail OVA,7.83
Ichigo Mashimaro OVA,7.83
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,7.29
Mangirl!,6.05
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,7.29
Galaxy Angel Z,7.29
Sword Art Online: Sword Art Offline - Extra Edition,6.88
Otogi Story Tenshi no Shippo Specials,6.58
Hatsukoi Monster,6.06
Tantei Opera Milky Holmes,7.04
To Heart 2 AD,7.04
Miss Monochrome: The Animation - Manager,6.37
Junketsu no Maria,7.29
Rozen Maiden: Ouvertüre,7.83
Teekyuu 4,6.88
Asobi ni Iku yo!,6.87
Break Blade Picture Drama,6.87
Wind: A Breath of Heart Specials,6.41
Lupin III: Alcatraz Connection,7.29
Mahoromatic: Automatic Maiden,7.29
Motto! Ojamajo Doremi,7.29
Nogizaka Haruka no Himitsu: Purezza,7.29
Himesama Goyoujin,6.49
Tokyo Mew Mew,7.04
Rockman.EXE Axess,7.29
Nanaka 6/17,6.75
Happy Seven: The TV Manga,6.49
Shaman King,7.83
Ayane-chan High Kick!,6.06
Wake Up, Girl Zoo!,6.07
No Game No Life,8.47
Utawarerumono OVA,7.29
Sono Kinisasete yo: My My Mai,6.07
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.29
Fullmetal Alchemist,8.33
Oh! Super Milk-chan,6.07
Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!,6.49
Yu☆Gi☆Oh!,7.29
Vampire Knight: Gekiai no Portrait,7.04
Ansatsu Kyoushitsu,7.28
Najica Dengeki Sakusen,6.08
Geobreeders: File-X Chibi Neko Dakkan,6.49
Black Blood Brothers,7.28
Yaoguai Mingdan,6.72
Kick-Heart,6.37
Princess Tutu Recaps,6.75
Dead Leaves,7.28
Denki-gai no Honya-san,7.28
Dr. Slump: Arale-chan,7.28
Haunted Junction,6.87
Fate/kaleid liner Prisma☆Illya,7.28
Tetsuwan Birdy Decode:02,7.83
Divergence Eve,6.08
One Punch Man,8.82
Genshiken Nidaime OVA,7.28
AIKa Zero,6.08
City Hunter: Hyakuman Dollar no Inbou,7.55
Duel Masters Charge,6.37
Inari, Konkon, Koi Iroha.,7.28
Zettai Bouei Leviathan: Mini Takibi Gekijou,6.09
Love Hina,7.28
Di Gi Charat: Kuchi Kara Bazooka,6.49
Hikari to Mizu no Daphne,6.87
Koko wa Green Wood,6.97
Tonari no 801-chan R,6.09
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,7.28
Urusei Yatsura OVA,7.61
Naruto Shippuuden: Shippuu! &quot;Konoha Gakuen&quot; Den,7.28
Seikoku no Dragonar,6.75
Detective Conan: Conan vs. Kid - Shark &amp; Jewel,7.82
Papa no Iukoto wo Kikinasai!: Pokkapoka,7.28
Nurse Witch Komugi-chan R,6.09
Danna ga Nani wo Itteiru ka Wakaranai Ken,7.55
Ladies versus Butlers!,6.87
Musaigen no Phantom World: Limitless Phantom World,6.09
Hidamari Sketch x 365 Specials,7.82
GS Mikami: Gokuraku Daisakusen!!,6.78
Shakugan no Shana SP: Koi to Onsen no Kougai Gakushuu!,7.28
Mujaki no Rakuen,6.09
Suzumiya Haruhi no Yuuutsu (2009),7.28
Shigofumi Picture Drama,6.75
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,7.61
Minna Atsumare! Falcom Gakuen SC,6.09
Usavich III,7.28
Kill la Kill Special,7.82
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),7.82
Yuu☆Yuu☆Hakusho,8.47
The SoulTaker: Tamashii-gari - Komugi Daisakusen,6.1
Zero no Tsukaima: Princesses no Rondo Picture Drama,7.04
Cosmic Baton Girl Comet-san,7.27
Strange+,6.1
Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,6.87
Diamond no Ace: Second Season OVA,7.25
Mitsudomoe Zouryouchuu!,7.82
Doraemon Movie 08: Nobita to Ryuu no Kishi,7.27
Fullmetal Alchemist: The Sacred Star of Milos Specials,7.27
Moyashimon: Kin Gekijou Deluxe,6.87
Prince of Tennis: Another Story - Messages From Past and Future,7.82
Kare Baka: Wagahai no Kare wa Baka de R,6.1
Ghost Sweeper GS Mikami,7.27
A-Ko The Versus,6.49
Comet Lucifer: Garden Indigo no Shasou kara,6.1
Yozakura Quartet: Hana no Uta,7.61
Gunsmith Cats,7.27
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,7.27
Kamisama Kazoku,7.27
To LOVE-Ru Darkness,7.82
Stratos 4,6.75
To LOVE-Ru Darkness OVA,7.82
Kenran Butou Sai: The Mars Daybreak,7.27
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!,6.87
Working!!,7.82
Taboo Tattoo,6.11
Daa! Daa! Daa!,7.81
Sekkou Boys,6.42
Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,7.27
Mezzo Forte,6.75
Dakara Boku wa, H ga Dekinai. Recap,6.6
One Piece: Taose! Kaizoku Ganzack,6.87
Digimon Adventure: Bokura no War Game!,7.81
Rinne no Lagrange Season 2 Specials,6.41
Yurumates,6.5
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,6.11
Ojisan to Marshmallow Special,6.11
Full Metal Panic!,7.81
Mangirl!: Asobu Henshuu Girl,6.11
Zone of the Enders: Dolores, I,7.04
Popee the Performer,6.87
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,7.27
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,7.27
Betterman,6.77
Date A Live: Date to Date,7.55
Senjou no Valkyria: SenVal Theater,6.87
Chuunibyou demo Koi ga Shitai! Ren,7.6
Saigo no Door wo Shimero!,6.76
Urusei Yatsura: The Shougaibutsu Suieitaikai,7.27
Happy☆Lesson: Hoka Hoka★Kanna to Futari Kiri,6.78
Usavich II,7.27
Seikimatsu★Darling,6.5
Happy World!,6.11
Kimagure Orange☆Road: Ano Hi ni Kaeritai,7.81
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,7.27
Be-Bop Highschool,7.26
Gakuen Handsome,6.11
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,7.26
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.26
Tales of Symphonia The Animation: Kratos-sensei no Private Lesson,6.87
Kono Subarashii Sekai ni Shukufuku wo! OVA,7.81
Teekyuu 5,6.87
Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal,6.13
Tonagura!,6.87
Stitch!,6.12
Spaceship Agga Ruter,6.77
Fushigi Yuugi OVA,7.26
Gravitation,7.26
Hayate no Gotoku! Heaven Is a Place on Earth,7.26
Puchitto Gargantia Special,6.12
Hayate no Gotoku! OVA,7.26
Jarinko Chie,7.26
Kenkou Zenrakei Suieibu Umishou,7.26
Kyoukai no Rinne (TV) 2nd Season,7.26
Mahoromatic Summer Special,7.26
Mahoutsukai Tai! OVA,7.26
Green Green OVA,6.12
Yama no Susume: Kabette Kowakunai no?,6.75
Naruto SD: Rock Lee no Seishun Full-Power Ninden,7.26
Kanojo ga Flag wo Oraretara,6.58
Naruto Shippuuden: Sunny Side Battle,7.26
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,7.6
Lupin the Third: Mine Fujiko to Iu Onna,7.81
Puchimas!: Petit iDOLM@STER,7.26
.hack//Unison,6.86
Minami-ke,7.81
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,7.26
Tanaka-kun wa Kyou mo Kedaruge,7.26
Asa made Jugyou Chu!,6.37
Digimon Adventure 3D: Digimon Grand Prix!,6.12
Naruto,7.81
New Game!,7.81
Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru &quot;LIPS Eizou&quot;,7.03
Bannou Yasai Ninninman,6.13
Top wo Nerae 2! Diebuster,7.81
Baka to Test to Shoukanjuu: Matsuri,7.8
Ai Yori Aoshi: Enishi,7.25
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,7.25
Himawari!!,6.58
Massugu ni Ikou.,6.71
Code:Breaker,7.03
AIKa R-16: Virgin Mission,6.12
Arad Senki: Slap Up Party,6.86
Code Geass: Hangyaku no Lelouch R2 Picture Drama,7.25
Free!: FrFr - Short Movie,7.8
Fruits Basket,7.8
Digimon Frontier,7.25
Yonhyakunijuu Renpai Girl,6.13
Gakuen Alice,7.8
Doraemon Movie 02: Nobita no Uchuu Kaitakushi,7.25
Haikyuu!! Movie 2: Shousha to Haisha,7.81
Shin Strange+ Special,6.13
Doraemon Movie 19: Nobita no Nankai Daibouken,7.25
Huyao Xiao Hongniang: Wangquan Fugui,7.8
Persona 4 the Animation: Mr. Experiment Shorts,6.42
Detective Conan Movie 11: Jolly Roger in the Deep Azure,7.6
Bakuretsu Hunters,6.86
Gochuumon wa Usagi Desu ka?,7.6
Futari wa Precure: Splash☆Star,7.25
Fireball,6.86
The Disappearance of Conan Edogawa: The Worst Two Days in History,7.8
Haiyore! Nyaruko-san,7.25
To LOVE-Ru Darkness 2nd,7.8
Tokyo Ravens,7.8
Kaitou Joker 2nd Season,7.25
Genshiken Nidaime Specials,6.86
Gintama°,9.25
Kara no Kyoukai: Manner Movies,6.49
Angel Beats! Specials,7.79
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.79
Lupin III: Moeyo Zantetsuken!,7.25
Momokuri,7.25
Moyashimon Returns,7.25
Jibaku-kun,7.6
Negima!? Natsu Special!?,7.25
Blue Dragon: Tenkai no Shichi Ryuu,6.74
Melty Lancer,6.14
Dragon Quest: Dai no Daibouken,7.79
One Piece Movie 1,7.25
Koukaku no Pandora: Ghost Urn,6.86
Needless Specials,6.86
Pumpkin Scissors,7.25
Kuroko no Basket,8.46
Higashi no Eden Soushuuhen: Air Communication,7.79
Piyoko ni Omakase pyo!,6.86
Ichigo Mashimaro Encore,7.79
Inu x Boku SS Special,7.79
Iketeru Futari,6.78
Panty &amp; Stocking with Garterbelt,7.79
