anime_name,rating
Tobira wo Akete (1995),6.19
Genius Party,7.39
Panty &amp; Stocking in Sanitarybox,6.56
FLCL,8.06
Ai,4.54
Genius Party Beyond,7.39
AD Police,6.47
Acchi Kocchi,7.59
Seisai,5.63
Serial Experiments Lain,7.99
Neon Genesis Evangelion,8.32
Mind Game,7.88
Aos,3.83
X Densha de Ikou,5.91
Kiseichuu no Ichiya,5.06
00:08,5.21
Airy Me,6.4
The Chocolate Panic Picture Show,5.08
Tamala 2010: A Punk Cat in Space,6.78
Tsukuyomi: Moon Phase Special,6.8
Tenshi no Tamago,7.56
Atama Yama,6.65
Nihon Animator Mihonichi,7.56
Neon Genesis Evangelion: The End of Evangelion,8.45
Utsu Musume Sayuri,2.14
Ryokunohara Meikyuu,5.3
Extra,6.14
Gun x Sword-san,5.99
Popee the Performer,6.87
Bacterial Contamination,6.15
Shoujo Kakumei Utena: Adolescence Mokushiroku,7.59
Nami,2.67
Agitated Screams of Maggots,4.45
Ningen Doubutsuen,2.78
Koroshiya 1 The Animation: Episode 0,5.94
Nekojiru-sou,7.46
Kaze no Na wa Amnesia,6.62
Yami Shibai 3rd Season,6.25
Survival,6.42
Boogiepop wa Warawanai: Boogiepop Phantom,7.27
Inaka Isha,6.88
Yami Shibai 2nd Season,6.54
Kago Shintarou Anime Sakuhin Shuu,5.23
Kikumana,6.1
Noisy Birth,5.04
Alexander Senki Movie,6.12
Yami Shibai,7.21
Connected,6.24
Perfect Blue,8.23
