anime_name,rating
Kimi no Na wa.,9.37
Houkago no Shokuinshitsu,5.23
Fujimi 2-choume Koukyougakudan,5.72
Mamahaha,5.74
Stratosphera no Yousei,5.83
Doukyuusei (OVA): Natsu no Owari ni,5.87
Kakyuusei,5.94
Ai Doll,5.94
Keiraku no Houteishiki Level-C,6.01
Suika: Manatsu no Okurimono,6.04
Gibo,6.1
Koukai Benjo The Animation,6.11
Luv Wave,6.19
Kakyuusei 2: Anthology,6.24
Koushoku Ichidai Otoko,6.34
Choujin Densetsu Urotsukidouji,6.34
Choujin Densetsu Urotsukidouji Movie,6.37
Kanojo ga Mimai ni Konai Wake,6.41
Okane ga Nai Specials,6.46
Kizuna,6.46
Papa to Kiss in the Dark,6.47
Shin Angel,6.49
Cream Lemon,6.54
Okane ga Nai,6.58
Shin Ringetsu,6.59
Suika,6.64
Bronze: Zetsuai Since 1989,6.67
Zetsuai 1989,6.69
Finder Series,6.7
A Kite,6.72
Saigo no Door wo Shimero!,6.76
Kizuna: Koi no kara Sawagi,6.94
Ai no Kusabi (2012),6.97
Haru wo Daite Ita,6.99
Sex Pistols,7.0
Kirepapa.,7.02
Sensitive Pornograph,7.06
Hyakujitsu no Bara,7.06
Enbo,7.22
Kanashimi no Belladonna,7.28
Seitokaichou ni Chuukoku,7.36
Ai no Kusabi,7.37
Fuyu no Semi: Tokubetsu Henshuuhan,7.44
Fuyu no Semi,7.74
Sakura no Ondo,6.38
Kono Sekai no Katasumi ni,8.14
Genma Taisen,5.1
Osakana wa Ami no Naka,5.12
Legend of Duo,5.13
Cipher,5.15
First Kiss Monogatari,5.21
One: Kagayaku Kisetsu e,5.24
Odin: Koushi Hansen Starlight,5.26
Aoki Honoo,5.27
Tokyo Daigaku Monogatari,5.29
Ryokunohara Meikyuu,5.3
Litchi DE Hikari Club,5.36
Mahou no Chocolate,5.39
Digital Devil Story: Megami Tensei,5.42
Violence Jack: Harlem Bomber-hen,5.46
Keitai Shoujo,5.46
Compiler,5.47
Fushigi no Umi no Nadia: Original Movie,5.58
Yuki no Taiyou Pilot,5.58
Meiji x Kokosake &amp; anohana Receipt Oubo Campaign,5.6
Boku wa Konomama Kaeranai,5.62
Angel&#039;s Feather,5.62
Kokoro ga Sakebitagatterunda. x Sony Hi-Res &quot;Walkman&quot; and Headphone,5.63
Nakoruru: Ano Hito kara no Okurimono,5.67
Eien no Aselia,5.67
Be-Boy Kidnapp&#039;n Idol,5.67
Violence Jack: Hell&#039;s Wind-hen,5.68
Sotsugyou M: Ore-tachi no Carnival,5.68
Dennou Sentai Voogie&#039;s★Angel,5.69
Moonrakers,5.73
Galerians: Rion,5.74
Violence Jack: Jigoku Gai-hen,5.8
Mayoiga,5.8
Ninja Ryuukenden,5.81
Bihada Ichizoku,5.87
_Summer,5.88
Jikuu Tenshou Nazca,5.88
Lime-iro Ryuukitan X,5.89
Aquarion Logos,5.89
Goulart Knights: Evoked the Beginning Black,5.91
Battery,5.92
Koroshiya 1 The Animation: Episode 0,5.94
Refrain Blue,5.97
Melody,5.99
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.99
Ryo,6.01
La Rose de Versailles,6.02
Shihaisha no Tasogare,6.03
Deimos no Hanayome: Ran no Kumikyoku,6.04
Aquarian Age: Saga II - Don&#039;t Forget Me...,6.04
Memories Off,6.05
Seihou Tenshi Angel Links,6.06
Osiris no Tenbin,6.06
Gunparade Orchestra,6.06
Taisei Kensetsu: Shin Doha Kokusai Kuukou,6.07
Divergence Eve,6.08
Mai no Mahou to Katei no Hi,6.09
White Album 2 Picture Drama,6.1
Piano,6.1
Nineteen 19,6.13
I&#039;&#039;s,6.13
Wind: A Breath of Heart (TV),6.14
Lime-iro Senkitan,6.14
Angelique: Shiroi Tsubasa no Memoire,6.14
The iDOLM@STER Million Live! 1st Anniversary PV,6.15
Seraphim Call,6.15
Mitsu x Mitsu Drops,6.15
School Days,6.17
Kara no Kyoukai: Mirai Fukuin - Manner Movie,6.17
Taisei Kensetsu: Sri Lanka Kousokudouro,6.19
Akai Kiba: Blue Sonnet,6.19
Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,6.2
Koutetsu Tenshi Kurumi Zero,6.21
Kishin Houkou Demonbane,6.21
Birthday Boy,6.21
I: Wish You Were Here,6.22
DRAMAtical Murder OVA: Data_xx_Transitory,6.23
Tokimeki Memorial: Forever With You,6.24
School Days ONA,6.24
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,6.24
Kouchou-sensei to Kujira,6.25
Iron Man,6.25
Suntory Minami Alps no Tennen Mizu,6.26
Good Morning Call,6.26
Bokurano Recap,6.26
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,6.27
Tabi Machi Late Show,6.27
Sengoku☆Paradise Kiwami,6.27
Earthian,6.27
Chika Gentou Gekiga: Shoujo Tsubaki,6.27
RG Veda,6.28
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.28
Taisei Kensetsu: Bosporus Kaikyou Tunnel,6.29
W: Wish,6.3
Prism Ark Specials,6.3
Goulart Knights: Evoked the Beginning White,6.3
DNA Sights 999.9,6.3
Asagiri no Miko,6.31
The iDOLM@STER Live For You!,6.32
Kurage no Shokudou,6.32
Sakura Tsuushin,6.33
Bobby ni Kubittake,6.33
Yowai Mushi,6.34
Touken Ranbu: Hanamaru,6.34
Saishuu Shiken Kujira Progressive,6.34
Memories Off #5 Togireta Film The Animation,6.34
Burn Up Scramble,6.34
Blade,6.34
Wind: A Breath of Heart OVA,6.35
Tsuki no Sango,6.35
Taifuu no Noruda,6.35
Hijikata Toshizou: Shiro no Kiseki,6.35
Cyborg 009,6.35
Wild Adapter,6.36
Meiou Project Zeorymer,6.36
Kakyuusei (1999),6.36
Guskou Budori no Denki (2012),6.36
Blue Gender: The Warrior,6.36
91 Days Recap,6.35
Zephyr,6.37
TO-Y,6.37
Sister Princess: Re Pure,6.37
Densetsu Kyojin Ideon: Sesshoku-hen,6.37
Chocolat no Mahou,6.37
Arion,6.37
Tenshi Nanka ja Nai,6.38
Shiranpuri (Movie),6.38
Sci-fi Harry,6.38
Izumo: Takeki Tsurugi no Senki,6.38
Eightman After,6.38
Votoms Finder,6.39
Taisei Kensetsu: Vietnam Noi Bai Kuukou,6.39
Teizokurei Daydream,6.4
Lovedol: Lovely Idol OVA,6.4
Himiko-den,6.4
Airy Me,6.4
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,6.41
Survival,6.42
Magical Canan,6.42
Kuusen Madoushi Kouhosei no Kyoukan OVA,6.42
Gin&#039;iro no Olynsis: Tokito,6.42
Konchuu Monogatari Minashigo Hutch,6.43
Hitsuji no Uta,6.43
Divergence Eve 2: Misaki Chronicles,6.43
Tiger Mask W,6.44
Harukanaru Toki no Naka de: Ajisai Yumegatari,6.44
Eureka Seven AO: Jungfrau no Hanabana-tachi,6.44
Arve Rezzle: Kikaijikake no Yousei-tachi,6.44
Okusama wa Joshikousei (TV),6.45
Memories Off 3.5,6.45
Memories Off 2nd,6.45
Mari Iyagi,6.45
Magic Knight Rayearth Omake,6.45
Elf-ban Kakyuusei: Anata dake wo Mitsumete...,6.45
Dennou Coil Recaps,6.45
Tenshi Kinryouku,6.46
Popotan,6.46
Kuttsukiboshi,6.46
Memory (ONA),6.47
King of Fighters: Another Day,6.47
Bubuki Buranki,6.47
Uchuu no Kishi Tekkaman Blade II,6.48
Ajimu: Kaigan Monogatari,6.48
Space Fantasia 2001 Nights,6.49
Nana Toshi Monogatari: Hokkyokukai Sensen,6.49
Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!,6.49
D.C.III: Da Capo III Special,6.49
Toshi wo Totta Wani,6.5
Seikimatsu★Darling,6.5
Sanctuary,6.5
RahXephon Interlude: Her and Herself/Thatness and Thereness,6.5
Arslan Senki (TV): Dakkan no Yaiba,6.5
X-Men,6.51
Natsu e no Tobira,6.51
Gangsta. Recap,6.51
Youjuu Toshi,6.52
To Heart 2 Special,6.52
Sakura Taisen: Sumire,6.52
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6.52
My Life,6.52
Kite Liberator,6.52
Hello Harinezumi: Satsui no Ryoubun,6.52
Human Crossing,6.53
Angelique,6.53
Hana yori Dango (Movie),6.54
Cosmo Warrior Zero Gaiden,6.54
Comic Party Specials,6.54
Angelique: Seichi yori Ai wo Komete,6.54
Venus Versus Virus,6.55
Sentimental Journey,6.55
Mashiro-iro Symphony: The Color of Lovers Picture Drama,6.55
Follow Me,6.55
Maetel Legend,6.56
Yume Tsukai,6.57
Winter Sonata Episode 0,6.57
To Heart: Remember My Memories,6.57
Mizuiro (2003),6.57
Kuusen Madoushi Kouhosei no Kyoukan,6.57
Sukeban Deka,6.58
Sister Princess,6.58
Strange Dawn,6.59
Yoru no Yatterman,6.6
Prism Ark,6.6
Gokinjo Monogatari the Movie,6.6
Blue Seed 2,6.6
Android Ana Maico 2010,6.6
Persona 4 the Golden Animation: Thank you Mr. Accomplice,6.61
Code Geass: Soubou no Oz Picture Drama,6.61
Utawarerumono Recaps,6.62
Tooi Sekai,6.62
Palme no Ki,6.62
Kokoro Toshokan,6.62
Kaze no Na wa Amnesia,6.62
Ys,6.63
Terra e...,6.63
Taiyou no Ouji: Horus no Daibouken,6.63
Shuffle! Memories,6.63
Nozoki Ana,6.63
Kiteretsu Daihyakka,6.63
Joker Game: Kuroneko Yoru no Bouken,6.62
Beautiful World,6.62
Yume de Aetara (TV),6.64
Hanayaka Nari, Waga Ichizoku: Kinetograph,6.64
Fatal Fury: Legend of the Hungry Wolf,6.64
To Heart 2,6.65
Baldr Force Exe Resolution,6.65
Yume de Aetara,6.66
Phantom The Animation,6.66
Aru Hi Inu no Kuni kara Tegami ga Kite,6.66
Soukyuu no Fafner: Arcadian Memory,6.67
RahXephon Specials,6.67
Crying Freeman,6.67
X²: Double X,6.68
X/1999,6.68
Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi,6.68
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,6.68
Comic Party Revolution,6.68
Comic Party,6.68
Yumedamaya Kidan,6.69
Street Fighter Zero The Animation,6.69
Soukou Kihei Votoms: Case; Irvine,6.69
Mori no Densetsu,6.69
Kyoushirou to Towa no Sora,6.69
Joshikousei: Girl&#039;s High,6.69
Final Approach,6.69
Anemone,6.69
To Heart,6.7
Windaria,6.71
Touka Gettan,6.71
Natsu-iro no Sunadokei,6.71
Akai Ito,6.71
Yosuga no Sora: In Solitude, Where We Are Least Alone.,6.72
Weiß Kreuz Glühen,6.72
