anime_name,rating
Slayers Evolution-R,7.52
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,7.07
Kyou kara Maou! R,7.59
Mai-HiME,7.59
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,7.06
.hack//Roots,7.06
Scrapped Princess,7.52
One Piece: Straw Hat Theater,7.59
Pokemon XY,7.52
Pokemon: Pikachu to Eevee Friends,7.04
Shoujo Kakumei Utena: Adolescence Mokushiroku,7.59
Beet the Vandel Buster,7.06
Byston Well Monogatari: Garzey no Tsubasa,3.99
Pokemon Crystal: Raikou Ikazuchi no Densetsu,7.04
Generation of Chaos,3.98
Outbreak Company,7.52
Pokemon Best Wishes! Season 2: Episode N,7.04
One Piece Film: Gold Episode 0 - 711 ver.,7.04
Ningyo,6.59
Nanatsu no Taizai: Seisen no Shirushi,7.52
Brave Story,7.58
Fractale,7.06
Manie-Manie: Meikyuu Monogatari,7.04
Fate/stay night,7.58
Monster Musume no Iru Nichijou OVA,7.52
Fate/stay night Movie: Unlimited Blade Works,7.58
Gegege no Kitarou (1968),7.06
Mahoutsukai Precure!,7.04
Magi: The Kingdom of Magic,8.5
Aos,3.83
Hoshi no Kirby,6.73
Seisai,5.63
Grimm Masterpiece Theater II,7.58
Guskou Budori no Denki (2012),6.36
Kamikaze Kaitou Jeanne,7.52
Pupa,3.82
Takane no Jitensha,6.15
Yousei Hime Ren,6.35
Toriko Movie: Bishokushin no Special Menu,7.27
Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,8.35
Chrome Shelled Regios,7.57
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,7.57
Amnesia OVA,6.6
Yami to Boushi to Hon no Tabibito,6.73
Namiuchigiwa no Muromi-san,7.06
Etotama,7.04
Trinity Seven OVA,7.53
Hakkenden: Touhou Hakken Ibun,7.57
Digimon Xros Wars,7.04
Hakuouki: Otogisoushi,6.71
Panzer Dragoon,3.47
Nendo no Tatakai 2,3.46
Animal Yokochou,7.04
Nendo no Tatakai,3.36
Kaze no Tairiku,6.36
Shakugan no Shana Movie Special,7.25
Amatsuki,7.04
Legend of Crystania OVA,6.11
Hikari no Megami,6.71
Yu☆Gi☆Oh! (1999),7.05
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,7.05
Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,7.56
Short Peace Opening,6.35
Jagainu-kun,6.71
Magic Knight Rayearth,7.53
Kamisama no Inai Nichiyoubi,7.53
Taimadou Gakuen 35 Shiken Shoutai,7.05
Nihon Animator Mihonichi,7.56
