anime_name,rating
Cardfight!! Vanguard: Link Joker-hen,7.4
Yu☆Gi☆Oh! Zexal Second: Midokoro Tenkomori Special,6.32
Hikaru no Go,8.19
Z/X: Ignition,6.68
Death Parade,8.33
Haikyuu!! Quest Picture Drama,6.68
Hikaru no Go Special,7.59
Cardfight!! Vanguard G: GIRS Crisis-hen,7.07
Ani*Kuri15,7.02
Yu☆Gi☆Oh! 5D&#039;s,7.52
Yu☆Gi☆Oh!: Hikari no Pyramid,6.68
Shin Megami Tensei Devil Children,6.63
Selector Spread WIXOSS,7.52
Mudazumo Naki Kaikaku: The Legend of Koizumi,7.11
Lu Shidai,7.11
Yu☆Gi☆Oh! Duel Monsters,7.57
Yu☆Gi☆Oh!: The Dark Side of Dimensions,7.53
Phantasy Star Online 2 The Animation,6.5
.hack//Versus: The Thanatos Report,6.51
.hack//Sign,7.14
Hero Bank,6.15
Yu☆Gi☆Oh! Arc-V,7.61
Oreca Battle,6.07
Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,6.38
Rockman.EXE Beast,7.26
Gyakkyou Burai Kaiji: Ultimate Survivor,8.33
Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi,6.84
Bakugan Battle Brawlers: New Vestroia,6.5
Bakugan Battle Brawlers: Gundalian Invaders,6.32
Hikaru no Go: Journey to the North Star Cup,8.09
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,8.02
Saki Zenkoku-hen,7.49
Accel World,7.62
Yu☆Gi☆Oh! (1999),7.05
.hack//G.U. Trilogy,7.32
Yu☆Gi☆Oh!,7.29
Hi☆sCoool! SeHa Girls,6.6
Saki Achiga-hen: Episode of Side-A,7.38
Rio: Rainbow Gate!,6.0
Sword Art Online,7.83
Sakura Taisen: Ecole de Paris,6.61
Shion no Ou,7.66
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!,6.87
Cardfight!! Vanguard: Legion Mate-hen,7.08
Future Card Buddyfight 100,6.98
Hikaru no Go: New Year Special,7.45
Sword Art Online: Extra Edition,7.0
Log Horizon 2nd Season,7.66
D-Frag! OVA,7.47
Arcade Gamer Fubuki Extra,4.96
Saki Achiga-hen: Episode of Side-A Specials,7.63
Shoubushi Densetsu Tetsuya,7.62
Rockman.EXE Axess,7.29
Weiß Survive R,6.3
Bakugan Battle Brawlers: Mechtanium Surge,6.29
Yu☆Gi☆Oh!: Duel Monsters GX,7.23
Rockman.EXE,7.06
Zero Duel Masters,6.25
.hack//Liminality,6.74
Death Billiards,8.04
Cardfight!! Vanguard G: Next,7.16
Bishoujo Yuugi Unit Crane Game Girls,4.54
Battle Spirits: Shounen Gekiha Dan,7.3
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,6.73
Saki,7.57
.hack//Unison,6.86
Nazotokine,4.86
Yu☆Gi☆Oh! Zexal,6.58
Monster Strike,6.66
.hack//G.U. Returner,6.91
Weiß Survive,6.33
Idaten Jump,6.78
Future Card Buddyfight,7.17
Yu☆Gi☆Oh! Zexal Special,6.34
Cardfight!! Vanguard G: Stride Gate-hen,7.14
Yu☆Gi☆Oh! 5D&#039;s: Shinkasuru Kettou! Stardust vs. Red Demon&#039;s,7.12
No Game No Life,8.47
Phi Brain: Kami no Puzzle,7.32
.hack//The Movie: Sekai no Mukou ni,7.32
Bakugan Battle Brawlers,6.38
Rockman.EXE Beast+,7.11
Accel World: Infinite∞Burst,7.03
Cardfight!! Vanguard: Asia Circuit-hen,7.06
.hack//Intermezzo,6.71
Pokemon Sun &amp; Moon,7.23
Gyakkyou Burai Kaiji: Hakairoku-hen,8.29
.hack//Gift,6.37
3-gatsu no Lion,7.93
Selector Destructed WIXOSS Movie,7.3
Log Horizon,8.14
No Game No Life Specials,6.76
Master of Epic: The Animation Age,6.23
Netoge no Yome wa Onnanoko ja Nai to Omotta?,7.17
Majin Bone,6.84
.hack//Tasogare no Udewa Densetsu,6.75
Cardfight!! Vanguard Movie: Neon Messiah,7.14
Battle Spirits: Shounen Toppa Bashin,6.84
.hack//G.U. Trilogy: Parody Mode,6.67
Baku Tech! Bakugan,6.28
.hack//Quantum,7.36
Rio: Rainbow Gate! Special,6.25
Accel World EX,7.32
Bakegyamon,6.84
Rockman.EXE Movie: Hikari to Yami no Program,7.4
D-Frag!,7.75
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,6.33
Yu☆Gi☆Oh!: Chou Yuugou! Toki wo Koeta Kizuna,7.28
Ryuusei no Rockman,7.31
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,7.21
Cardfight!! Vanguard,7.25
Lostorage Incited WIXOSS,7.03
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.32
Fighting Foodons,6.26
Chihayafuru 2,8.52
Puzzle &amp; Dragons Cross,6.03
Wonder Momo,3.9
Overlord,8.04
Bishoujo Yuugi Unit Crane Game Girls Galaxy,5.04
Sword Art Online II,7.35
Cardfight!! Vanguard G,6.9
Yu☆Gi☆Oh! Zexal Second,7.07
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,7.42
.hack//Roots,7.06
Chihayafuru,8.32
Selector Infected WIXOSS,7.41
Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.42
Rockman.EXE Stream,7.25
Sword Art Online II: Debriefing,6.56
