anime_name,rating
Zettai Junpaku♡Mahou Shoujo,5.46
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,7.68
Seirei Tsukai no Blade Dance,7.15
Ai Yori Aoshi: Yumegatari,6.92
DearS,6.8
Hayate no Gotoku!,7.75
To LOVE-Ru Darkness 2nd Specials,7.93
Princess Lover! Picture Drama,6.27
Hoshizora e Kakaru Hashi,7.04
Binetsukko ♭37℃ The Animation,6.14
Kore wa Zombie Desu ka?,7.67
School Days,6.17
Date A Live: Date to Date,7.55
15 Bishoujo Hyouryuuki,6.98
Tenchi Muyou!,7.54
Shinmai Maou no Testament Burst,7.13
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,6.34
Bonjour♪Koiaji Pâtisserie,6.35
Taimadou Gakuen 35 Shiken Shoutai,7.05
Diabolik Lovers OVA,6.06
Dual Parallel! Trouble Adventures,7.17
Uta no☆Prince-sama♪ Maji Love Revolutions,7.18
Rokujouma no Shinryakusha!? (TV),7.33
Tayu Tayu,6.99
Omamori Himari,7.19
Hayate no Gotoku!!,7.92
Hyakka Ryouran: Samurai After,6.8
D.C. I&amp;II P.S.P. Re-Animated,6.83
Kiniro no Corda: Secondo Passo,7.26
Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,6.78
Koi Koi 7,5.96
Happy☆Lesson: The Final,6.96
Shinmai Maou no Testament OVA,7.16
Sora no Otoshimono,7.68
Kyonyuu Fantasy,7.31
Sora no Otoshimono: Project Pink,7.63
Kakyuusei 2: Anthology,6.24
Saber Marionette R,6.73
Kanokon,6.74
Saber Marionette J,7.45
To Heart 2 OVA,7.05
White Album 2nd Season,7.04
MM!,7.36
Sweet Home: H na Oneesan wa Suki Desu ka?,7.1
Maburaho,7.01
Sora no Otoshimono Final: Eternal My Master,6.89
Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,7.46
Baby Princess 3D Paradise 0 [Love],6.63
Ouran Koukou Host Club,8.39
Guren,6.36
Juuou Mujin no Fafnir,6.44
W: Wish,6.3
Date A Live Movie: Mayuri Judgment,7.56
Neo Angelique Abyss: Second Age,7.2
Tokimeki Memorial 4 OVA,6.3
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,7.32
Sakura Taisen: Ecole de Paris,6.61
Shuffle!,7.31
To Heart 2,6.65
Eiken: Eikenbu yori Ai wo Komete,4.65
Absolute Duo,6.78
Love Hina,7.28
Watashi ga Motete Dousunda,7.64
Mayoi Neko Overrun!,6.89
1+2=Paradise,5.24
Nisekoi,7.91
Shocking Pink!,7.0
Zero no Tsukaima: Futatsuki no Kishi,7.73
Mayo Chiki!,7.53
Love♥Love? Specials,6.2
Koihime,6.78
Kore wa Zombie Desu ka? OVA,7.57
Kiniro no Corda: Blue♪Sky,6.5
To LOVE-Ru Darkness 2nd OVA,7.91
Saenai Heroine no Sodatekata,7.69
Yamada-kun to 7-nin no Majo (TV),7.91
Freezing Vibration,7.1
Ichigo 100% OVA,7.03
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,7.44
Gift: Eternal Rainbow Special,6.89
Tayutama: Kiss on My Deity,6.93
Maken-Ki!,6.69
Saber Marionette J Again,7.32
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,7.39
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6.52
D.C.S.S: Da Capo Second Season Omake,6.78
Negima!? Haru Special!?,7.21
Yumeria,6.25
To LOVE-Ru OVA,7.51
Princess Lover!,7.03
Kanojo ga Flag wo Oraretara OVA,6.8
Elf-ban Kakyuusei: Anata dake wo Mitsumete...,6.45
Dance with Devils,6.71
Mahou Sensei Negima!,7.11
Honoo no Haramase Doukyuusei,6.83
Kishin Houkou Demonbane (TV),6.71
