anime_name,rating
Ryouki no Ori: Dai 2 Shou,5.91
Swing Out Sisters,7.26
Bad End,5.52
Mahou Shoujo Ai,6.7
Cleopatra,6.06
Ikusa Otome Valkyrie G,6.7
Hontou ni Atta,5.92
Bible Black: Imari Ryoujoku Genba,6.7
Gitai Saimin,6.06
Makai Tenshi Djibril: Episode 2,6.71
Maro no Kanja wa Gatenkei,6.05
Fuurinkanzan,5.83
Lovely x Cation The Animation,7.27
Kojin Jugyou The Animation: Schoolgirl Ready for a Private Lesson,6.71
Jutaijima,6.71
Choujin Densetsu Urotsukidouji: Inferno Road,5.91
Discipline Zero,6.71
Zoku Koihime,6.72
Grope: Yami no naka no Kotoritachi,6.05
Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,5.83
Ienai Koto The Animation,6.05
Futabu!!,7.28
Tropical Kiss,7.28
Soushisouai Note The Animation,7.28
Tokyo Requiem,5.92
Oni Chichi: Vacation,7.28
Colosseum no Senki: Another Story,5.89
Kanashimi no Belladonna,7.28
Kuro no Danshou,6.05
Custom Reido,5.33
Gakuen no Ikenie: Nagusami Mono to Kashita Kyonyuu Furyou Shoujo,5.76
Kurohime: Shikkoku no Yakata,6.05
Paizuri Cheerleader vs. Sakunyuu Ouendan!,6.72
Houkago Nyannyan,6.04
Natsumushi The Animation,6.72
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,7.29
Kunoichi Sakuya,5.89
Kanojo wa Dare to demo Sex Suru.,6.72
Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,7.29
Lovely Day: Boku to Kanojo no Nana Nichikan,6.04
Resort Boin,7.31
Futabu! Mix: Futanari World,6.72
Choukou Tenshi Escalayer,6.72
Bust to Bust: Chichi wa Chichi ni,6.72
Boin,6.72
A Kite,6.72
Oshiete Re: Maid,6.73
Mikagura Tanteidan,6.04
Yuuguu Settai: Kotou no Gokuraku e Youkoso,5.85
Suika: Manatsu no Okurimono,6.04
Itazura The Animation,6.73
Harukoi Otome,6.73
Kyonyuu Fantasy,7.31
Gibomai,6.73
Chinetsu Karte: The Devilish Cherry,6.73
Soukou Kijo Iris,6.74
Soreyuke Marin-chan,6.74
Kaette Kita Court no Naka no Tenshi-tachi,6.03
Kiss yori...,6.03
Utsukushiki Emono-tachi no Gakuen,5.58
Oyakodon: Oppai Tokumori Bonyuu Tsuyudaku de,6.73
My Imouto: Koakuma na A-Cup,6.74
Hyoudou Ibuki: Kanpeki Ibuki Kaichou ga Kousoku Do M!? na Wake,6.75
Garden,6.73
Gakuen Shimai,6.74
Endless Serenade,5.88
Furueru Kuchibiru Episode 0,6.74
Fukubiki! Triangle: Futaba wa Atafuta ♥,6.74
Cleavage,6.74
Harem Time The Animation,7.31
Onna Kyoushi Yumi no Houkago,6.03
Star☆Jewel,6.75
Saimin Ryoujoku Gakuen,6.75
Mezzo Forte,6.75
Kowaremono: Risa Plus The Animation,6.75
Maid-san to Boin Damashii,5.71
Rape! Rape! Rape!,6.03
Junjou Shoujo Et Cetera,6.75
TSF Monogatari,6.76
Seikou!: Osananajimi wa Terekusasou ni Uso wo Tsuku,6.02
Shuudan Chikan Densha,6.03
Shoujo Senki Soul Eater,6.76
Jinkou Shoujo: Henshin Sex Android,6.76
Fukubiki! Triangle: Miharu After,7.31
Spaceship Agga Ruter,6.77
True Blue,6.03
Mou Hasamazu ni wa Irarenai♥: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!,6.77
Kyonyuu Kazoku Saimin,6.77
Kuro no Kyoushitsu,6.77
Court no Naka no Tenshi-tachi,6.02
Koikishi Purely☆Kiss The Animation,7.32
Kimihagu,6.77
JK to Ero Giin Sensei,6.77
Floating Material,6.77
Seme♥Chichi,5.94
Dropout,7.32
Koihime,6.78
Triangle Heart: Sazanami Joshi Ryo,5.71
JK Bitch ni Shiboraretai,7.33
Kinbaku no Yakata: Ryakudatsu,5.56
Koakuma Kanojo The Animation,7.34
Daishikkin Helena,6.02
Daiakuji: The Xena Buster Specials,6.78
Hika Ryoujoku: Wana ni Hamatta Futari,5.32
Aku no Onna Kanbu,6.78
Sexfriend,6.79
Dorei Usagi to Anthony The Animation,7.34
Ringetsu The Animation,6.79
Boku no Pico,5.13
