anime_name,rating
Fuyu no Semi: Tokubetsu Henshuuhan,7.44
Dae Jang Geum: Jang Geum&#039;s Dream,7.24
Dantalian no Shoka: Ibarahime,7.24
Gintama,9.04
Asura,7.23
Otaku no Video,7.22
First Squad: The Moment of Truth,6.16
Oda Nobuna no Yabou Soushuuhen,7.23
Bakumatsu Kikansetsu Irohanihoheto,7.22
Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,6.72
Tono to Issho,6.76
Genji Monogatari,6.72
Harukanaru Toki no Naka de: Hachiyou Shou OVA,6.72
Kamui no Ken,6.72
Power Stone,6.57
Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,6.71
Hakuouki: Otogisoushi,6.71
Sengoku Basara Movie: 4-Koma Gekijou - Another Last Party,6.61
Baccano! Specials,8.29
Gifuu Doudou!!: Kanetsugu to Keiji,6.56
The Hakkenden,6.77
Sengoku Otome: Momoiro Paradox,6.71
Karakuri no Kimi,6.69
SD Gundam Sangokuden Brave Battle Warriors,6.56
Wellber no Monogatari: Sisters of Wellber,6.78
Wanwan Sanjuushi,6.78
Sengoku Musou SP: Sanada no Shou,6.68
Joker Game: Kuroneko Yoru no Bouken,6.62
Gambo,6.78
Ai no Gakko Cuore Monogatari,6.78
Sengoku Musou,6.67
Hanayaka Nari, Waga Ichizoku: Kinetograph,6.64
Souten no Ken Specials,6.55
Nobunaga no Shinobi,6.65
Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,6.8
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.83
Kaze Tachinu,8.24
Kingdom,8.24
Seirei no Moribito,8.24
Gosick,8.23
Nobunaga the Fool,6.81
Gintama: Jump Festa 2014 Special,8.2
Saiunkoku Monogatari 2nd Season,8.2
Cleopatra,6.06
Hakushaku to Yousei Specials,6.53
Mushishi Zoku Shou,8.8
Gintama: Jump Festa 2015 Special,8.15
Mushishi,8.78
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.13
Harukanaru Toki no Naka de: Hachiyou Shou Specials,6.52
Hyouge Mono,8.1
Gintama°,9.25
