anime_name,rating
The SoulTaker: Tamashii-gari,6.5
Blade,6.34
H. P. Lovecraft&#039;s The Dunwich Horror and Other Stories,6.39
Blue Seed 2,6.6
Akira,8.15
Paprika,8.15
Jigoku Sensei Nube (Movie),6.82
Inyouchuu Shoku Special,6.38
Choujin Densetsu Urotsukidouji: Mirai-hen,6.13
Ghost Hunt,7.97
Youma,6.25
Higurashi no Naku Koro ni Kaku: Outbreak,7.36
Ao Oni The Animation,4.88
Tokumu Sousakan Rei &amp; Fuko,6.37
Choujin Densetsu Urotsukidouji 2,6.28
Hakaba Kitarou,7.01
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.49
Shinrei Tantei Yakumo,7.47
Blood-C,6.73
Ankoku Shinwa,4.31
Maou Dante,6.31
Within the Bloody Woods,3.65
Yami Shibai 3rd Season,6.25
Kowabon,5.33
No Littering,3.62
JoJo no Kimyou na Bouken: Phantom Blood,7.77
Hitsuji no Uta,6.43
Bloody Date,4.66
Terra Formars: Bugs 2-hen,7.27
Shikabane Hime: Kuro Special,7.12
Lily C.A.T.,6.11
Malice@Doll,5.92
Mnemosyne: Mnemosyne no Musume-tachi,7.5
Biohazard: Damnation,7.42
Warau Hyouteki,6.44
Violence Jack: Hell&#039;s Wind-hen,5.68
Dororon Enma-kun,6.38
Silent Mobius,6.95
Kiseichuu no Ichiya,5.06
Kyoushoku Soukou Guyver II,7.2
Kikoushi Enma,7.29
Mermaid Forest OVA,7.01
Juubee Ninpuuchou: Ryuuhougyoku-hen,6.78
Ajin,7.78
Mermaid&#039;s Scar,7.08
Vampire Hunter D,7.26
Litchi DE Hikari Club,5.36
Gantz 2nd Stage,7.29
Maid of the Dead,4.26
Youkai Ningen Bem (2006),5.93
Manie-Manie: Meikyuu Monogatari,7.04
Jigoku Shoujo,7.79
Ayakashi,6.5
Juubee Ninpuuchou,7.67
Shin Megami Tensei: Tokyo Mokushiroku,5.71
Corpse Party: Missing Footage,6.38
X/1999,6.68
Gegege no Kitarou (2007),7.07
Highschool of the Dead,7.46
Kaibutsu Oujo (OVA),7.21
Kaibutsu Oujo: Konsui Oujo,7.12
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.27
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,7.42
Devilman,6.55
Elfen Lied Special,7.34
Gegege no Kitarou (1968),7.06
Kurozuka,7.08
Gyo,5.71
Teito Monogatari,6.06
Teizokurei Daydream,6.4
Bio Hunter,6.1
Interlude,6.67
Agitated Screams of Maggots,4.45
Neo Ranga,6.57
Koroshiya 1 The Animation: Episode 0,5.94
Deadman Wonderland OVA,7.12
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,7.12
Zetman,7.01
Tokyo Ghoul √A,7.52
Umezu Kazuo no Noroi,6.37
Gantz,7.27
Extra,6.14
Alien 9,6.71
Blood+,7.8
Cossette no Shouzou,7.0
Ajin OVA,7.68
Petshop of Horrors,7.41
Yami no Matsuei,7.23
Galerians: Rion,5.74
Kyuuketsuhime Miyu (TV),7.24
Boukyaku no Senritsu,6.44
Jigoku Sensei Nube: Kyoufu no Natsu Yasumi! Asashi no Uni no Gensetsu,6.93
Blood-C: The Last Dark,7.33
Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,7.08
Shingetsutan Tsukihime,7.1
Ushio to Tora,7.23
Kakugo no Susume,4.49
Youjuu Toshi,6.52
Biohazard 4D-Executer,5.75
Digital Devil Story: Megami Tensei,5.42
Sankarea,7.53
Deadman Wonderland,7.48
Devilman Lady,6.92
Tokkou,6.71
Kyuuketsuhime Miyu,7.13
Mermaid Forest,7.16
Makai Toshi Shinjuku,6.36
C.L.A.Y.,3.84
Psycho Diver: Mashou Bosatsu,5.95
Another: The Other - Inga,7.5
Boogiepop wa Warawanai: Boogiepop Phantom,7.27
JoJo no Kimyou na Bouken: Adventure,7.22
Luv Wave,6.19
Ajin 2nd Season,8.12
Dark Cat,4.04
Hametsu no Mars,2.37
Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,5.83
Kakurenbo,7.02
Memories,7.84
Mahou Shoujo Ai,6.7
Airy Me,6.4
Daimajuu Gekitou: Hagane no Oni,5.45
Violence Jack: Jigoku Gai-hen,5.8
Blue Seed,7.13
Change!! Getter Robo: Sekai Saigo no Hi,7.84
Ajin Part 1: Shoudou,7.84
Jigoku Sensei Nube OVA,7.3
Blue Gender: The Warrior,6.36
Shuten Douji,6.05
Mononoke,8.49
Blue Gender,7.13
Biohazard 4: Incubate,6.45
3x3 Eyes Seima Densetsu,7.13
Ajin Part 3: Shougeki,7.36
Elfen Lied,7.85
Yami no Shihosha Judge,5.46
Hellsing I: Digest for Freaks,7.86
Mayoiga,5.8
Violence Jack: Harlem Bomber-hen,5.46
Terra Formars,7.14
Pussycat,4.49
Mamono Hunter Youko,6.41
Shin Getter Robo,7.48
Deimos no Hanayome: Ran no Kumikyoku,6.04
Terra Formars Revenge,6.91
Shinsekai yori,8.53
Tokyo Majin Gakuen Kenpucho: Tou,7.31
Youjuu Sensen Adventure Kid,5.49
Supernatural The Animation,7.2
Tokyo Ghoul,8.07
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.87
Shikabane Hime: Kuro,7.45
Tokyo Ghoul: &quot;Jack&quot;,7.71
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,8.1
Yuuwaku Countdown,5.95
Hellsing,7.64
Enzai,5.55
Gregory Horror Show,6.9
Highlander: The Search for Vengeance,6.9
Kaidan Restaurant,7.39
Sci-fi Harry,6.38
Another,7.88
Kago Shintarou Anime Sakuhin Shuu,5.23
Koutetsujou no Kabaneri,7.39
Mouryou no Nie,6.3
Roots Search: Shokushin Buttai X,4.34
Ookamikakushi,6.47
Hells,7.14
Gakkougurashi!,7.71
Gakkou no Kaidan,7.71
Berserk: Ougon Jidai-hen III - Kourin,8.33
Call Me Tonight,5.48
Darkside Blues,6.33
Berserk,8.4
Tasogare Otome x Amnesia: Taima Otome,7.56
Chika Gentou Gekiga: Shoujo Tsubaki,6.27
Night Walker: Mayonaka no Tantei,7.09
Kaibutsu Oujo,7.16
Kagewani,6.54
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,8.09
Devilman: Yochou Sirene-hen,7.14
Sankarea: Wagahai mo... Zombie de Aru...,7.39
Yakumo Tatsu,6.25
Bloody Night,4.26
Injuu Seisen: Twin Angels,6.0
Biohazard: Degeneration,7.19
Inma Youjo,6.23
Kagewani: Shou,6.54
Battle Royal High School,5.83
Kimera,5.29
The Urotsuki,6.01
Karakuri no Kimi,6.69
Umineko no Naku Koro ni,7.34
Megami Kyouju,5.85
Perfect Blue,8.23
Ayashi no Ceres,7.38
Injuu Alien,5.42
Seisai,5.63
Shihaisha no Tasogare,6.03
Injuu Kyoushi,5.76
Genocyber,6.12
3x3 Eyes,6.97
Ajin Part 2: Shoutotsu,7.51
Muramasa,6.39
Blood-C: Special Edition,6.88
Devilman: Tanjou-hen,7.19
Jigoku Shoujo Futakomori,8.08
Zombie-Loan,7.06
Yoru ga Kuru!,6.02
Tokyo Ghoul: &quot;Pinto&quot;,7.61
Jigoku Sensei Nube,7.65
Ayakashi: Japanese Classic Horror,7.61
Kyoushoku Soukou Guyver (1989),7.32
Yami Shibai,7.21
Toshi Densetsu Monogatari Hikiko,6.09
Shiki Specials,7.93
Kiseijuu: Sei no Kakuritsu,8.59
Shikabane Hime: Aka,7.38
Hyakki,5.9
Monster Extra,6.81
Bacterial Contamination,6.15
Sankarea OVA,7.35
Himekishi Lilia,7.02
Gantz:O,7.34
Monster,8.72
Yami Shibai 2nd Season,6.54
Night Head Genesis,6.88
Inda no Himekishi Janne,6.46
Kuro no Danshou,6.05
Kemonozume,7.59
Kishin Douji Zenki,7.09
Karakuri Zoushi Ayatsuri Sakon,7.5
Hellsing: The Dawn,7.37
Kyoushoku Soukou Guyver,6.49
Betterman,6.77
Pupa,3.82
Blood: The Last Vampire,7.01
Oni-Tensei,6.44
JoJo no Kimyou na Bouken,7.47
Vampire Hunter D (2000),7.95
Tasogare Otome x Amnesia,7.95
Sin: The Movie,5.27
Higurashi no Naku Koro ni,8.17
Berserk (2016),6.81
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.95
Choujin Densetsu Urotsukidouji: Inferno Road,5.91
Hellsing Ultimate,8.59
Arc the Lad,6.62
Chainsaw Maid,5.27
Chuumon no Ooi Ryouriten (1991),6.31
Amon: Devilman Mokushiroku,6.68
Pinky,3.71
