anime_name,rating
Chihayafuru 2,8.52
Hakuouki Reimeiroku Tokuten Disc,7.46
Natsuyuki Rendezvous,7.36
Hakuouki Reimeiroku,7.63
Hanayaka Nari, Waga Ichizoku: Kinetograph,6.64
Massugu ni Ikou.,6.71
Hakuouki Movie 1: Kyoto Ranbu,7.94
Hakuouki Hekketsuroku Episode 0,7.16
Servamp,7.12
Hachimitsu to Clover Specials,7.85
Sakamichi no Apollon,8.48
Hakuouki,7.57
Kuragehime: Eiyuu Retsuden☆,6.68
Gokusen,7.48
Kuragehime,8.24
Nodame Cantabile OVA 2,7.69
Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,6.71
Otona Joshi no Anime Time,7.52
Hachimitsu to Clover II,8.37
Shouwa Genroku Rakugo Shinjuu,8.59
Hakuouki: Otogisoushi,6.71
Super Seisyun Brothers,7.0
Hakuouki Sekkaroku,7.84
Nodame Cantabile Finale,8.38
Norn9: Norn+Nonet Recap,5.93
Chouyaku Hyakuninisshu: Uta Koi.,7.54
Nodame Cantabile: Paris-hen,8.27
Norn9: Norn+Nonet,6.65
Kuragehime: Soreike! Amars Tankentai,5.77
Nodame Cantabile,8.46
Hakuouki Hekketsuroku,7.76
Kantoku Fuyuki Todoki,5.94
Hakuouki Movie 2: Shikon Soukyuu,8.03
Nodame Cantabile Special,7.5
Usagi Drop,8.56
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,7.11
Usagi Drop Specials,8.07
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,7.6
Hachimitsu to Clover,8.18
Petshop of Horrors,7.41
Chihayafuru,8.32
Amnesia,6.39
Nodame Cantabile OVA,7.57
Nodame Cantabile Finale Special,7.93
Shirokuma Cafe,8.01
Paradise Kiss,7.93
Ristorante Paradiso,7.48
