anime_name,rating
Digimon Adventure Movie,7.61
Sonic X Pilot,6.29
Yume-iro Pâtissière: Mune Kyun Tropical Island!,7.29
Pokemon: Pikachu Koori no Daibouken,6.66
Pokemon XY,7.52
Jungle Taitei,6.69
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,6.89
Pokemon XY: Koukoku no Princess Diancie,6.4
A Piece of Phantasmagoria,6.38
Guskou Budori no Denki (2012),6.36
Bavel no Hon,5.79
Hipira-kun,6.32
Inazuma Eleven Go vs. Danball Senki W Movie,7.34
Happy Birthday: Inochi Kagayaku Toki,7.48
Naisho no Tsubomi,6.72
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.37
Pokemon XY: Mega Evolution,7.7
Pokemon: Pikachu no Fuyuyasumi (2000),6.67
Stitch!,6.12
Cheburashka Arere?,6.57
Pokemon XY: Hoopa no Odemashi Daisakusen!!,6.25
Doubutsu no Mori,7.15
Hoshi wo Katta Hi,7.28
Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,7.15
Doraemon (2005),7.59
Puzzle &amp; Dragons Cross,6.03
Fushigi no Kuni no Alice,6.52
Pokemon: Mewtwo - Kakusei e no Prologue,6.87
Chocolate Underground,6.28
Tanoshii Muumin Ikka,7.95
Digimon Adventure 02,7.37
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.32
Pokemon XY&amp;Z,7.91
Doraemon Movie 23: Nobita to Robot Kingdom,7.33
Doraemon Movie 26: Nobita no Kyouryuu 2006,7.56
Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,7.32
Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,7.4
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,6.96
Pokemon: Pikachu no Natsuyasumi,6.86
Rockman.EXE Movie: Hikari to Yami no Program,7.4
Tenkai Knights,6.82
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,7.43
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.38
Madang-Eul Naon Amtalg,7.97
Anime 80-nichikan Sekai Isshuu,6.86
Ginga no Uo Ursa Minor Blue,6.33
Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.54
Chi&#039;s Sweet Home OVA,7.5
Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki,6.78
Chiisana Viking Vickie,6.59
Keroro Gunsou Movie 1,7.45
Doraemon Movie 10: Nobita no Nippon Tanjou,7.33
Danball Senki Wars,7.36
Tottoko Hamtarou,7.03
Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,6.81
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.26
Gudetama,7.36
Pokemon Best Wishes! Season 2,6.78
Stand By Me Doraemon,8.12
Pokemon: Mewtwo no Gyakushuu,7.66
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,7.05
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,6.9
Crayon Shin-chan Movie 03: Unkokusai no Yabou,7.17
Precure All Stars Movie New Stage 3: Eien no Tomodachi,7.47
Nagagutsu wo Haita Neko,7.18
Mitsubachi Maya no Bouken,6.43
Danball Senki W,7.3
Panda Kopanda,6.91
Pokemon: Meloetta no Kirakira Recital,6.7
Doraemon (1979),7.76
Tottoko Hamtarou Movie 1: Ham-Ham Land Daibouken,6.84
Pokemon Best Wishes!,6.78
Pokemon,7.43
MapleStory,5.59
Taneyamagahara no Yoru,5.81
Astro Boy: Tetsuwan Atom,7.02
Doraemon,7.49
Afro-Ken,5.3
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.23
Deltora Quest,7.11
Pokemon: Pikachu no Kirakira Daisousaku!,6.58
Digimon Savers 3D: Digital World Kiki Ippatsu!,6.35
Yume-iro Pâtissière,8.07
Pokemon: Pikachu no Fuyuyasumi,6.7
Doraemon Movie 12: Nobita no Dorabian Nights,7.37
Yodaka no Hoshi,6.56
Digimon Adventure 3D: Digimon Grand Prix!,6.12
Brave Story,7.58
Furusato Saisei: Nihon no Mukashibanashi,7.09
Anime Himitsu no Hanazono,7.11
Kamisama Minarai: Himitsu no Cocotama,6.17
Pokemon Fushigi no Dungeon: Sora no Tankentai - Toki to Yami wo Meguru Saigo no Bouken,6.88
Wagamama☆Fairy Mirumo de Pon!,7.47
Ojamajo Doremi Sharp Movie,7.29
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,7.73
Pokemon: Mewtwo! Ware wa Koko ni Ari,7.14
Fastening Days,6.52
Crayon Shin-chan,7.73
Grimm Masterpiece Theater,7.62
Pokemon: Ash&#039;s Journey,6.75
Shin Megami Tensei Devil Children,6.63
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,7.07
Unico: Mahou no Shima e,7.24
Unico,7.43
Doraemon: 2112-nen Doraemon Tanjou,7.39
Pokemon Diamond &amp; Pearl: Arceus Choukoku no Jikuu e,7.14
Rokumon Tengai Mon Colle Knights,6.63
Pita Ten,7.08
Daisuki! Hello Kitty,6.49
B-Densetsu! Battle Bedaman Enkon,6.48
Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-bu Special!!,6.82
Pokemon: Pikachu no Wanpaku Island,6.65
Pokemon Crystal: Raikou Ikazuchi no Densetsu,7.04
Pokemon: Pikachu Tankentai,6.65
Pokemon: Pikachu to Eevee Friends,7.04
Chiisana Pengin: Lolo no Bouken,7.46
Pokemon: Celebi Toki wo Koeta Deai,7.05
Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi,6.68
Jigoku Youchien,4.73
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,7.57
Doraemon Movie 11: Nobita to Animal Planet,7.42
Ochame na Futago: Claire Gakuin Monogatari,7.12
Nils no Fushigi na Tabi,7.14
Domo-kun,7.09
Heisei Tanuki Gassen Ponpoko,7.42
Pokemon Ranger: Hikari no Kiseki,6.68
Youkai Watch,6.95
Pokemon: Pikachu no Dokidoki Kakurenbo,6.68
Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi,6.72
Doraemon Movie 07: Nobita to Tetsujin Heidan,7.46
Panda-Z: The Robonimation,6.56
Kodai Ouja Kyouryuu King,6.14
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,7.74
Doraemon Movie 15: Nobita to Mugen Sankenshi,7.46
Pokemon: Pikachu no Summer Bridge Story,6.57
Doraemon Movie 30: Nobita no Ningyo Daikaisen,7.34
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,7.18
Yadosagashi,6.6
Pokemon XY&amp;Z Specials,7.05
Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪,7.09
Muumindani no Suisei,7.74
Jagainu-kun,6.71
Pokemon Diamond &amp; Pearl: Dialga vs. Palkia vs. Darkrai,7.34
Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!,6.68
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,7.48
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,7.22
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,7.29
Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,6.63
Cinderella Monogatari,7.5
Doraemon Movie 19: Nobita no Nankai Daibouken,7.25
Pokemon XY: Hakai no Mayu to Diancie,6.75
D.I.C.E.,6.31
Pokemon: The Origin,7.94
Pokemon Housoukyoku,6.99
Poulette no Isu,7.16
Kaidan Restaurant,7.39
Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki,6.85
PuriGorota: Uchuu no Yuujou Daibouken,5.07
Danball Senki,7.29
Kujira no Chouyaku,6.8
Pokemon Black and White 2: Introduction Movie,7.71
Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,7.02
Pokemon Best Wishes!: Victini to Kuroki Eiyuu Zekrom,6.94
Pokemon Omega Ruby &amp; Alpha Sapphire: Mega Special Animation,7.04
Pokemon the Movie XY: Ring no Choumajin Hoopa,6.94
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.79
Sonic X,6.54
Mizugumo Monmon,6.84
Digimon Adventure 02 Movies,7.23
Pokemon: Kesshoutou no Teiou Entei,7.16
Pokemon XY: Odemashi Ko Majin Hoopa,6.47
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.29
True Tears: Raigomaru to Jibeta no Monogatari,6.28
Pokemon: Utae Meloetta - Rinka no Mi wo Sagase!,6.49
Wakakusa no Charlotte,6.99
Pokemon Diamond &amp; Pearl Specials,7.17
Pokemon XY SP: Road to Kalos,6.56
Pokemon XY: New Year Special,6.49
Pokemon: Senritsu no Mirage Pokemon,6.57
Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,7.45
Tanoshii Muumin Ikka Bouken Nikki,7.56
Rikujou Bouei-tai Mao-chan,6.4
