anime_name,rating
Shin Hokuto no Ken,7.04
Kinnikuman II Sei: Ultimate Muscle 2,7.03
Sakigake!! Otokojuku,7.51
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,7.07
Zettai Shougeki: Platonic Heart,4.83
Ninin ga Shinobuden,7.03
Battle Spirits: Ryuuko no Ken,4.89
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.5
Izumo: Takeki Tsurugi no Senki,6.38
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,7.5
Sumomomo Momomo: Chijou Saikyou no Yome Specials,7.08
Ani*Kuri15,7.02
Naruto: Shippuuden Movie 5 - Blood Prison,7.62
Sumomomo Momomo: Chijou Saikyou no Yome,7.08
Ben-To,7.49
Mobile Fighter G Gundam,7.62
Asu no Yoichi!,7.02
Dragon Ball Z Movie 14: Kami to Kami,7.62
Yawara!,7.63
Katanagatari,8.49
Fatal Fury: The Motion Picture,6.75
Medaka Box Abnormal,7.63
Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.63
Maji de Watashi ni Koi Shinasai!,7.02
Hokuto no Ken 2,7.64
Choujin Gakuen Gowcaizer: The Voltage Fighters,5.23
Muramasa,6.39
Tales of Symphonia The Animation: Sekai Tougou-hen,7.66
Mushibugyou,7.47
Tekken,5.35
Tales of Symphonia The Animation: Tethe&#039;alla-hen,7.67
Grappler Baki: Saidai Tournament-hen,7.46
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.68
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,7.68
Tenjou Tenge,7.1
Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,7.0
Ranma ½: DoCo Music Video,7.1
Toushinden,5.43
Ranma ½: Akumu! Shunmin Kou,7.7
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.99
Hokuto no Ken: Toki-den,7.45
Kinnikuman II Sei: Ultimate Muscle,6.99
Kurokami: Tora to Tsubasa,6.99
Freezing Vibration,7.1
Saber Marionette J,7.45
Makai Kishi Ingrid,7.11
Naruto Shippuuden: Sunny Side Battle,7.26
Rekka no Honoo,7.44
Sengoku Basara Two,7.74
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,7.11
Taimanin Asagi,7.02
Ikkitousen: Dragon Destiny,6.96
Ikkitousen: Great Guardians,6.96
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival,6.96
Naruto: Shippuuden Movie 2 - Kizuna,7.43
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,7.11
Ikkitousen: Xtreme Xecutor,6.95
Tekken Chinmi,7.43
Sengoku Basara Movie: The Last Party,7.77
Kinnikuman II Sei,6.95
Fushigi Yuugi,7.77
Yuu☆Yuu☆Hakusho,8.47
