anime_name,rating
Piano no Mori,7.87
Pretty Rhythm: All Star Selection,6.34
Canary,4.88
Utopia,6.59
Wake Up, Girls! Shichinin no Idol,7.23
Downloader,6.12
Another: Misaki Mei - Shizuka ni,6.36
Show By Rock!!,7.17
Kaze no Toori Michi,6.17
Hibike! Euphonium: Kakedasu Monaka,7.5
Tari Tari,7.44
Show By Rock!! #,7.17
Macross F: Close Encounter - Deculture Edition,7.86
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,7.05
Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,6.23
Senki Zesshou Symphogear GX: Believe in Justice and Hold a Determination to Fist.,7.46
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.17
Miss Monochrome: The Animation - Manager,6.37
Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music...,7.46
Egao,6.77
Dore Dore no Uta,6.05
Shinkyoku Soukai Polyphonica Crimson S,7.33
Amazing Nuts!,6.74
Peaceful Times (F02) Petit Film,5.07
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,7.66
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,6.65
AKB0048,7.55
Higashi no Eden: Falling Down,7.56
So Ra No Wo To,7.6
Genius Party,7.39
Wake Up, Girls!,7.04
White Album 2nd Season,7.04
Parade Parade,6.17
Bronze: Zetsuai Since 1989,6.67
Reunion (Music),5.67
Just Awake,6.52
Atarashii Sekai,6.69
Venus Project: Climax,5.5
Genius Party Beyond,7.39
Bohemian Rhapsody,6.13
Fluximation,6.74
Aki no Kanade,7.21
Zetsuai 1989,6.69
Jishu Seisaku Movie Binchou-tan,6.2
Passion,6.78
Love Live! The School Idol Movie,8.18
AKB0048: Next Stage,7.84
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,6.62
Ranma ½: Nettou Uta Gassen,7.39
Tell Your World,7.05
K-On!!,8.14
Detroit Metal City: Birth of the Metal Devil,7.42
Dream Festival!,6.27
Koi ni Naritai Aquarium,7.43
Hibike! Euphonium,8.03
Hurricane Live! 2032,7.01
Pretty Rhythm: Aurora Dream,7.6
ef: A Tale of Melodies. - Prologue,7.43
Aquarian Age: Sign for Evolution,6.25
Bakumatsu Rock,6.2
Starmyu OVA,7.08
Macross: Do You Remember Love?,8.09
Full Moon wo Sagashite,8.08
One More Time, One More Chance,7.6
Nodame Cantabile Finale Special,7.93
Aggressive Retsuko,7.38
Aimai Elegy,6.91
The iDOLM@STER Shiny Festa,7.32
On Your Mark,7.6
Tsukiuta. The Animation,6.92
Miss Monochrome: The Animation 3,6.66
Yowai Mushi,6.34
Tribe Cool Crew,7.05
Black★Rock Shooter,7.29
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,6.71
