anime_name,rating
Gintama&#039;,9.16
Tono to Issho,6.76
Lucky☆Star,7.87
Nurse Witch Komugi-chan Magikarte Z,6.82
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,7.65
Osomatsu-san Special,7.59
Genshiken Nidaime Specials,6.86
Hetalia World Series Specials,7.88
Under the Dog: Anthea-chan,4.62
Tokyogurashi!,4.97
30-sai no Hoken Taiiku Specials,6.31
Maria†Holic Alive,7.06
Binbougami ga!,7.88
Sentou Yousei Shoujo Tasukete! Mave-chan,5.5
Fate/Zero Cafe,6.2
Gakuen Handsome The Animation,6.63
Hayate no Gotoku! Heaven Is a Place on Earth,7.26
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,6.77
Kigurumikku V3,5.44
Shakugan no Shana II (Second) Specials,7.33
Petit Eva: Evangelion@School,6.03
Hetalia World Series,7.95
Sayonara Zetsubou Sensei Special,7.63
Kimi ga Nozomu Eien: Gundam Parody,5.6
Naruto SD: Rock Lee no Seishun Full-Power Ninden,7.26
Cream Lemon,6.54
Yatterman,6.68
Zoku Sayonara Zetsubou Sensei,8.03
Gakuen Handsome,6.11
High School! Kimengumi,7.45
Arcade Gamer Fubuki Extra,4.96
Animation Seisaku Shinkou Kuromi-chan 2,7.05
Seto no Hanayome OVA,8.03
Mobile Suit Gundam-san,6.25
Anime Tenchou,6.11
Nurse Witch Komugi-chan Magikarte Special,6.59
Haiyoru! Nyaruani,6.34
Sayonara Zetsubou Sensei,8.03
Gintama°,9.25
Hetalia: The World Twinkle,7.58
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,6.34
Robot Girls Z Specials,6.48
Suzumiya Haruhi-chan no Yuuutsu,7.63
Lingerie Senshi Papillon Rose,4.97
Iyashite Agerun Saiyuuki,6.49
Seitokai no Ichizon Lv.2: Watasu Seitokai,7.4
Seitokai no Ichizon,7.52
Maria†Holic,7.18
Mahou Shoujo Pretty Sammy,6.51
DD Hokuto no Ken 2 Ichigo Aji+,6.03
Owari no Seraph: Nagoya Kessen-hen - Owaranai Seraph - Nagoya Kessen-hen,7.36
Haiyore! Nyaruko-san,7.25
Gintama: Shinyaku Benizakura-hen,8.31
Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,6.88
FLCL,8.06
Mobile Police Patlabor: MiniPato,6.72
Seitokai no Ichizon Lv.2,7.48
Shingeki! Kyojin Chuugakkou,7.06
Choujigen Game Neptune The Animation,7.15
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,7.44
Genshiken OVA,7.74
Gintama x Mameshiba,7.04
Hayate no Gotoku! Cuties,7.15
Toaru Majutsu no Index-tan,7.11
Bikini Warriors OVA,5.33
Haiyore! Nyaruko-san W OVA,7.19
Oh! Super Milk-chan,6.07
Super Milk-chan,5.88
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,6.5
Ninin ga Shinobuden,7.03
Giant Robo Gaiden Ginrei,6.21
Mobile Suit SD Gundam&#039;s Counterattack,6.64
Seto no Hanayome Fan Disc,7.22
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,6.19
Mutsugo to Ouma no Monogatari,6.47
Tono to Issho: Gantai no Yabou,6.73
Shakugan no Shana Movie Special,7.25
Lucky☆Star: Original na Visual to Animation,7.92
Honoo no Tenkousei,6.77
Heppoko Jikken Animation Excel♥Saga,7.57
Kuroshitsuji II Specials,7.73
Ochamegami Monogatari: Korokoro Pollon,7.13
Code Geass: Hangyaku no Lelouch R2: Flash Specials,6.42
True Tears Specials,6.42
Hayate no Gotoku!,7.75
Animation Seisaku Shinkou Kuromi-chan,7.04
Gintama Movie: Shinyaku Benizakura-hen,8.59
Genshiken Nidaime OVA,7.28
Tokio Kidou Police,6.14
Hoshi no Kirby,6.73
Osomatsu-san: Ouma de Kobanashi,7.55
Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,6.96
Haiyore! Nyaruko-san W,7.43
Blood-C: None-None Gekijou,6.41
Hetalia Axis Powers,7.76
Cosplay Complex,5.99
Pucca (2006),6.67
Dokkoida,6.98
Macross Fufonfia,5.76
Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,7.14
Shakugan no Shana Specials,7.22
Genshiken,7.76
Senyuu.,7.49
Panty &amp; Stocking in Sanitarybox,6.56
Fullmetal Alchemist: Brotherhood - 4-Koma Theater,7.71
Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,7.52
Shingeki no Kyojin Picture Drama,6.81
Robot Girls Z,6.55
Gintama: Jump Festa 2015 Special,8.15
Hetalia: The World Twinkle Extra Disc,7.71
Gintama&#039;: Enchousen,9.11
Grenadier: Hohoemi no Senshi Specials,6.7
Senyuu. 2,7.61
Sengoku Collection,6.54
Paniponi Dash!,7.57
Higurashi no Naku Koro ni Kira,6.58
Bikini Warriors,5.34
Code Geass: Nunnally in Wonderland,6.54
Bihada Ichizoku,5.87
Seto no Hanayome OVA Specials,7.61
Bikini Warriors Special,5.5
Panda-Z: The Robonimation,6.56
Nurse Witch Komugi-chan R,6.09
Princess Lover!: Magical Knight Maria-chan,5.87
Outbreak Company,7.52
Mobile Suit SD Gundam Mk II,6.5
To Heart: Remember My Memories Specials,6.27
One Punch Man,8.82
Ookami-san to Shichinin no Nakama-tachi,7.38
Gekiganger 3: The Movie,6.71
Toaru Majutsu no Index-tan II,7.14
Hayate no Gotoku! Can&#039;t Take My Eyes Off You,7.11
Gintama: Yorinuki Gintama-san on Theater 2D,8.6
Suzumiya Haruhi no Yuuutsu,8.06
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.13
Tentai Senshi Sunred 2nd Season,8.07
Mobile Suit SD Gundam Mk V,5.97
30-sai no Hoken Taiiku,6.84
Seto no Hanayome Picture Drama,6.44
Hetalia Axis Powers Movie: Paint it, White,7.47
Renkin San-kyuu Magical? Pokaan Specials,7.05
Umineko no Naku Koro ni Specials,6.68
Tentai Senshi Sunred,7.96
Aoi Sekai no Chuushin de,6.0
Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru &quot;LIPS Eizou&quot;,7.03
Mobile Suit SD Gundam Mk IV,6.21
Panty &amp; Stocking with Garterbelt,7.79
Gintama: Jump Festa 2014 Special,8.2
Katte ni Kaizou,7.06
Katte ni Kaizou Specials,6.77
Zan Sayonara Zetsubou Sensei Bangaichi,7.94
Papillon Rose,5.0
Tesagure! Bukatsumono Encore,7.0
Suzumiya Haruhi no Yuuutsu (2009),7.28
Hetalia: The Beautiful World Specials,8.0
Osomatsu-san,8.27
Samurai Flamenco,7.0
Getsumen To Heiki Mina,6.44
Kuroshitsuji Special,7.69
Ai to Yuuki no Pig Girl Tonde Buurin,6.67
Minna Atsumare! Falcom Gakuen SC,6.09
Osomatsu-san Short Film Series,6.73
Higurashi no Naku Koro ni Kai Specials,7.46
Kidou Senkan Nadesico,7.6
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1
Kimi ga Aruji de Shitsuji ga Ore de,7.35
Hayate no Gotoku!!,7.92
Abenobashi Mahou☆Shoutengai,7.38
Nurse Witch Komugi-chan Magikarte,6.77
Minna Atsumare! Falcom Gakuen,5.83
Mahou Shoujo Sonico★Magica,5.98
Seto no Hanayome,7.95
Mahou Shoujo Pretty Sammy (1996),6.93
Gintama: Dai Hanseikai,8.19
Dragon Half,7.05
Hayate no Gotoku! OVA,7.26
Ao no Exorcist Movie Special,7.34
Tesagure! Bukatsumono,6.65
Gintama,9.04
Musekinin Kanchou Tylor,7.97
Robot Girls Z Plus,6.3
UN-GO: Inga Nikki,6.34
Sayonara Zetsubou Sensei Special Omake,6.82
DD Hokuto no Ken,6.28
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,5.99
Genshiken Nidaime,7.56
Haiyore! Nyaruko-san F,7.67
Hetalia: The Beautiful World Extra Disc,7.67
Mobile Suit SD Gundam Mk III,6.12
Lu Shidai,7.11
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,5.37
Shakugan no Shana III (Final) Specials,7.25
Mobile Suit SD Gundam Mk I,6.52
Akahori Gedou Hour Rabuge,6.3
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,7.6
Onboro Film,6.49
R-15 OVA,6.88
Blue Seed Omake,7.09
Pucca (2008),6.6
Renkin San-kyuu Magical? Pokaan,7.11
Anime Tenchou Movie,5.67
Hetalia: The Beautiful World,7.98
Masuda Kousuke Gekijou Gag Manga Biyori,7.4
Mudazumo Naki Kaikaku: The Legend of Koizumi,7.11
Detroit Metal City: Birth of the Metal Devil,7.42
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,7.27
Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou,7.66
Zan Sayonara Zetsubou Sensei,8.01
Hetalia Axis Powers Fan Disc,7.56
Gintama°: Aizome Kaori-hen,8.69
One Punch Man: Road to Hero,7.85
Arcade Gamer Fubuki,5.41
Kigyou Senshi Arslan,6.51
Robot Girls Z Episode 0,6.34
Schick x Evangelion,5.56
Gintama: Shiroyasha Koutan,8.37
Digimon Adventure 3D: Digimon Grand Prix!,6.12
Hetalia: The World Twinkle Specials,7.5
Gun x Sword-san,5.99
DD Hokuto no Ken (2013),6.64
Goku Sayonara Zetsubou Sensei,7.96
Toei Robot Girls,5.42
Carnival Phantasm: Illya-jou,7.07
One Punch Man Specials,7.86
Push,6.46
Muteki Kanban Musume,7.22
Darker than Black: Kuro no Keiyakusha Special,7.65
Carnival Phantasm,8.01
Ramen Tenshi Pretty Menma,4.82
Rokumon Tengai Mon Colle Knights,6.63
Maria†Holic Alive Special,6.91
Yarima Queen,6.26
Youkoso Lodoss-tou e!,6.36
Nurse Witch Komugi-chan Magikarte Z Special,5.8
Genshiken 2,7.86
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,5.53
Shakugan no Shana S Specials,7.02
.hack//G.U. Trilogy: Parody Mode,6.67
