anime_name,rating
Mayoiga,5.8
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.49
De:vadasy,5.01
Kuuchuu Buranko,8.09
Mahou Shoujo Madoka★Magica,8.51
Saint Luminous Jogakuin,6.17
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.95
RahXephon,7.55
Gunslinger Girl,7.55
Shinigami no Ballad.,7.05
Meiou Project Zeorymer,6.36
Higurashi no Naku Koro ni Rei,7.56
Saibi,7.08
The Big O,7.57
Kotonoha no Niwa,8.35
Mardock Scramble: The Third Exhaust,7.57
Harmony,7.21
Twilight Q,6.57
Shinreigari: Ghost Hound,7.59
The Chocolate Panic Picture Show,5.08
Mugen no Ryvius,7.59
Shisha no Teikoku,7.04
Psycho-Pass 2,7.6
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.49
Tekkon Kinkreet,8.11
RahXephon Interlude: Her and Herself/Thatness and Thereness,6.5
Deimos no Hanayome: Ran no Kumikyoku,6.04
Ergo Proxy,8.03
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,7.6
Tokyo Ghoul: &quot;Pinto&quot;,7.61
Robotica*Robotics,7.12
Dwaejiui Wang,7.03
Betterman,6.77
Subete ga F ni Naru: The Perfect Insider,7.35
Grisaia no Rakuen,8.08
DRAMAtical Murder OVA: Data_xx_Transitory,6.23
Omoide no Marnie,8.35
Selector Infected WIXOSS,7.41
Lostorage Incited WIXOSS,7.03
Mizu no Kotoba,7.03
Casshern Sins,7.61
Shigofumi,7.62
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi,5.55
ChäoS;HEAd,6.62
Shigofumi Special,7.48
Paprika,8.15
Mirai Nikki (TV): Ura Mirai Nikki,6.79
Jigoku Shoujo Futakomori,8.08
Ghost in the Shell,8.34
Mardock Scramble: The First Compression,7.63
xxxHOLiC Movie: Manatsu no Yoru no Yume,8.04
Mawaru Penguindrum,8.08
Ningen Shikkaku: Director&#039;s Cut-ban,7.64
Kakurenbo,7.02
Ghost in the Shell: Arise - Border:1 Ghost Pain,7.64
Selector Destructed WIXOSS Movie,7.3
Death Note,8.71
Darkside Blues,6.33
Higurashi no Naku Koro ni Kai,8.41
Eikyuu Kazoku,6.16
Mobile Suit Gundam Wing: Operation Meteor,7.66
Grisaia no Kajitsu,7.67
Ghost in the Shell (2015),7.67
Galerians: Rion,5.74
Btooom!,7.68
Cossette no Shouzou,7.0
Ghost in the Shell: Arise - Alternative Architecture,7.33
Night Head Genesis,6.88
Gantz 2nd Stage,7.29
Zankyou no Terror,8.26
Imawa no Kuni no Alice (OVA),7.7
Yuri Kuma Arashi,7.19
Haibane Renmei,8.07
Inaka Isha,6.88
Kuro no Sumika: Chronus,6.99
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,8.1
Ghost in the Shell: Arise - Border:2 Ghost Whispers,7.7
xxxHOLiC Kei,8.34
Serial Experiments Lain,7.99
Mahou Shoujo Madoka★Magica: Concept Movie,6.99
Mirai Nikki Redial,7.71
Gakkougurashi!,7.71
Yuugo: Koushounin,7.24
Survival,6.42
Mousou Dairinin,7.74
Kiseijuu: Sei no Kakuritsu,8.59
Death Parade,8.33
Dead Leaves,7.28
Perfect Blue,8.23
Kino no Tabi: The Beautiful World - Tou no Kuni,7.75
Ryokunohara Meikyuu,5.3
Kanojo to Kanojo no Neko: Everything Flows,7.75
Mirai Nikki (TV),8.07
NHK ni Youkoso!,8.4
Death Billiards,8.04
Koroshiya 1 The Animation: Episode 0,5.94
Shoujo Kakumei Utena,8.22
Gyakkyou Burai Kaiji: Ultimate Survivor,8.33
Monster,8.72
Texhnolyze,7.78
Litchi DE Hikari Club,5.36
Sentou Yousei Yukikaze,7.28
Jigoku Shoujo,7.79
Boukyaku no Senritsu,6.44
Jigoku Shoujo Mitsuganae,7.81
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.19
Himitsu: The Revelation,7.42
Boogiepop wa Warawanai: Boogiepop Phantom,7.27
Tytania,6.93
Bokurano,7.82
Devilman Lady,6.92
Kikumana,6.1
Gantz,7.27
Elfen Lied Special,7.34
Memories,7.84
Tokyo Ghoul,8.07
Buddha Saitan,6.1
Nekojiru-sou,7.46
