anime_name,rating
Gintama&#039;: Enchousen,9.11
Gintama,9.04
Gintama Movie: Shinyaku Benizakura-hen,8.59
Manyuu Hikenchou,6.34
Gintama°,9.25
Hakuouki Reimeiroku,7.63
Samurai 7,7.6
Rurouni Kenshin Recap,7.46
Gun-dou Musashi,6.23
Sengoku Basara,7.57
Karakuri no Kimi,6.69
Hijikata Toshizou: Shiro no Kiseki,6.35
Sengoku Musou SP: Sanada no Shou,6.68
Gintama&#039;,9.16
Rurouni Kenshin: Meiji Kenkaku Romantan,8.43
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.68
Stranger: Mukou Hadan,8.43
Tono to Issho: Gantai no Yabou,6.73
Hakuouki Movie 1: Kyoto Ranbu,7.94
Drifters,7.93
To Heart: Remember My Memories Specials,6.27
Gintama: Jump Festa 2015 Special,8.15
Bakumatsu Kikansetsu Irohanihoheto,7.22
Gintama: Yorinuki Gintama-san on Theater 2D,8.6
Miyamoto Musashi: Souken ni Haseru Yume,6.49
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.51
Afro Samurai Pilot,6.79
Hyouge Mono,8.1
Yoroiden Samurai Troopers Gaiden,6.86
Gintama: Shinyaku Benizakura-hen,8.31
Afro Samurai: Resurrection,7.46
Basilisk: Kouga Ninpou Chou,7.68
Yoroiden Samurai Troopers,7.21
Rurouni Kenshin: Review Special,7.12
Hakuouki OVA,7.64
Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!,7.47
Samurai Champloo,8.5
Samurai Spirits 2: Asura Zanmaden,6.3
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.13
Watashi no Coffee Samurai: Jihanki-teki na Kareshi,6.25
Hairy Tale,6.42
Sengoku Kitan Youtouden Soushuuhen,6.05
Hakuouki Hekketsuroku Episode 0,7.16
Sengoku Otome: Momoiro Paradox,6.71
Yoroiden Samurai Troopers Message,6.13
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.65
Examurai Sengoku,6.65
Gintama: Jump Festa 2014 Special,8.2
Peace Maker Kurogane,7.43
Tono to Issho: Ippunkan Gekijou,6.42
Afro Samurai,7.41
Fuyu no Semi,7.74
Sengoku Collection,6.54
Rurouni Kenshin: Special Techniques,7.43
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.83
Mushibugyou,7.47
Rurouni Kenshin Special,7.51
Yoroiden Samurai Troopers Kikoutei Densetsu,6.81
Afro Samurai Movie,7.59
Kazemakase Tsukikage Ran,7.18
Tono to Issho,6.76
Muramasa,6.39
Shigurui,7.54
Hakuouki Hekketsuroku,7.76
Sengoku Basara Two,7.74
Lupin the Third: Mine Fujiko to Iu Onna,7.81
Drifters: Special Edition,8.06
The Hakkenden: Shin Shou,6.73
Hakuouki: Otogisoushi,6.71
Honoo no Labyrinth,6.38
Blade of the Immortal,6.93
The Hakkenden,6.77
Gintama: Dai Hanseikai,8.19
Soul Buster,6.01
Saraiya Goyou,7.93
Peace Maker Kurogane Special,6.95
Samurai Spirits: Haten Gouma no Shou,5.5
Stranger: Mukou Hadan Pilot,7.05
Fuyu no Semi: Tokubetsu Henshuuhan,7.44
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.48
Hakuouki,7.57
Ryo,6.01
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,7.15
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.99
Hyakka Ryouran: Samurai Bride,6.91
Sengoku Basara: Judge End,6.95
Hakuouki Movie 2: Shikon Soukyuu,8.03
Makai Tenshou,5.34
Sengoku Musou,6.67
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.1
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1
Sengoku Basara Movie: The Last Party,7.77
Brave 10,6.97
Mushibugyou OVA,7.2
Kaitouranma The Animation,6.14
Sengoku☆Paradise Kiwami,6.27
Gifuu Doudou!!: Kanetsugu to Keiji,6.56
Hyakka Ryouran: Samurai Girls,7.01
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,7.32
