anime_name,rating
Starry☆Sky,6.31
Recorder to Randoseru Mi☆ Special,6.49
Kuroko no Basket: Baka ja Katenai no yo!,7.75
Seitokai Yakuindomo*,7.84
Natsu-iro Kiseki,7.06
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.23
Nijiiro☆Prism Girl,6.38
Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,7.48
To LOVE-Ru Darkness 2nd OVA,7.91
Suzumiya Haruhi no Yuuutsu (2009),7.28
Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,7.42
Tsubasa to Hotaru (2016),6.4
Hatsukoi Limited: Gentei Shoujo,6.82
Kyou no 5 no 2,7.33
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,7.37
Persona 4 the Golden Animation,6.75
Girlfriend (Note),6.28
Bamboo Blade,7.45
High School DxD,7.7
PetoPeto-san,6.63
Quiz Magic Academy: The Original Animation,6.25
Maria-sama ga Miteru 4th,7.97
Alignment You! You! The Animation,6.89
Shokugeki no Souma OVA,7.62
Hourou Musuko Specials,7.7
Futabu!!,7.28
Gakuen 2,6.53
H2O: Footprints in the Sand,7.26
Minami-ke Okaeri,7.65
Ore ga Ojousama Gakkou ni &quot;Shomin Sample&quot; Toshite Gets♥Sareta Ken Specials,6.66
Kodomo no Jikan OVA,7.23
Ike! Ina-chuu Takkyuubu,7.7
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7.53
Hantsu x Trash,5.29
Rosario to Vampire,7.14
Ani*Kuri15,7.02
Aikatsu! Movie,7.79
Amanchu!,7.45
Honoo no Tenkousei,6.77
Strike the Blood: Valkyria no Oukoku-hen,7.44
Megane na Kanojo,6.78
Amagami SS: Tachibana Miya-hen - Imouto,7.35
Cardcaptor Sakura,8.18
School Rumble Ni Gakki,8.15
Maria†Holic,7.18
Kareshi Kanojo no Jijou,7.66
Suzumiya Haruhi no Shoushitsu,8.81
Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,7.43
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,7.07
Turnover,5.92
Non Non Biyori,8.05
Free!,7.67
Ore ga Ojousama Gakkou ni &quot;Shomin Sample&quot; Toshite Gets♥Sareta Ken,7.06
Ookami Shoujo to Kuro Ouji,7.47
Tokyo Ravens,7.8
Kuroko no Basket Movie 2: Winter Cup Soushuuhen - Namida no Saki e,7.61
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA,7.42
Taifuu no Noruda,6.35
Nisekoi: OVA,7.12
Mayo Chiki!,7.53
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,7.27
Hidamari Sketch Specials,7.62
Morita-san wa Mukuchi. 2,6.8
Hello!! Kiniro Mosaic,7.63
Charlotte,7.91
To LOVE-Ru Darkness 2nd,7.8
Love Live! School Idol Project 2nd Season Recap,7.5
Ookami Shoujo to Kuro Ouji OVA,7.45
Isshuukan Friends.,7.7
Court no Naka no Tenshi-tachi,6.02
High School Fleet,7.3
Momiji,6.38
Azumanga Daioh,8.06
Gin no Saji,8.18
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,7.07
Kuroko no Basket NG-shuu,7.84
Morita-san wa Mukuchi. Specials,6.62
Isekai no Seikishi Monogatari,8.09
Gotou ni Naritai.,7.29
12-sai.: Chicchana Mune no Tokimeki,6.69
G-On Riders,6.02
Maken-Ki! Two,6.35
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,7.26
Denpa Kyoushi,6.45
Nichijou,8.52
Gift: Eternal Rainbow,6.8
Kimagure Orange☆Road,7.7
Ultra Maniac OVA,6.82
Hiyokoi,7.53
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.33
Holy Knight,6.28
Happy☆Lesson,6.76
Minna Atsumare! Falcom Gakuen,5.83
Acchi Kocchi (TV): Place=Princess,7.62
Pugyuru,5.92
Teekyuu 3 Specials,6.69
Aikatsu Stars! Movie,7.0
Accel World,7.62
Tokyo Daigaku Monogatari,5.29
Corpse Party: Missing Footage,6.38
Inari, Konkon, Koi Iroha.,7.28
Saki Biyori Animation,6.85
D.C.III: Da Capo III Special,6.49
Hanayamata,7.42
Jigoku Sensei Nube OVA,7.3
Love Live! School Idol Project,7.7
Angel,5.61
Sukeban Deka,6.58
Seikimatsu Occult Gakuin Specials,6.61
Blood-C,6.73
Kimi no Na wa.,9.37
Minna Atsumare! Falcom Gakuen SC,6.09
Nozo x Kimi,6.63
Sweet Valerian,5.91
Battle Athletess Daiundoukai (TV),7.02
Girls und Panzer: Shoukai Shimasu!,6.59
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.29
Black★Rock Shooter (OVA),7.24
Aoki Densetsu Shoot!,7.53
Kuusen Madoushi Kouhosei no Kyoukan OVA,6.42
Code Geass: Hangyaku no Lelouch Recaps,7.12
Hyakka Ryouran: Samurai Girls,7.01
Kodomo no Jikan: Ni Gakki,7.32
Rekka no Honoo: Final Burning,7.22
Candy☆Boy: Side Story For Archive,7.02
Potemayo Specials,7.45
Gakuen Handsome,6.11
Suntory Minami Alps no Tennen Mizu,6.26
Saki Achiga-hen: Episode of Side-A Specials,7.63
Shingeki! Kyojin Chuugakkou,7.06
Mahou Sensei Negima!,7.11
Cyclops Shoujo Saipuu,6.02
Koi to Senkyo to Chocolate,7.3
Mahou no Tenshi Creamy Mami,7.18
Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,7.46
Touch 3: Kimi ga Toorisugita Ato ni - Don&#039;t Pass Me By,7.01
Koe no Katachi,9.05
Wind: A Breath of Heart Specials,6.41
Ace wo Nerae!,7.08
Kyou no 5 no 2 (TV),7.3
Yoake Mae yori Ruriiro na: Crescent Love,7.22
Girls und Panzer,7.66
Toradora!: Bentou no Gokui,7.54
Haikyuu!! Movie 1: Owari to Hajimari,7.94
Minami-ke Tadaima,7.78
Stella Jogakuin Koutou-ka C³-bu,6.6
Classroom☆Crisis,7.16
Medaka Box Abnormal,7.63
Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,6.98
Koakuma Kanojo The Animation,7.34
Seto no Hanayome Fan Disc,7.22
Magic-Kyun! Renaissance,7.19
Kitakubu Katsudou Kiroku: Miniature Theater,6.33
Happiness!,6.56
Aura: Maryuuin Kouga Saigo no Tatakai,7.67
Love Live! Sunshine!!,7.63
Futatsu no Spica,7.47
Code:Breaker OVA,6.91
Tokimeki Memorial: Only Love,7.2
Binan Koukou Chikyuu Bouei-bu LOVE!,7.11
Digital Devil Story: Megami Tensei,5.42
D.C.III: Da Capo III,6.76
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,6.96
Let&#039;s Nupu Nupu,6.44
Inou-Battle wa Nichijou-kei no Naka de,7.34
Uta no☆Prince-sama♪ Maji Love 1000%,7.37
Kiniro no Corda: Secondo Passo,7.26
Choubatsu Yobikou,6.14
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,6.66
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.99
Shijou Saikyou no Deshi Kenichi OVA,8.02
Okusama ga Seitokaichou!,6.88
Kitakubu Katsudou Kiroku,6.81
Gokujou!! Mecha Mote Iinchou Second Collection,6.64
Angel Beats!: Another Epilogue,7.63
Girls und Panzer der Film,8.55
Kannagi: Moshimo Kannagi ga Attara...,7.17
Kanojo ga Flag wo Oraretara,6.58
After... The Animation,5.85
&quot;Bungaku Shoujo&quot; Movie,7.63
Machine-Doll wa Kizutsukanai Specials,6.84
Nijiiro Days OVA,6.73
Morita-san wa Mukuchi.,6.63
Kotoura-san: Haruka no Heya,6.01
Love Live! The School Idol Movie,8.18
Watashi ga Motete Dousunda,7.64
MM!,7.36
Gakuen Utopia Manabi Straight!,7.38
Gekkan Shoujo Nozaki-kun Specials,8.0
Pita Ten,7.08
Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,7.0
Kaichou wa Maid-sama!,8.26
Hidamari Sketch x 365,7.9
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.26
HaruChika: Haruta to Chika wa Seishun suru,6.5
Baby Steps,7.96
Mashiro-iro Symphony: The Color of Lovers,7.3
School Rumble Ichi Gakki Hoshuu,7.85
A-Channel: +A-Channel,7.05
Kiss x Sis,7.33
Nagato Yuki-chan no Shoushitsu,6.77
Code Geass: Hangyaku no Lelouch Picture Drama,7.1
Hourou Musuko,7.8
Ladies versus Butlers!,6.87
Sakigake!! Cromartie Koukou,8.02
Kujibiki Unbalance,6.21
Fortune Arterial: Akai Yakusoku,6.91
Kyoukaisenjou no Horizon Specials,6.51
Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,7.02
Seto no Hanayome Picture Drama,6.44
Gear Fighter Dendoh,7.35
Great Teacher Onizuka,8.77
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,7.41
SKET Dance: Demystifying Special,7.16
Gakuen Handsome The Animation,6.63
Diabolik Lovers,5.81
Little Busters!,7.64
Slam Dunk,8.56
Shinkyoku Soukai Polyphonica,6.97
Kuroko no Basket: Oshaberi Demo Shimasen ka,7.47
Kyou no 5 no 2 (TV): Takarabako,7.18
Kill Me Baby,6.95
Little Witch Academia,8.0
Haikyuu!! Movie 2: Shousha to Haisha,7.81
Fault!! Service: Aratanaru Rival,7.12
Maji de Watashi ni Koi Shinasai!,7.02
Ansatsu Kyoushitsu (TV),8.2
Noblesse: Awakening,7.72
Hime-chan no Ribbon,7.54
Futakoi,6.64
Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,6.42
Another,7.88
Kuroko no Basket,8.46
Kuroko no Basket: Oshaberi Shiyokka,7.42
To LOVE-Ru OVA,7.51
Kiniro Mosaic,7.41
Gakuen Alice,7.8
SKET Dance,8.36
Girls und Panzer Heartful Tank Disc: Fushou - Akiyama Yukari no Sensha Kouza,6.75
KanColle Movie,7.69
Crayon Shin-chan,7.73
Bokura wa Minna Kawaisou,7.9
Azumanga Daioh: Gekijou Tanpen,7.11
Gin no Saji 2nd Season,8.36
Beelzebub Specials,7.44
Hanamaru Youchien Special Preview,6.4
Maria-sama ga Miteru 3rd,8.0
Isshuukan Friends.: Tomodachi to no Omoide,6.89
Kindaichi Shounen no Jikenbo,7.18
Ro-Kyu-Bu! SS,7.3
Wangpai Yushi,6.9
Umi ga Kikoeru,6.96
Kiniro Mosaic: Pretty Days,7.23
Heartcatch Precure!,7.89
Akaneiro ni Somaru Saka,6.69
Tanaka-kun wa Kyou mo Kedaruge,7.26
Minami-ke Okawari,7.41
Oshiete! Galko-chan,7.15
Double-J,5.62
Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama,7.05
Chibi Maruko-chan (1995),7.37
Date A Live,7.54
Sacred Seven: Shirogane no Tsubasa,6.85
Chuunibyou demo Koi ga Shitai!,7.95
School Rumble,8.06
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.12
MM! Specials,6.77
C³,6.88
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,7.05
Ansatsu Kyoushitsu (TV) 2nd Season,8.68
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,7.65
Watashitachi, Luck Logic-bu!,5.55
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,6.19
D-Frag!,7.75
Cheating Craft,5.86
Diamond no Ace OVA,7.72
Yume-iro Pâtissière: Mune Kyun Tropical Island!,7.29
Recorder to Randoseru Mi☆,6.8
High School DxD OVA,7.47
D.C.II: Da Capo II,7.05
Strike the Blood II,8.05
Maria-sama ga Miteru: Haru,7.85
Tesagure! Bukatsumono,6.65
Chuunibyou demo Koi ga Shitai! Ren Lite,7.22
Fuujin Monogatari,7.34
Non Non Biyori: Okinawa e Ikukoto ni Natta,7.65
Kiss x Sis (TV),7.09
Iketeru Futari,6.78
Mini Hama: Minimum Hamatora,6.53
Kill Me Baby: Butsuzou Kegatte Nise Halloween,7.12
Osananajimi to Doukyuusei,5.99
Natsuki Crisis,6.28
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15
Diabolik Lovers More,Blood,6.13
Otome wa Boku ni Koishiteru Special,6.76
Bakunyuu Oyako,6.34
Persona 4 the Animation,7.68
&quot;Bungaku Shoujo&quot; Memoire,7.54
Love Live! School Idol Project 2nd Season,8.06
Slam Dunk: Zenkoku Seiha Da! Sakuragi Hanamichi,7.66
True Tears,7.55
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,7.76
Kimi to Boku.,7.85
Go! Princess Precure,7.74
Tonari no Seki-kun Specials,7.55
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,7.25
High School DxD BorN: Yomigaeranai Fushichou,7.66
Free!: Eternal Summer Special,8.23
To LOVE-Ru,7.34
Jinsei,6.59
Yamada-kun to 7-nin no Majo,7.37
Pokemon Sun &amp; Moon,7.23
Idaten Jump,6.78
Strike the Blood,7.44
Moyashimon Returns,7.25
Myself; Yourself,7.41
Dragon Crisis!,6.93
Tanaka-kun wa Itsumo Kedaruge Specials,7.72
Seikimatsu Occult Gakuin,7.16
School Rumble San Gakki,7.38
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,7.88
Hakaima Sadamitsu,7.05
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru,7.55
Eisai Kyoiku,5.34
Baka to Test to Shoukanjuu: Matsuri,7.8
Toradora! OVA,7.72
Pupipo!,6.9
To LOVE-Ru Darkness 2nd Specials,7.93
GA: Geijutsuka Art Design Class,7.23
Hibike! Euphonium: Suisougaku-bu no Nichijou,6.72
Love Live! School Idol Project OVA,6.96
Hitohira,6.91
Tenjou Tenge,7.1
Nanatsu-iro★Drops,7.16
Moetan,6.56
Mahoutsukai Sally,6.49
W: Wish,6.3
Ishida to Asakura Special,5.04
Yes! Precure 5,7.3
Aki no Kanade,7.21
Dragon Drive,6.88
Maria-sama ga Miteru Specials,7.55
Survival,6.42
Persona 4 the Animation: A Brief Lesson on Izanagi &amp; Izanami,6.86
Honoo no Haramase Doukyuusei,6.83
Akuma no Riddle,6.82
Kashimashi: Girl Meets Girl,6.81
Hyakka Ryouran: Samurai Bride,6.91
Recorder to Randoseru Do♪,6.81
I&#039;&#039;s Pure,7.05
ReLIFE,8.24
Kakutou Bijin Wulong: Rebirth,7.12
Clannad,8.3
Wakaba*Girl,7.01
Needless Specials,6.86
Kemeko Deluxe!,6.75
Crayon Shin-chan Movie 03: Unkokusai no Yabou,7.17
Discipline,7.04
Gekkan Shoujo Nozaki-kun,8.24
Sasami: Mahou Shoujo Club,6.82
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,7.32
Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito,6.91
Classroom☆Crisis Special,6.5
Kaichou wa Maid-sama!: Omake dayo!,7.55
Yuri Kuma Arashi,7.19
Plastic Neesan,7.41
Hyouka,8.17
Life no Color,5.75
Ultra Maniac,7.3
Himouto! Umaru-chan,7.55
Cosplay Complex,5.99
Makai Ouji: Devils and Realist,7.2
Love Lab,7.49
Potemayo,7.41
B Gata H Kei,7.18
Minami-ke,7.81
Yuuwaku,6.66
Wind: A Breath of Heart,6.25
Rewrite,6.69
Kono Bijutsubu ni wa Mondai ga Aru!,7.5
Princess Princess,7.16
Gakkatsu! 2nd Season,6.51
Sansha Sanyou Specials,6.7
Kujibiki♥Unbalance,6.39
Boku wa Tomodachi ga Sukunai Episode 0,6.85
Ane Log: Moyako Neesan no Tomaranai Monologue,6.35
Kannagi,7.43
Rinne no Lagrange: Kamogawa Days,6.88
Saki Achiga-hen: Episode of Side-A,7.38
I My Me! Strawberry Eggs,6.93
Komori-san wa Kotowarenai!,6.31
Mai-Otome Special: Otome no Inori,6.6
Shusaku,5.73
Urusei Yatsura: The Shougaibutsu Suieitaikai,7.27
Danshi Koukousei no Nichijou,8.35
Non Non Biyori Repeat OVA,7.86
Date A Live: Date to Date,7.55
Zan Sayonara Zetsubou Sensei Bangaichi,7.94
Onegai☆Twins,7.05
