anime_name,rating
Je T&#039;aime,6.79
Tenkuu no Shiro Laputa,8.38
Vandread: Gekitou-hen,7.02
Bakuto Sengen Daigander,6.79
A-Ko The Versus,6.49
Midnight Eye: Gokuu II,6.44
Choujuushin Gravion Zwei,6.75
Yuusha-Ou GaoGaiGar,7.96
Tactical Roar,6.55
Alexander Senki,5.81
Fushigi no Umi no Nadia,7.65
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.37
Appleseed,6.79
Seraphim Call,6.15
IS: Infinite Stratos 2 - World Purge-hen,7.14
Zone of the Enders: Idolo,7.02
Eden&#039;s Bowy,6.65
Kurogane no Linebarrels,7.09
Bomberman Jetters,7.16
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,7.93
Halo Legends,7.18
Darker than Black: Kuro no Keiyakusha Special,7.65
Aldnoah.Zero Extra Archives,7.01
Gatchaman Crowds Insight,7.47
Jikuu Tantei Genshi-kun,6.39
Hotori: Tada Saiwai wo Koinegau,7.14
Dirty Pair OVA,7.23
Classroom☆Crisis Special,6.5
Armitage III: Dual-Matrix,7.01
Gatchaman Crowds,7.47
UFO Robo Grendizer,7.66
Examurai Sengoku,6.65
Uchuu no Kishi Tekkaman Blade OVA: Missing Link,6.28
Urusei Yatsura Movie 1: Only You,7.3
Ginga Tetsudou 999,7.9
Waga Seishun no Arcadia,7.7
Futatsu no Spica,7.47
Gall Force 2: Destruction,6.65
Crusher Joe: The Movie,7.01
Galaxy Angel,7.14
Gakusen Toshi Asterisk,7.14
Ibara no Ou,7.24
Twin Signal: Family Game,6.55
Ghost in the Shell: Arise - Alternative Architecture,7.33
Zoids Shinseiki/Zero,7.45
Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,7.01
Asylum Session,5.25
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,7.47
Plawres Sanshirou,7.66
UFO Princess Valkyrie,6.9
Mobile Suit Gundam Wing: Operation Meteor,7.66
Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.,7.29
Kikou Kantai Dairugger XV,6.58
Super Milk-chan,5.88
Mobile Suit Gundam: Iron-Blooded Orphans,7.96
Mouretsu Pirates: Abyss of Hyperspace,7.26
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,6.27
Eve no Jikan (Movie),8.26
Sakasama no Patema: Beginning of the Day,7.5
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.34
Hoshizora Kiseki,5.99
Cowboy Bebop,8.82
Top wo Nerae! Kagaku Kouza,6.26
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,7.66
Cyborg Kuro-chan,7.18
Platonic Chain,5.82
Call Me Tonight,5.48
Toaru Majutsu no Index: Endymion no Kiseki Special,7.2
Heroic Age,7.66
Digimon Adventure 02 Movies,7.23
Eve no Jikan,8.26
.hack//Intermezzo,6.71
Maetel Legend,6.56
Transformers Headmasters,6.69
Cross Ange: Tenshi to Ryuu no Rondo,7.47
Kiddy Grade: Ignition,7.21
DNA Sights 999.9,6.3
Fireball Charming,6.94
Darkside Blues,6.33
Seihou Tenshi Angel Links,6.06
Spirit of Wonder: China-san no Yuuutsu,6.74
Mobile Suit SD Gundam Mk IV,6.21
Amazing Nuts!,6.74
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.66
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,7.14
Dimension W Special,6.62
Ryuusei Sentai Musumet,6.06
Donyatsu,6.27
Ai no Kusabi (2012),6.97
Saber Marionette J to X,7.39
Aldnoah.Zero,7.66
Uchuu Kaizoku Mito no Daibouken,6.65
Appleseed Saga Ex Machina,7.47
Re: Cutie Honey,7.16
009-1,6.39
Choujikuu Kidan Southern Cross,6.77
Tatakae! Chou Robot Seimeitai Transformers,7.67
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.91
Angel Blade: Cut Scene,6.39
Digimon Tamers: Boukensha-tachi no Tatakai,7.1
Tailenders,6.86
Uchuu no Kishi Tekkaman,6.55
Devilman: Yochou Sirene-hen,7.14
Boku no Chikyuu wo Mamotte,7.29
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6.9
Kurogane Communication,6.76
Soukyuu no Fafner: Right of Left - Single Program,7.49
Kiznaiver,7.67
Malice@Doll,5.92
Turn A Gundam II Movie: Moonlight Butterfly,6.85
Sakura Taisen,7.01
Zoids,7.48
Sakura Taisen: Gouka Kenran,7.01
Space☆Dandy 2nd Season,8.27
Shinkon Gattai Godannar!! 2nd Season,7.09
Haiyore! Nyaruko-san F,7.67
Midnight Eye: Gokuu,6.58
Cyborg 009 (TV),7.14
Choujin Gakuen Gowcaizer: The Voltage Fighters,5.23
Cobra The Animation,7.18
Ghost in the Shell (2015),7.67
Buddy Complex,7.29
Planzet,5.68
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,7.39
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.58
Fantastic Children,7.67
Kachou Ouji,7.16
I: Wish You Were Here,6.22
Gunnm 3D Special,5.15
Tekken: Blood Vengeance,6.81
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,6.33
Soukou Kihei Votoms: Big Battle,6.9
Mobile Suit Gundam Thunderbolt: December Sky,7.92
Ai no Kusabi,7.37
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.57
Under the Dog,6.55
Ou Dorobou Jing,7.34
Sora no Otoshimono,7.68
Macross F Movie 2: Sayonara no Tsubasa,8.06
UFO Princess Valkyrie: Special,7.01
Rikujou Bouei-tai Mao-chan,6.4
Persona 4 the Animation,7.68
Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,6.6
Haja Taisei Dangaiou,6.27
Macross Δ,7.34
Urusei Yatsura: Haru da, Tobidase!,7.01
Uchuu no Kishi Tekkaman Blade OVA: Burning Clock,6.8
Choujuushin Gravion,6.5
Sora wo Kakeru Shoujo,7.09
Aura Battler Dunbine,7.14
Sousei no Aquarion Evol,6.87
Zetman,7.01
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari,8.2
Project A-Ko 4: Final,6.65
Armitage III: Poly-Matrix,7.18
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,7.68
Schwarzesmarken,7.0
Mirai Shounen Conan,8.16
Hi no Tori 2772: Ai no CosmoZone,6.94
Mokei Senshi Gunpla Builders Beginning G,6.81
Btooom!,7.68
Owari no Chronicle,5.22
Saint Seiya: Legend of Sanctuary,6.65
Reideen,6.65
Saint Seiya: Meiou Hades Meikai-hen,7.97
Buzzer Beater 2nd Season,7.0
Ao no 6-gou,7.16
Galaxy Angel Z,7.29
