anime_name,rating
Denki-gai no Honya-san,7.28
Kara no Kyoukai: Mirai Fukuin,8.13
Koroshiya 1 The Animation: Episode 0,5.94
Nekogami Yaoyorozu: Ohanami Ghostbusters,6.76
Thermae Romae x Yoyogi Animation Gakuin Collaboration,6.43
Sakasama no Patema,8.23
D-Frag!,7.75
Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.49
GA: Geijutsuka Art Design Class OVA,7.19
Ishida to Asakura Special,5.04
Koroshiya-san: The Hired Gun,5.69
Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,7.43
Inari, Konkon, Koi Iroha.,7.28
Ghost in the Shell: Stand Alone Complex - Solid State Society,8.22
Bungou Stray Dogs,7.76
Kagaku na Yatsura,5.88
Hanasaku Iroha,8.03
Binbou Shimai Monogatari,6.95
Ladies versus Butlers! Specials,6.43
Hellsing: The Dawn,7.37
One Pound Gospel,6.72
Kuma Miko,6.43
Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.,6.95
Ikoku Meiro no Croisée Picture Drama,6.43
Kill Me Baby,6.95
Ajin Part 3: Shougeki,7.36
Recorder to Randoseru Do♪,6.81
Ghost in the Shell: Stand Alone Complex,8.47
Nasu: Suitcase no Wataridori,7.28
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,7.49
Gyakkyou Burai Kaiji: Ultimate Survivor,8.33
Rozen Maiden: Träumend,7.78
Monster,8.72
Upotte!!,6.63
Jormungand: Perfect Order - First Stage Soushuuhen,7.37
Silent Mobius 2,6.44
Mujaki no Rakuen,6.09
Mangaka-san to Assistant-san to The Animation,7.37
A-Channel+smile,7.22
Mangaka-san to Assistant-san to The Animation Specials,7.37
Houseki no Kuni,6.13
Midnight Eye: Gokuu II,6.44
Freezing Vibration,7.1
Ajin,7.78
Witch Craft Works,7.22
Monster Extra,6.81
Spirit of Wonder: China-san no Yuuutsu,6.74
Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.,6.94
Potemayo Specials,7.45
Poyopoyo Kansatsu Nikki,7.79
Tentai Senshi Sunred 2nd Season,8.07
New Initial D Movie: Legend 3 - Mugen,7.79
Asako Get You!!,5.91
Mushishi Zoku Shou: Suzu no Shizuku,8.75
Recorder to Randoseru,6.94
Minna Atsumare! Falcom Gakuen SC,6.09
One Punch Man,8.82
Buttobi!! CPU,6.44
Yomigaeru Sora: Rescue Wings Special,7.08
Dragon Crisis!,6.93
Seikon no Qwaser: Jotei no Shouzou,6.56
Yokohama Kaidashi Kikou: Quiet Country Cafe,7.36
Boku, Otaryman.,6.25
Golgo 13,6.93
