anime_name,rating
Kämpfer für die Liebe,6.69
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,6.66
Candy☆Boy: Side Story For Archive,7.02
Gokujo.: Souda Onsen ni Ikou!!,6.17
Maria-sama ga Miteru,7.48
Maria-sama ga Miteru 4th,7.97
Kämpfer,6.73
Blue Drop: Tenshi-tachi no Gikyoku,6.88
Maria†Holic,7.18
Akuma no Riddle,6.82
Koutetsu Tenshi Kurumi 2,6.41
Valkyrie Drive: Mermaid,6.38
Strawberry Panic,7.45
Mikagura Gakuen Kumikyoku,6.82
Maria-sama ga Miteru 3rd,8.0
Valkyrie Drive: Mermaid Specials,6.24
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,6.66
Yuru Yuri Nachuyachumi!,7.95
Mai-HiME,7.59
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,7.08
Candy Boy Episode: EX01 - Mirai Yohouzu,7.04
Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,6.6
Simoun,7.56
Yuru Yuri♪♪,7.94
Ice,5.68
Inugami-san to Nekoyama-san Special,6.63
Kannazuki no Miko,7.05
Maria-sama ga Miteru Specials,7.55
Kanamewo,6.79
Maria†Holic Alive,7.06
Yuru Yuri San☆Hai!,8.04
Tenshi no Drop,3.96
La Rose de Versailles,6.02
Oniisama e...,7.88
Maria-sama ga Miteru: Haru Specials,7.51
Kuttsukiboshi,6.46
Maria-sama ga Miteru: Haru,7.85
Yami to Boushi to Hon no Tabibito,6.73
Sasameki Koto,7.21
Yuru Yuri Nachuyachumi!+,7.84
Inugami-san to Nekoyama-san,6.72
Fushigi no Kuni no Miyuki-chan,6.0
Sakura Trick,7.2
Kashimashi: Girl Meets Girl,6.81
Mnemosyne: Mnemosyne no Musume-tachi,7.5
Yuri Kuma Arashi,7.19
Kashimashi: Girl Meets Girl OVA,6.94
Re: Cutie Honey,7.16
Hidan no Aria AA,6.4
Kanamemo,7.01
Aoi Hana,7.29
Yuru Yuri,7.7
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.33
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,6.99
