anime_name,rating
Fushigi Yuugi: Eikouden,7.0
Tsubasa to Hotaru (2015),6.53
Kobayashi ga Kawai sugite Tsurai!!,6.4
Ookami Shoujo to Kuro Ouji,7.47
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,7.33
Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪,7.09
Tokimeki Tonight,7.48
Ashita no Nadja,7.68
Brothers Conflict OVA,7.0
Maria-sama ga Miteru 4th,7.97
Kaleido Star: Aratanaru Tsubasa - Extra Stage,7.68
The Rose and Women of Versailles,7.39
Ochame na Futago: Claire Gakuin Monogatari,7.12
Miracle☆Train: Oedo-sen e Youkoso,6.69
Earthian,6.27
Precure All Stars Movie New Stage 3: Eien no Tomodachi,7.47
Boku no Chikyuu wo Mamotte,7.29
Tsubasa to Hotaru (2016),6.4
Angelique: Seichi yori Ai wo Komete,6.54
Jewelpet Twinkle☆,7.67
Wata no Kuni Hoshi,7.15
Candy Candy (Movie),6.84
Neo Angelique Abyss,7.01
Romantica Clock,5.83
Aikatsu!,7.69
Mizuiro Jidai,7.01
Kirarin☆Revolution,7.35
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,8.0
Amatsuki,7.04
Kiniro no Corda: Secondo Passo,7.26
Saiyuuki Gaiden: Tokubetsu-hen - Kouga no Shou,7.47
Ai Tenshi Densetsu Wedding Peach DX,6.79
Kareshi Kanojo no Jijou,7.66
Shingeki no Kyojin: Kuinaki Sentaku,8.45
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,7.22
Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,7.01
Pretty Rhythm: Rainbow Live,7.79
Harukanaru Toki no Naka de 3: Kurenai no Tsuki,7.01
Yes! Precure 5,7.3
Heartcatch Precure!,7.89
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.28
Ultra Maniac,7.3
Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,7.18
Harukanaru Toki no Naka de: Hachiyou Shou,7.18
Jewelpet,6.76
Hatenkou Yuugi,7.3
Hime Chen! Otogi Chikku Idol Lilpri,7.18
Bishoujo Senshi Sailor Moon SuperS,7.64
Shin Strange+,6.39
Haikara-san ga Tooru,7.39
Kamisama Hajimemashita OVA,8.0
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,7.3
Hikari no Densetsu,6.76
Shounen Maid Special,7.03
Kaichou wa Maid-sama!,8.26
Mahou no Stage Fancy Lala,7.18
Nagareboshi Lens Specials,6.38
Shinrei Tantei Yakumo,7.47
Dance with Devils,6.71
Nijiiro☆Prism Girl,6.38
Nagareboshi Lens,6.79
Amnesia OVA,6.6
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page,7.77
Bishoujo Senshi Sailor Moon R: The Movie,7.78
Vampire Knight,7.4
Omishi Mahou Gekijou: Risky/Safety,6.83
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,7.03
