anime_name,rating
Mahou Sensei Negima!,7.11
Hataraku Maou-sama!,8.03
Doraemon Movie 09: Nobita no Parallel Saiyuuki,7.43
Detective Conan OVA 02: 16 Suspects,7.43
Detective Conan Movie 14: The Lost Ship in the Sky,8.29
Break Blade,7.43
Lupin III: Honoo no Kioku - Tokyo Crisis,7.34
Strike the Blood II,8.05
Ao no Exorcist: Kuro no Iede,7.43
Air Gear Special,7.43
Fatal Fury 2: The New Battle,6.89
Black Jack: Heian Sento,6.61
Asagiri no Miko,6.31
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,7.11
Strike the Blood: Valkyria no Oukoku-hen,7.44
Lupin III: The Last Job,7.16
Eat-Man,6.7
Strike the Blood,7.44
Rockman.EXE Beast+,7.11
Ai Tenchi Muyou!,6.31
Rekka no Honoo,7.44
One Piece: Umi no Heso no Daibouken-hen,7.44
Sousei no Onmyouji,7.11
Lupin III: Harimao no Zaihou wo Oe!!,7.16
One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,7.44
Katekyo Hitman Reborn!,8.37
One Piece Movie 5: Norowareta Seiken,7.44
Koro-sensei Q!,7.14
Nanaka 6/17 Special,6.77
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.26
Nabari no Ou,7.44
Touch,8.16
Yamada-kun to 7-nin no Majo (TV),7.91
One Piece 3D: Mugiwara Chase,7.34
Yu☆Gi☆Oh! Zexal Second: Midokoro Tenkomori Special,6.32
Shin Captain Tsubasa,7.21
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.44
To LOVE-Ru Darkness 2nd OVA,7.91
Samurai Spirits: Haten Gouma no Shou,5.5
Kaibutsu Oujo,7.16
One Piece Recap,7.34
Sentou Yousei Shoujo Tasukete! Mave-chan,5.5
Beelzebub Specials,7.44
Zoids Shinseiki/Zero,7.45
One Piece: Yume no Soccer Ou!,7.34
Yowamushi Pedal: Spare Bike,7.45
Tales of Eternia The Animation,6.32
Magical☆Star Kanon 100%,6.89
Super Street Fighter IV,6.48
Ou Dorobou Jing,7.34
Digimon Savers,7.1
Digimon Tamers: Boukensha-tachi no Tatakai,7.1
Nisekoi,7.91
Street Fighter Alpha: Generations,6.6
Saint Seiya: Soushuuhen,7.45
Saber Marionette J,7.45
Kuroshitsuji: Book of Circus,8.37
Tenkai Knights,6.82
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,7.21
Midori no Hibi,7.45
Koe no Katachi,9.05
Mahoraba: Heartful days,7.45
Yowamushi Pedal,8.16
KO Seiki Beast Sanjuushi,6.73
Keroro Gunsou Movie 1,7.45
Ring ni Kakero 1,6.7
Inazuma Eleven Go: Chrono Stone,7.45
Kagaku Ninja-tai Gatchaman,7.1
Katekyo Hitman Reborn! x ēlDLIVE Special,7.1
Lupin III: Pilot Film,6.62
Hikaru no Go: New Year Special,7.45
High School! Kimengumi,7.45
Lupin III: Green vs. Red,6.77
Yoroiden Samurai Troopers,7.21
Hatsukoi Limited,7.45
Lost Universe,7.1
Groove Adventure Rave,7.45
Magikano,6.53
City Hunter &#039;91,7.91
Fullmetal Alchemist: Premium Collection,7.45
Cuticle Tantei Inaba,7.45
Captain Tsubasa: Road to 2002,7.45
Sonic★the★Hedgehog,6.89
Lupin III: Secret File,6.48
Amanchu!,7.45
Teekyuu 7,6.82
Tactics,7.34
Capeta,7.91
Fatal Fury: The Motion Picture,6.75
Sora no Otoshimono Final: Eternal My Master,6.89
Bakugan Battle Brawlers: Gundalian Invaders,6.32
Arcade Gamer Fubuki,5.41
Itsudatte My Santa!,6.2
Prince of Tennis: Pairpuri,7.46
Tenjou Tenge,7.1
Katte ni Kaizou Specials,6.77
One Piece Movie 7: Karakuri-jou no Mecha Kyohei,7.46
Bomberman B-Daman Bakugaiden,6.72
Arslan Senki (TV) OVA,7.08
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,6.19
Ninja Mono,5.98
Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue,7.46
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,7.33
Soul Eater NOT!,6.33
Beast Wars Neo,6.69
Pandora Hearts,7.92
Ai Tenchi Muyou! Recaps,5.36
Handa-kun,7.46
Grappler Baki: Saidai Tournament-hen,7.46
Elf wo Karu Mono-tachi,7.16
Doraemon Movie 15: Nobita to Mugen Sankenshi,7.46
Days (TV),7.09
Doraemon Movie 07: Nobita to Tetsujin Heidan,7.46
Dragon Ball Movie 3: Makafushigi Daibouken,7.09
IGPX: Immortal Grand Prix,6.77
Zettai Karen Children,7.47
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,7.09
Yozakura Quartet: Hoshi no Umi,7.47
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuuanzen,6.2
Kaitou Joker 2nd Season,7.25
Noragami Aragoto,8.48
Slayers Special,7.47
Boku no Hero Academia,8.36
Slam Dunk (Movie),7.47
Honoo no Tenkousei,6.77
Digimon Tamers: Bousou Digimon Tokkyuu,7.16
Prince of Tennis: The Two Samurai, The First Game,7.47
Hitsugi no Chaika OVA,7.09
Jungle Taitei,6.69
Doraemon Movie 10: Nobita no Nippon Tanjou,7.33
Mushibugyou,7.47
Itsuka Tenma no Kuro Usagi OVA,7.09
