anime_name,rating
Tentai Senshi Sunred 2nd Season,8.07
Demashita! Powerpuff Girls Z,6.52
Youjuu Toshi,6.52
Tiger &amp; Bunny,8.12
Toriko: Barbarian Ivy wo Hokaku Seyo!,6.85
Mahou Shoujo Lyrical Nanoha: The Movie 1st,8.04
Boruto: Naruto the Movie,8.03
Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-bu Special!!,6.82
Sacred Seven: Shirogane no Tsubasa,6.85
X-Men,6.51
Persona 4 the Golden Animation,6.75
Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru Soushuuhen Special,6.85
D.Gray-man Hallow,8.01
Dragon Ball Kai (2014),8.01
Tiger &amp; Bunny Movie 2: The Rising,8.01
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,8.0
Baka to Test to Shoukanjuu Ni!,7.98
Gungrave,7.97
Saint Seiya: Meiou Hades Meikai-hen,7.97
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,7.96
One Piece: Taose! Kaizoku Ganzack,6.87
11eyes,6.49
Shin Mazinger Shougeki! Z-hen,7.96
Tentai Senshi Sunred,7.96
Bleach,7.95
A-Ko The Versus,6.49
Dragon Ball Kai,7.95
Concrete Revolutio: Choujin Gensou,6.87
Final Fantasy VII: Advent Children,7.94
K: Missing Kings,7.94
Naruto: Shippuuden,7.94
Kyoushoku Soukou Guyver,6.49
Seikon no Qwaser,6.82
Claymore,7.92
Charlotte,7.91
Toaru Kagaku no Railgun S,8.16
Tenkai Knights,6.82
Eat-Man &#039;98,6.89
One Piece Film: Strong World Episode 0,8.16
Dragon Ball,8.16
Kiddy GiRL-AND Pilot,6.9
Tantei Kageki Milky Holmes TD,6.47
Shingeki no Kyojin OVA,7.88
The Last: Naruto the Movie,7.88
Toaru Kagaku no Railgun,7.87
Tantei Opera Milky Holmes: Alternative,6.59
Hellsing I: Digest for Freaks,7.86
One Piece: Episode of Luffy - Hand Island no Bouken,7.86
One Punch Man Specials,7.86
Sacred Seven,6.74
Final Fantasy VII: Advent Children Complete,8.17
Dragon Ball Z,8.32
One Punch Man: Road to Hero,7.85
Cyborg 009 VS Devilman,6.81
Code:Breaker OVA,6.91
Naruto: Shippuuden Movie 6 - Road to Ninja,7.84
Tengen Toppa Gurren Lagann Movie: Lagann-hen,8.64
Makai Tenshi Djibril: Episode 2,6.71
Toaru Majutsu no Index II,7.84
Baka to Test to Shoukanjuu,7.83
Choukou Tenshi Escalayer,6.72
K: Return of Kings,7.82
Kill la Kill Special,7.82
Saint Seiya: Meiou Hades Elysion-hen,7.82
Ikkitousen: Extravaganza Epoch,6.81
Guilty Crown,7.81
Naruto,7.81
Baka to Test to Shoukanjuu: Matsuri,7.8
Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,6.8
One Punch Man,8.82
Tokyo Ravens,7.8
