anime_name,rating
Mirai Nikki (TV): Ura Mirai Nikki,6.79
C: The Money of Soul and Possibility Control,7.44
Dwaejiui Wang,7.03
Mahou Shoujo Madoka★Magica: Concept Movie,6.99
Mirai Nikki (TV),8.07
Mousou Dairinin,7.74
Shion no Ou,7.66
Monster,8.72
Ninja Ryuukenden,5.81
Higashi no Eden Movie I: The King of Eden,7.74
Saibi,7.08
Loups=Garous,6.43
Paprika,8.15
Meisou! Underworld,5.93
Fate/Zero 2nd Season,8.73
Higurashi no Naku Koro ni Kaku: Outbreak,7.36
Death Note,8.71
Mahou Shoujo Ikusei Keikaku,7.17
Death Parade,8.33
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.49
Gyakkyou Burai Kaiji: Hakairoku-hen,8.29
Steins;Gate: Oukoubakko no Poriomania,8.46
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.28
Kara no Kyoukai 1: Fukan Fuukei,7.81
Denpa-teki na Kanojo,7.79
Ga-Rei: Zero,7.78
Higurashi no Naku Koro ni,8.17
Kagewani: Shou,6.54
Re:Zero kara Hajimeru Isekai Seikatsu,8.64
Zankyou no Terror,8.26
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.02
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.61
Mouryou no Hako,7.33
Shigofumi Special,7.48
Kagewani,6.54
Death Billiards,8.04
Gankutsuou,8.27
Aoi Bungaku Series,7.9
Kara no Kyoukai 4: Garan no Dou,8.05
Phantom: Requiem for the Phantom,8.16
Sanctuary,6.5
Under the Dog,6.55
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,8.02
Higurashi no Naku Koro ni Rei,7.56
Arve Rezzle: Kikaijikake no Yousei-tachi,6.44
Koroshiya-san: The Hired Gun,5.69
Imawa no Kuni no Alice (OVA),7.7
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.31
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.5
Mouryou no Hako Special,6.76
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.57
Higashi no Eden Movie II: Paradise Lost,7.78
Shiki,7.99
Higashi no Eden,8.03
Kara no Kyoukai 6: Boukyaku Rokuon,7.72
Another,7.88
Mahou Shoujo Madoka★Magica,8.51
Golgo 13 (TV),7.61
Steins;Gate,9.17
Osiris no Tenbin,6.06
Shigofumi,7.62
Another: The Other - Inga,7.5
Kara no Kyoukai 5: Mujun Rasen,8.68
Ibara no Ou,7.24
Kyoto Animation: Megane-hen,6.51
Bloody Night,4.26
Biohazard 4: Incubate,6.45
Rainbow: Nisha Rokubou no Shichinin,8.64
Karakuri Zoushi Ayatsuri Sakon,7.5
AD Police,6.47
Kara no Kyoukai Remix: Gate of Seventh Heaven,7.75
Gyakkyou Burai Kaiji: Ultimate Survivor,8.33
Chainsaw Maid,5.27
Kara no Kyoukai 3: Tsuukaku Zanryuu,8.21
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.34
Shuranosuke Zanmaken: Shikamamon no Otoko,4.95
Death Note Rewrite,7.84
Duan Nao,6.42
Higurashi no Naku Koro ni Kai,8.41
