anime_name,rating
Shingetsutan Tsukihime,7.1
Hellsing: The Dawn,7.37
Shiki,7.99
Gregory Horror Show,6.9
Kaibutsu Oujo,7.16
Diabolik Lovers More,Blood,6.13
Blood-C,6.73
Blade,6.34
Hipira-kun,6.32
Yami no Teio: Kyuuketsuki Dracula,4.24
Tsukuyomi: Moon Phase,7.16
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,7.03
Diabolik Lovers OVA,6.06
Kizumonogatari II: Nekketsu-hen,8.73
Yami no Matsuei,7.23
Itsuka Tenma no Kuro Usagi Picture Drama,6.34
Master Mosquiton,6.89
Kyuuketsuhime Miyu,7.13
Fortune Arterial: Akai Yakusoku,6.91
Diabolik Lovers Recap,5.47
Kyuuketsuki,5.91
Wild Arms: Twilight Venom,6.75
Vampire Sensou,4.76
Vampire Knight: Gekiai no Portrait,7.04
Vampire Hunter D,7.26
Owari no Seraph: Owaranai Seraph,7.35
Kyuuketsuhime Miyu (TV),7.24
Vassalord.,7.11
Vampire Hunter D (2000),7.95
Hakuouki Hekketsuroku Episode 0,7.16
Vampire Knight,7.4
Rosario to Vampire,7.14
Bakemonogatari,8.39
Blood-C: Special Edition,6.88
Kurozuka,7.08
Holy Knight,6.28
Diabolik Lovers,5.81
Blood-C: The Last Dark,7.33
Renkin San-kyuu Magical? Pokaan,7.11
Noblesse: Awakening,7.72
Strike the Blood,7.44
Strike the Blood: Valkyria no Oukoku-hen,7.44
Trinity Blood,7.44
Legend of Duo,5.13
Blood Lad: Wagahai wa Neko de wa Nai,7.31
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,7.68
Karin,7.33
Dance in the Vampire Bund,7.2
Tokimeki Tonight,7.48
Hitsuji no Uta,6.43
Renkin San-kyuu Magical? Pokaan Specials,7.05
Strike the Blood II,8.05
JoJo no Kimyou na Bouken: Phantom Blood,7.77
Hellsing I: Digest for Freaks,7.86
Shiki Specials,7.93
Blood+,7.8
Blood Lad,7.55
Night Walker: Mayonaka no Tantei,7.09
Bloodivores,5.95
Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,6.8
Blood: The Last Vampire,7.01
Owari no Seraph: Nagoya Kessen-hen,7.84
JoJo no Kimyou na Bouken,7.47
Kekkai Sensen: Ousama no Restaurant no Ousama,7.43
Dance in the Vampire Bund Recap,6.61
JoJo no Kimyou na Bouken: Adventure,7.22
Itsuka Tenma no Kuro Usagi,6.83
Itsuka Tenma no Kuro Usagi OVA,7.09
Black Blood Brothers,7.28
Hellsing: Psalm of Darkness,7.16
Owari no Seraph,7.65
Hellsing Ultimate,8.59
Kizumonogatari I: Tekketsu-hen,8.45
Hellsing,7.64
Servamp,7.12
JoJo no Kimyou na Bouken (TV),8.51
Owari no Seraph: The Beginning of the End,6.99
Owari no Seraph: Kyuuketsuki Shahar,7.15
Kimera,5.29
Monogatari Series: Second Season,8.8
Kekkai Sensen,7.74
Rosario to Vampire Capu2,7.24
Master Mosquiton 99,6.71
Vampire Knight Guilty,7.53
Vampire Holmes,3.63
